map_id,difficulty,map_seed,generated,generation_time_s,trunk_count,trunk_gap_m,obstacle_ratio,failure_reason
0,low,20270620,True,2.159299470949918,60,1.2,0.014511111111111112,
1,low,20270621,True,0.6846792299766093,60,1.2,0.013933333333333334,
2,low,20270622,True,0.7745025099720806,60,1.2,0.013911111111111112,
3,low,20270623,True,1.452815513825044,60,1.2,0.014,
4,low,20270624,True,1.3958914740942419,60,1.2,0.012955555555555555,
5,low,20270625,True,0.5934369810856879,60,1.2,0.013944444444444445,
6,low,20270626,True,0.5635256050154567,60,1.2,0.014833333333333334,
7,medium,20270627,True,0.97455651499331,90,1.0,0.023166666666666665,
8,medium,20270628,True,1.3946699199732393,90,1.0,0.0204,
9,medium,20270629,True,0.15151609387248755,90,1.0,0.021977777777777777,
10,medium,20270630,True,1.1676003898028284,90,1.0,0.021055555555555557,
11,medium,20270631,True,0.28733623097650707,90,1.0,0.0197,
12,medium,20270632,True,0.9464146359823644,90,1.0,0.020288888888888888,
13,medium,20270633,True,0.20417861989699304,90,1.0,0.02032222222222222,
14,high,20270634,True,0.39089925098232925,120,0.85,0.02818888888888889,
15,high,20270635,True,1.0193786439485848,120,0.85,0.028533333333333334,
16,high,20270636,True,1.213852426968515,120,0.85,0.026977777777777778,
17,high,20270637,True,3.5246455720625818,120,0.85,0.026544444444444443,
18,high,20270638,True,1.3538795509375632,120,0.85,0.025644444444444445,
19,high,20270639,True,0.9134493400342762,120,0.85,0.028333333333333332,
