axis,level_key,level_order,level_label,map_id,map_seed,generated,generation_time_s,trunk_count,trunk_gap_m,gap_to_vehicle_width,obstacle_ratio,failure_reason
density,d00,0,"d00:trees=40,gap=1.35m",0,20280620,True,2.6147173270583153,40,1.35,1.8243243243243246,0.01011111111111111,
density,d00,0,"d00:trees=40,gap=1.35m",1,20280621,True,0.1131305149756372,40,1.35,1.8243243243243246,0.008322222222222222,
density,d00,0,"d00:trees=40,gap=1.35m",2,20280622,True,0.30430544004775584,40,1.35,1.8243243243243246,0.009944444444444445,
density,d01,1,"d01:trees=55,gap=1.25m",3,20281620,True,0.6305793188512325,55,1.25,1.6891891891891893,0.011888888888888888,
density,d01,1,"d01:trees=55,gap=1.25m",4,20281621,True,0.678397580049932,55,1.25,1.6891891891891893,0.011922222222222223,
density,d01,1,"d01:trees=55,gap=1.25m",5,20281622,True,0.3910963430535048,55,1.25,1.6891891891891893,0.011433333333333334,
density,d02,2,"d02:trees=70,gap=1.15m",6,20282620,True,1.0787653920706362,70,1.15,1.554054054054054,0.015933333333333334,
density,d02,2,"d02:trees=70,gap=1.15m",7,20282621,True,0.7004053951241076,70,1.15,1.554054054054054,0.0154,
density,d02,2,"d02:trees=70,gap=1.15m",8,20282622,True,0.9321718860883266,70,1.15,1.554054054054054,0.01501111111111111,
density,d03,3,"d03:trees=85,gap=1.05m",9,20283620,True,0.6146829940844327,85,1.05,1.418918918918919,0.018744444444444446,
density,d03,3,"d03:trees=85,gap=1.05m",10,20283621,True,0.3037780981976539,85,1.05,1.418918918918919,0.018866666666666667,
density,d03,3,"d03:trees=85,gap=1.05m",11,20283622,True,0.3595132399350405,85,1.05,1.418918918918919,0.0191,
density,d04,4,"d04:trees=100,gap=0.95m",12,20284620,True,1.4770493290852755,100,0.95,1.2837837837837838,0.021388888888888888,
density,d04,4,"d04:trees=100,gap=0.95m",13,20284621,True,0.48664604080840945,100,0.95,1.2837837837837838,0.022811111111111112,
density,d04,4,"d04:trees=100,gap=0.95m",14,20284622,True,0.7272465031128377,100,0.95,1.2837837837837838,0.0218,
density,d05,5,"d05:trees=115,gap=0.90m",15,20285620,True,2.8253277018666267,115,0.9,1.2162162162162162,0.0259,
density,d05,5,"d05:trees=115,gap=0.90m",16,20285621,True,0.5207673499826342,115,0.9,1.2162162162162162,0.025244444444444444,
density,d05,5,"d05:trees=115,gap=0.90m",17,20285622,True,1.2355520699638873,115,0.9,1.2162162162162162,0.02668888888888889,
density,d06,6,"d06:trees=130,gap=0.85m",18,20286620,True,0.6263883439823985,130,0.85,1.1486486486486487,0.0309,
density,d06,6,"d06:trees=130,gap=0.85m",19,20286621,True,0.5297955239657313,130,0.85,1.1486486486486487,0.028255555555555555,
density,d06,6,"d06:trees=130,gap=0.85m",20,20286622,True,0.33098001312464476,130,0.85,1.1486486486486487,0.029366666666666666,
density,d07,7,"d07:trees=145,gap=0.80m",21,20287620,True,1.0992903739679605,145,0.8,1.0810810810810811,0.03228888888888889,
density,d07,7,"d07:trees=145,gap=0.80m",22,20287621,True,1.2721399238798767,145,0.8,1.0810810810810811,0.033555555555555554,
density,d07,7,"d07:trees=145,gap=0.80m",23,20287622,True,0.49340316792950034,145,0.8,1.0810810810810811,0.030822222222222223,
distance,distance_ref,0,"distance_ref:trees=90,gap=1.00m",24,20310620,True,0.41497293300926685,90,1.0,1.3513513513513513,0.021144444444444445,
distance,distance_ref,0,"distance_ref:trees=90,gap=1.00m",25,20310621,True,0.69195327302441,90,1.0,1.3513513513513513,0.020866666666666665,
distance,distance_ref,0,"distance_ref:trees=90,gap=1.00m",26,20310622,True,0.37202836899086833,90,1.0,1.3513513513513513,0.020555555555555556,
