axis,level_key,level_order,level_label,map_id,query_id,map_seed,query_seed,trunk_count,trunk_gap_m,gap_to_vehicle_width,obstacle_ratio,distance_min_m,distance_max_m,start,goal,euclidean_distance_m,teacher_success,teacher_failure_reason,teacher_time_s,teacher_expansions,teacher_path_length_m,timed_out,query_sampled,tree_density_per_100m2
density,d00,0,"d00:trees=40,gap=1.35m",0,0,20280620,20290620,40,1.35,1.8243243243243246,0.01011111111111111,8.0,,"[29.200000000000003, 7.5, -2.977340033283016]","[11.100000000000001, 4.5, -2.977340033283016]",18.346934348822423,True,,0.16520190238952637,49,18.70646023443488,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",0,1,20280620,20290621,40,1.35,1.8243243243243246,0.01011111111111111,8.0,,"[7.800000000000001, 3.8000000000000003, 0.16324028278483735]","[16.3, 5.2, 0.16324028278483735]",8.614522621712709,True,,0.1441359519958496,1,8.614522621712709,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",0,2,20280620,20290622,40,1.35,1.8243243243243246,0.01011111111111111,8.0,,"[7.2, 20.6, 0.058469863329751126]","[27.700000000000003, 21.8, 0.058469863329751126]",20.535091916034858,False,timeout,2.5000762939453125,3591,0.0,True,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",0,3,20280620,20290623,40,1.35,1.8243243243243246,0.01011111111111111,8.0,,"[27.200000000000003, 4.5, 2.445131231482253]","[10.100000000000001, 18.8, 2.445131231482253]",22.29125389025929,True,,0.15418219566345215,9,22.33295300255138,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",0,4,20280620,20290624,40,1.35,1.8243243243243246,0.01011111111111111,8.0,,"[26.5, 23.0, -1.4415213227467536]","[27.8, 13.0, -1.4415213227467536]",10.084145972763386,True,,0.6485035419464111,775,10.801029053579867,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",1,0,20280621,20290720,40,1.35,1.8243243243243246,0.008322222222222222,8.0,,"[9.0, 12.0, 0.16010839751621375]","[25.1, 14.600000000000001, 0.16010839751621375]",16.308586695357757,True,,0.17183160781860352,37,16.443857309708363,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",1,1,20280621,20290721,40,1.35,1.8243243243243246,0.008322222222222222,8.0,,"[28.200000000000003, 1.1, 1.6249601648317766]","[27.3, 17.7, 1.6249601648317766]",16.624379687675564,True,,1.1225521564483643,1465,16.813774298422338,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",1,2,20280621,20290722,40,1.35,1.8243243243243246,0.008322222222222222,8.0,,"[25.6, 24.6, -2.124477649001894]","[12.0, 2.6, -2.124477649001894]",25.86426105652354,True,,0.17424249649047852,57,26.07215570769501,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",1,3,20280621,20290723,40,1.35,1.8243243243243246,0.008322222222222222,8.0,,"[20.200000000000003, 26.700000000000003, -2.2856049003734715]","[11.0, 16.1, -2.2856049003734715]",14.035668847618203,True,,0.14772891998291016,1,14.035668847618203,False,True,4.444444444444444
density,d00,0,"d00:trees=40,gap=1.35m",1,4,20280621,20290724,40,1.35,1.8243243243243246,0.008322222222222222,8.0,,"[13.200000000000001, 29.200000000000003, -1.476482375467716]","[15.3, 7.0, -1.476482375467716]",22.29910312097776,True,,0.26644253730773926,225,22.537995567003744,False,True,4.444444444444444
