case_id,profile_name,difficulty_bucket,distance_bin_key,map_seed,query_seed,start,goal,euclidean_distance_m,success,collision_free,feasible,failure_reason,waypoint_count,skeleton_node_count,graph_edge_count,segment_count,failed_segment_count,skipped_waypoint_total,path_pose_count,path_length_m,total_time_s,total_planner_time_s,total_expansions,figure_path,result_json_path
0,easy_d00,Easy,d08_12,20880622,20970622,"[26.6, 11.9, 2.3174541925288654]","[20.400000000000002, 18.6, 2.3174541925288654]",9.128526715741156,True,True,True,,1,3414,3538,2,0,0,99,9.507223618481898,0.2552021669980604,0.22256898880004883,8,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_00.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_00_result.json
1,easy_d01,Easy,d12_16,20881622,20970623,"[8.6, 4.4, 1.7091472969720218]","[6.4, 20.200000000000003, 1.7091472969720218]",15.952429282087417,True,True,True,,3,3951,4118,4,0,0,215,20.77767896033736,0.4585932080008206,0.4256768226623535,4,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_01.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_01_result.json
2,easy_d00,Easy,d16_20,20882622,20970624,"[0.8, 15.9, 0.4636476090008062]","[16.2, 23.6, 0.4636476090008062]",17.21772342674838,True,True,True,,3,3382,3502,4,0,0,236,22.805419896955087,0.9814737499982584,0.9501998424530029,886,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_02.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_02_result.json
3,easy_d01,Easy,d20_inf,20883622,20970625,"[2.1, 19.0, -0.3125523906852318]","[25.0, 11.600000000000001, -0.3125523906852318]",24.065951051225877,True,True,True,,4,3892,4031,5,0,0,260,25.14480356432294,0.5677199159981683,0.5362048149108887,5,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_03.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_03_result.json
4,complex_d02,Complex,d08_12,20884622,20970626,"[22.5, 6.7, 1.7938272951664547]","[20.3, 16.400000000000002, 1.7938272951664547]",9.94635611668917,True,True,True,,1,4450,4617,2,0,0,119,11.472210316652633,0.2459577920017182,0.21314525604248047,2,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_04.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_04_result.json
5,complex_d02,Complex,d12_16,20885622,20970627,"[4.9, 9.8, 1.5841288700890424]","[4.7, 24.8, 1.5841288700890424]",15.001333274079341,True,True,True,,2,4459,4637,3,0,0,179,17.1743242485277,0.34874049999780254,0.31542420387268066,3,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_05.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_05_result.json
6,complex_d02,Complex,d16_20,20886622,20970628,"[12.4, 9.700000000000001, 1.514988415618459]","[13.4, 27.6, 1.514988415618459]",17.927911200137064,True,True,True,,3,4368,4531,4,0,0,204,19.60684640579101,0.4621022499995888,0.4294905662536621,4,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_06.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_06_result.json
7,extreme_d03,Extreme,d20_inf,20887622,20970629,"[12.700000000000001, 29.1, -1.6986098055762004]","[9.5, 4.2, -1.6986098055762004]",25.104780421266387,True,True,True,,5,4893,5094,6,0,0,287,27.501616361032696,0.6876048749982147,0.6534700393676758,20,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_07.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_07_result.json
8,extreme_d04,Extreme,d08_12,20888622,20970630,"[25.1, 11.4, -2.409398669735836]","[16.2, 3.4000000000000004, -2.409398669735836]",11.96703806294607,True,True,True,,2,5199,5423,3,0,0,136,13.128524461745137,0.34817574999760836,0.3130791187286377,11,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_08.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_08_result.json
9,extreme_d05,Extreme,d12_16,20889622,20970631,"[18.0, 24.700000000000003, -1.5065989504217636]","[18.900000000000002, 10.700000000000001, -1.5065989504217636]",14.028898745090437,True,True,True,,2,5401,5631,3,0,0,154,14.800868805977446,0.4779468330016243,0.4432244300842285,243,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_09.png,.pipeline/experiments/20260620_t11_voronoi_waypoint_verification/case_09_result.json
