case_id,profile_name,difficulty_bucket,distance_bin_key,map_seed,query_seed,start,goal,euclidean_distance_m,success,collision_free,feasible,failure_reason,waypoint_count,local_minimum_count,long_gap_minimum_count,mean_bottleneck_clearance_m,min_bottleneck_clearance_m,skeleton_node_count,graph_edge_count,segment_count,failed_segment_count,skipped_waypoint_total,path_pose_count,path_length_m,total_time_s,total_planner_time_s,total_expansions,figure_path,result_json_path
0,easy_d00,Easy,d08_12,20890623,20980623,"[23.900000000000002, 7.1000000000000005, -2.9040580216941807]","[14.4, 4.800000000000001, -2.9040580216941807]",9.774456506629923,True,True,True,,1,0,1,2.0615528128088303,2.0615528128088303,3442,3577,2,0,0,127,12.272012967338926,0.2572767500023474,0.22109508514404297,2,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_00.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_00_result.json
1,easy_d01,Easy,d12_16,20891623,20980624,"[24.3, 9.0, 2.414381161005949]","[13.4, 18.7, 2.414381161005949]",14.591093173576818,True,True,True,,2,2,0,1.2320387897821041,0.848528137423857,4005,4171,3,0,0,160,15.38270735898766,0.35620387500239303,0.32148027420043945,3,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_01.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_01_result.json
2,easy_d00,Easy,d16_20,20892623,20980625,"[9.3, 6.0, 2.088445436171671]","[1.1, 20.400000000000002, 2.088445436171671]",16.57105910918189,True,True,True,,3,2,1,1.6239854130091362,1.3,3380,3501,4,0,0,188,18.143474637637,0.4557371670016437,0.4222893714904785,4,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_02.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_02_result.json
3,easy_d01,Easy,d20_inf,20893623,20980626,"[6.300000000000001, 1.4000000000000001, 1.6302499861035535]","[4.800000000000001, 26.6, 1.6302499861035535]",25.244603383693715,True,True,True,,5,3,2,1.719243005674667,1.3,3935,4081,6,0,0,285,27.530160883709524,0.6665964580024593,0.632479190826416,6,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_03.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_03_result.json
4,complex_d02,Complex,d08_12,20894623,20980627,"[11.9, 27.900000000000002, -2.4329663814621227]","[5.6000000000000005, 22.5, -2.4329663814621227]",8.2975900115636,True,True,True,,1,1,0,1.0770329614269007,1.0770329614269007,4370,4536,2,0,0,93,8.993363439953127,0.24620449999929406,0.21112489700317383,2,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_04.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_04_result.json
5,complex_d02,Complex,d12_16,20895623,20980628,"[8.700000000000001, 7.300000000000001, 1.9513027039072615]","[2.9000000000000004, 21.8, 1.9513027039072615]",15.616977940690061,True,True,True,,3,3,0,1.0956593139570838,1.019803902718557,4483,4671,4,0,0,173,16.746392681407478,0.4574677909986349,0.4223365783691406,4,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_05.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_05_result.json
6,complex_d02,Complex,d16_20,20896623,20980629,"[27.900000000000002, 18.1, 2.5213431676069717]","[13.9, 28.1, 2.5213431676069717]",17.204650534085253,True,True,True,,4,3,1,1.2153659074539704,0.7810249675906654,4425,4613,5,0,0,197,18.972662308085408,0.5688283749987022,0.5334248542785645,5,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_06.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_06_result.json
7,extreme_d03,Extreme,d20_inf,20897623,20980630,"[7.300000000000001, 24.200000000000003, -1.1497516984886496]","[17.6, 1.2000000000000002, -1.1497516984886496]",25.200992043965257,True,True,True,,5,3,2,1.8774720864558716,1.5264337522473748,4904,5113,6,0,0,277,26.496463765517834,0.6660936250045779,0.6288595199584961,6,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_07.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_07_result.json
8,extreme_d04,Extreme,d08_12,20898623,20980631,"[15.5, 13.4, -2.8937811368510915]","[7.2, 11.3, -2.8937811368510915]",8.561541917201598,True,True,True,,1,1,0,0.7000000000000001,0.7000000000000001,5173,5382,2,0,0,90,8.601588010547628,0.24530295799922897,0.20865297317504883,2,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_08.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_08_result.json
9,extreme_d05,Extreme,d12_16,20899623,20980632,"[15.600000000000001, 5.7, 1.1332865546774438]","[21.400000000000002, 18.1, 1.1332865546774438]",13.689411966918085,True,True,True,,3,3,0,1.1174897286313064,0.7071067811865476,5462,5698,4,0,0,150,14.538687120449378,0.45846999999776017,0.42174363136291504,4,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_09.png,.pipeline/experiments/20260620_t12_bottleneck_waypoint_verification/case_09_result.json
