method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.6170566534856334,0.9128250594134443,0.32808328280225396,0.6123590741539374,4.0,17.19999999999999,0.04135418787072109,0.13933127212833998,0.57,0.24967218123907836,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.482348267454654,1.0653701344388533,0.19097723811864853,0.5830945518240332,3.0,12.0,0.04742540679020424,0.31946069329920385,0.51,0.382798536425827,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,100,1.0,100,1.0,0.6191754371393472,1.0423936441657133,0.33039232809096575,0.6287126782629638,4.0,170.19999999999993,0.03960571819729808,0.17420422763786486,0.56,0.16974008793920514,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,95,0.95,95,0.95,0.39415929350070655,2.6284907960216493,0.0003799989353865385,0.5539017388341017,3.0,2904.799999999997,2.220446049250313e-16,0.09096232315250727,0.5,0.10429004814320586,0,0.68,0.68,0.44,0.06,0.4927536231884058
f_n3p_knn,Easy,100,99,0.99,99,0.99,0.3034660001285374,1.067288074886892,0.0003902669996023178,0.3896309992461465,2.0,733.4499999999988,0.0,0.09220420192785495,0.46,0.1347643055261416,0,0.65,0.65,0.34,0.04,0.5309734513274337
f_n3p_knn,Extreme,100,90,0.9,90,0.9,0.39208185055758804,3.5216835162485944,0.00045210705138742924,0.8101613273029216,19.5,4956.249999999999,0.0016120075978891535,0.19508733908541448,0.62,0.08974827544529324,0,0.84,0.83,0.59,0.13,0.54
n3p_k1,Complex,100,90,0.9,90,0.9,0.337322463048622,3.5130420664092528,0.00036742212250828743,0.7483586705871857,48.0,5273.149999999997,0.0,0.07001520434220519,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,97,0.97,97,0.97,0.30529837298672646,3.1488070383784357,0.00039683887735009193,0.5811237965733744,22.0,4045.5,2.220446049250313e-16,0.0680046548117284,0.29,0.11357560268421141,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.3655911450041458,3.5307655777316533,0.0004552118480205536,0.9068139460240491,67.5,6102.099999999999,0.00106421233228704,0.06514164325180788,0.49,0.08741703545172369,0,0.84,0.0,0.83,0.19,1.0
vanilla_ha,Complex,100,59,0.59,59,0.59,0.30356478691101074,2.5004143476486207,0.14198708534240723,0.8468421697616577,221.5,4310.55,,,0.04,0.07893038458665114,153,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,66,0.66,66,0.66,0.18964135646820068,2.5004026651382447,0.1446213722229004,0.5557577323913574,72.5,3506.65,,,0.05,0.10151339830145312,154,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,56,0.56,56,0.56,0.31018364429473877,2.5006844878196715,0.14557528495788574,0.8342588329315186,283.0,4251.0999999999985,,,0.07,0.0703869092668894,195,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.616534338449128,1.062297362659592,0.3265945389866829,0.634724842372816,5.5,307.9499999999999,0.06226017408459428,0.14057501634243733,0.53,0.12169044552318731,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.6185281940270215,0.9228115203906782,0.3249992970377207,0.6038389741512947,4.0,74.94999999999995,0.10721821332739767,0.27808081439547344,0.72,0.27638649143002797,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,98,0.98,98,0.98,0.6215349514968693,0.9891886946745216,0.32964466512203217,0.6236335206078365,6.0,193.9499999999997,0.06320960600530834,0.22224997222354997,0.61,0.10815560810011127,1,0.0,0.0,0.0,0.0,
