method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.6180407368810847,0.9153318927739746,0.3288194870110601,0.6060820167185739,4.0,21.099999999999994,0.03970339749111895,0.16293325884203816,0.54,0.23979120885454192,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.5078795369481668,1.0626640615053473,0.1930170611012727,0.5920216594613157,3.5,11.049999999999997,0.049186517046049705,0.2439921971397313,0.53,0.382798536425827,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,100,1.0,100,1.0,0.620163909625262,0.9362446483341044,0.33038485585711896,0.6152359043387696,4.0,135.7499999999999,0.03634980704962998,0.14929855203013787,0.52,0.17062867426264666,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,95,0.95,95,0.95,0.39299176854547113,2.625877510604912,0.0003876339178532362,0.5545990554313175,3.0,2879.999999999997,0.0,0.1345123822837071,0.5,0.10429004814320586,0,0.68,0.68,0.44,0.06,0.4927536231884058
f_n3p_knn,Easy,100,98,0.98,98,0.98,0.303514102473855,1.0618061837740242,0.00040113599970936775,0.3929566700849682,2.0,733.4499999999988,0.0,0.20053654564861179,0.46,0.13817427994699466,0,0.65,0.65,0.34,0.04,0.5309734513274337
f_n3p_knn,Extreme,100,90,0.9,90,0.9,0.39331711654085666,3.521778600965626,0.00046400679275393486,0.8123176797199995,19.5,4931.949999999999,0.0009486696538667516,0.22668687232165147,0.62,0.08974827544529324,0,0.84,0.83,0.59,0.13,0.54
n3p_k1,Complex,100,90,0.9,90,0.9,0.3366493354551494,3.5135140424245037,0.0003659550566226244,0.7485673388070427,48.0,5324.049999999997,0.0,0.13410406107039702,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,97,0.97,97,0.97,0.30653757706750184,3.1673135485500095,0.00038184598088264465,0.5836747931689024,22.0,4047.95,0.0,0.06124092690681526,0.29,0.11357560268421141,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.3658712669275701,3.5290778416441744,0.00044605019502341747,0.9068480192869902,67.5,6110.049999999999,0.0,0.10296675815685966,0.49,0.08741703545172369,0,0.84,0.0,0.83,0.19,1.0
vanilla_ha,Complex,100,83,0.83,83,0.83,0.30318403244018555,2.5008442640304565,0.1439962387084961,0.8445468759536743,221.5,4284.2,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.19492733478546143,2.5004514336585997,0.14740777015686035,0.5584856200218201,72.5,3517.0499999999997,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,83,0.83,83,0.83,0.3111002445220947,2.500672388076782,0.14581680297851562,0.8338364911079407,283.0,4267.199999999999,,,0.07,0.08245301456791321,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.6183147436240688,1.0833724477444775,0.32697616098448634,0.6408070727065206,5.0,310.2499999999998,0.06292238665329641,0.2081990242237372,0.59,0.13591315993063052,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.6191780728986487,0.9608130744076334,0.32328491704538465,0.6109467593044974,4.0,67.24999999999993,0.09853171749346812,0.2621357396231886,0.7,0.27043899640712576,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,99,0.99,99,0.99,0.6218092999188229,0.9896853727521374,0.32826979784294963,0.6293277841783129,6.0,291.59999999999997,0.06243508220763638,0.20325091243707408,0.61,0.10730805856297065,0,0.0,0.0,0.0,0.0,
