method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.6193926589330658,0.9599141578190028,0.3308219281025231,0.6220511176204309,4.0,24.04999999999994,0.04109138760376885,0.16293325884203816,0.46,0.23979120885454192,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.5130741675384343,1.1257313238922506,0.20353258401155472,0.6010239333915525,3.0,11.049999999999997,0.048803729149013986,0.23869944350818662,0.51,0.4124975385879716,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,100,1.0,100,1.0,0.6183669898891822,0.9336710400646552,0.3297669009771198,0.6291844634874724,4.0,171.09999999999988,0.03671352294032215,0.15015659824483382,0.5,0.17062867426264666,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,95,0.95,95,0.95,0.4077010075561702,2.63083265093155,0.00039760302752256393,0.560701395557262,3.0,2908.499999999997,0.0,0.1345123822837071,0.5,0.10429004814320586,0,0.68,0.68,0.44,0.06,0.4927536231884058
f_n3p_knn,Easy,100,98,0.98,98,0.98,0.3083676260430366,1.0616408162168227,0.00044148415327072144,0.40182717609219254,2.0,733.4499999999988,0.0,0.20053654564861179,0.46,0.13817427994699466,0,0.65,0.65,0.34,0.04,0.5309734513274337
f_n3p_knn,Extreme,100,90,0.9,90,0.9,0.39251283649355173,3.5233913317089898,0.0004718499258160591,0.8193790583498776,19.5,4961.699999999999,0.0005034854358592078,0.22928986206946414,0.62,0.08974827544529324,0,0.84,0.83,0.59,0.13,0.54
md_dqn,Complex,100,2,0.02,2,0.02,0.1712194512365386,0.4066318587167188,0.0014439921360462904,0.21279218106297776,600.0,600.0,0.6994523479471619,0.9362703190734092,0.34,0.4558096962999173,0,0.0,0.0,0.0,0.0,
md_dqn,Easy,100,0,0.0,0,0.0,0.1726923092501238,0.4296619011322036,0.0014628611970692873,0.24666875103954225,600.0,600.0,,,0.24,0.6187349050779781,0,0.0,0.0,0.0,0.0,
md_dqn,Extreme,100,1,0.01,1,0.01,0.1701433644630015,0.3645930080325341,0.0014469609595835209,0.19976402919739486,600.0,600.0,0.17330117390913968,0.17330117390913968,0.49,0.4273195470734525,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,100,90,0.9,90,0.9,0.3431715121259913,3.513615789380856,0.0003817130345851183,0.7552783692348748,48.0,5310.549999999997,0.0,0.13410406107039702,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,96,0.96,96,0.96,0.30811132304370403,3.2746829195297322,0.0003859950229525566,0.5944706665701233,22.0,3962.6,0.0,0.06124092690681526,0.29,0.11434994633033324,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.3781414639670402,3.5304259369964703,0.0004581448156386614,0.9131030344474129,67.5,6148.849999999999,0.0,0.10380521199329176,0.49,0.08741703545172369,0,0.84,0.0,0.83,0.19,1.0
vanilla_ha,Complex,100,83,0.83,83,0.83,0.3137887716293335,2.5004628896713257,0.14476370811462402,0.8500075554847717,221.5,4213.5,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.19441688060760498,2.5003565073013307,0.1454000473022461,0.5691773414611816,72.5,3416.35,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,82,0.82,82,0.82,0.31101083755493164,2.5004032015800477,0.14457321166992188,0.8417393040657043,283.0,4265.749999999999,,,0.07,0.08210132342290871,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.620969524490647,1.0815678328508511,0.3285136609338224,0.654080329972785,5.0,350.14999999999986,0.07055184590197361,0.20660210901271348,0.54,0.13031812066377108,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.6260044549126178,0.9776761767221614,0.3284058650024235,0.6252921719453297,4.0,74.59999999999997,0.09727237403189726,0.2589660261123484,0.62,0.2803982202901895,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,99,0.99,99,0.99,0.6232876145513728,0.981750950764399,0.32786405296064913,0.6366842788062058,6.0,243.2,0.05940979868610996,0.24507336468431462,0.65,0.1057881312138726,0,0.0,0.0,0.0,0.0,
