method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.6189415525877848,0.9372415941790677,0.3323019470553845,0.6234149982058443,4.0,21.099999999999994,0.04523219111523824,0.16293325884203816,0.5,0.24620354394130317,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.4849142710445449,1.0650364957749843,0.19221795117482543,0.5819007973582484,3.0,11.049999999999997,0.04962612864425342,0.2382905408973287,0.51,0.3935705439446095,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,100,1.0,100,1.0,0.6225731056183577,0.9724889756762422,0.3310605969745666,0.6318595465109683,4.0,169.0,0.039660891082978655,0.20265140452545177,0.51,0.17521258876874096,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,99,0.99,99,0.99,0.024417867069132626,0.35514869294129225,0.00039833993650972843,0.11959067138377577,0.0,214.99999999999835,2.220446049250313e-16,0.18764589097031903,0.69,0.10245692805145601,0,0.68,0.68,0.19,0.02,0.3793103448275862
f_n3p_knn,Easy,100,100,1.0,100,1.0,0.011599945486523211,0.1821029805229045,0.0004039728082716465,0.05360933786723763,0.0,13.099999999999994,2.220446049250313e-16,0.11079070270760072,0.52,0.14592870609576697,0,0.65,0.65,0.08,0.01,0.4425287356321839
f_n3p_knn,Extreme,100,98,0.98,98,0.98,0.028352890512906015,0.6507861182675686,0.0004793638363480568,0.1682779314299114,0.0,744.749999999999,0.0013441075439655226,0.4700342555149655,0.95,0.09140336116455505,0,0.84,0.84,0.21,0.02,0.3902439024390244
md_dqn,Complex,100,2,0.02,2,0.02,0.17035537271294743,0.5018287347862496,0.0014287680387496948,0.25621781470486893,600.0,600.0,0.6994523479471619,0.9362703190734092,0.34,0.4558096962999173,0,0.0,0.0,0.0,0.0,
md_dqn,Easy,100,0,0.0,0,0.0,0.16726549540180713,0.4022673966945149,0.0014687320217490196,0.19793268325040117,600.0,600.0,,,0.24,0.6187349050779781,0,0.0,0.0,0.0,0.0,
md_dqn,Extreme,100,1,0.01,1,0.01,0.1670584853272885,0.43707167754182585,0.0014350530691444874,0.233840741366148,600.0,600.0,0.17330117390913968,0.17330117390913968,0.49,0.4273195470734525,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,100,90,0.9,90,0.9,0.2238398710032925,3.513909533317201,0.00037423381581902504,0.6659094698098488,47.0,5293.499999999998,0.0,0.13251002485119345,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,97,0.97,97,0.97,0.1777756444644183,2.995896302245091,0.00037915795110166073,0.4965653238957748,21.0,4042.7,0.0,0.05449935958862551,0.29,0.11357560268421141,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.2443783754715696,3.5340436338447034,0.00044926884584128857,0.8086048336606473,67.5,5887.699999999999,0.0,0.08556909818762308,0.49,0.08627787389901775,1,0.84,0.0,0.84,0.18,1.0
vanilla_ha,Complex,100,83,0.83,83,0.83,0.3045051097869873,2.5008615970611574,0.14615273475646973,0.85744309425354,221.5,4215.0,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.19156372547149658,2.500408339500427,0.14602303504943848,0.5566752147674561,72.5,3497.25,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,82,0.82,82,0.82,0.3221893310546875,2.500551533699036,0.1462557315826416,0.8395491957664489,283.0,4074.949999999999,,,0.07,0.08210132342290871,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.621207962045446,1.1202389013255014,0.33080539503134787,0.6519737096037715,5.5,345.15,0.06663598334094822,0.20861157304611022,0.55,0.13550370839120096,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.6199595748912543,0.9213686156785116,0.326165365986526,0.6044199573737569,4.0,65.44999999999997,0.10242773851167453,0.2589660261123484,0.68,0.27638649143002797,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,99,0.99,99,0.99,0.621736248373054,0.9992344069294631,0.32947764499112964,0.6362954474799335,5.5,158.9499999999996,0.05981344147232903,0.20882966561144234,0.63,0.11271468208877666,0,0.0,0.0,0.0,0.0,
