method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.6185915664536878,0.9168067017337307,0.3298076600767672,0.6195648356364108,4.0,17.19999999999999,0.04109138760376885,0.16293325884203816,0.56,0.24620354394130317,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.5156929699005559,1.1222200651187448,0.19203973491676152,0.6040498811216094,3.0,11.049999999999997,0.05148998461458665,0.24391003633241448,0.5,0.382798536425827,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,99,0.99,99,0.99,0.6578240238595754,0.9983005715068427,0.3389225620776415,0.65410717736464,4.0,126.39999999999998,0.03525786475165571,0.210729954433446,0.52,0.19166350786576264,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,99,0.99,99,0.99,0.02472874755039811,0.35716000319225627,0.0003891880623996258,0.11816420908086002,0.0,214.99999999999835,2.220446049250313e-16,0.18764589097031903,0.69,0.10245692805145601,0,0.68,0.68,0.19,0.02,0.3793103448275862
f_n3p_knn,Easy,100,100,1.0,100,1.0,0.011613976443186402,0.189193222974427,0.00043136184103786945,0.05403973261360079,0.0,13.099999999999994,2.220446049250313e-16,0.11079070270760072,0.52,0.14592870609576697,0,0.65,0.65,0.08,0.01,0.4425287356321839
f_n3p_knn,Extreme,100,97,0.97,97,0.97,0.028288176865316927,0.6512930711382058,0.00047347997315227985,0.1953637163923122,0.0,744.299999999999,0.0013441075439655226,0.4700342555149655,0.95,0.09149082694759281,0,0.84,0.84,0.21,0.03,0.3902439024390244
md_dqn,Complex,100,2,0.02,2,0.02,0.1705677700228989,0.6083499825908802,0.0014461760874837637,0.25455087665235626,600.0,600.0,0.6994523479471619,0.9362703190734092,0.34,0.4558096962999173,0,0.0,0.0,0.0,0.0,
md_dqn,Easy,100,0,0.0,0,0.0,0.16844332229811698,0.4051677387556992,0.0014808718115091324,0.19818775665480642,600.0,600.0,,,0.24,0.6187349050779781,0,0.0,0.0,0.0,0.0,
md_dqn,Extreme,100,1,0.01,1,0.01,0.16836962010711432,0.44557029750430954,0.0014528259634971619,0.24605884899152441,600.0,600.0,0.17330117390913968,0.17330117390913968,0.49,0.4273195470734525,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,100,90,0.9,90,0.9,0.21806225192267448,3.512888082372956,0.0003756769001483917,0.6610122507764027,47.0,5282.949999999997,0.0,0.13251002485119345,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,97,0.97,97,0.97,0.18307907541748136,2.9955800119787446,0.00041321292519569397,0.5012561543565244,21.0,4043.7999999999997,0.0,0.05449935958862551,0.29,0.11357560268421141,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.25166216446086764,3.514561951323412,0.0004495710600167513,0.8197631116583943,67.5,5878.45,0.0,0.08556909818762308,0.49,0.08676806330913434,0,0.84,0.0,0.84,0.18,1.0
vanilla_ha,Complex,100,83,0.83,83,0.83,0.30647218227386475,2.5004566073417664,0.14441871643066406,0.8504161071777344,221.5,4300.65,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.19812226295471191,2.500258815288544,0.14905381202697754,0.5631307578086853,72.5,3414.6,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,82,0.82,82,0.82,0.32194674015045166,2.5008603811264036,0.1484699249267578,0.8548967337608337,283.0,4154.599999999999,,,0.07,0.08210132342290871,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.6213445385219529,1.0617838853271677,0.32747992197982967,0.6474998107436113,5.0,346.6499999999999,0.06606822401813073,0.19430280634431782,0.64,0.1512847527608811,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.6271576849976555,0.9716392334667034,0.32755917496979237,0.620920446140226,4.0,67.34999999999992,0.09853171749346812,0.2589660261123484,0.7,0.27638649143002797,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,99,0.99,99,0.99,0.6600056651514024,1.0611113721504806,0.33696757699362934,0.6618367094360292,6.0,237.64999999999986,0.07223011254782685,0.2035691444196761,0.63,0.11134088970312195,0,0.0,0.0,0.0,0.0,
