method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,100,100,1.0,100,1.0,0.617498833569698,0.9187989207101053,0.3284937241114676,0.6176458568149247,4.0,21.19999999999999,0.04109138760376885,0.1627173727602737,0.48,0.24566730094605682,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,100,99,0.99,99,0.99,0.4836575855733827,1.0712640207493673,0.19152541598305106,0.5885182881494984,3.0,12.0,0.05450612170618774,0.23819419135305775,0.53,0.39786265996498915,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,100,99,0.99,99,0.99,0.6201658939244226,1.0089530475204809,0.3311636040452868,0.6278031872422435,4.0,170.19999999999993,0.04033906883475502,0.22058787982070957,0.47,0.17952489770093044,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,100,95,0.95,95,0.95,0.029094927478581667,2.634710704954339,0.0003950130194425583,0.3548154337564483,0.0,2880.2999999999975,0.0,0.13162033126041853,0.48,0.10110457379443105,0,0.68,0.68,0.44,0.06,0.4927536231884058
f_n3p_knn,Easy,100,98,0.98,98,0.98,0.016868475009687245,0.9212822637055068,0.0004060829523950815,0.22585206623421983,0.0,732.4999999999987,0.0,0.19830788692209722,0.46,0.13344812699552455,0,0.65,0.65,0.34,0.04,0.5309734513274337
f_n3p_knn,Extreme,100,90,0.9,90,0.9,0.1834170309593901,3.5166832613409498,0.0004703099839389324,0.5954648950276896,16.0,4956.0,2.220446049250313e-16,0.22014607763061303,0.6,0.08702456994110375,0,0.84,0.84,0.6,0.13,0.5369127516778524
md_dqn,Complex,100,2,0.02,2,0.02,0.16938988456968218,0.3539144769427366,0.0014371799770742655,0.19854183337418363,600.0,600.0,0.6994523479471619,0.9362703190734092,0.34,0.4558096962999173,0,0.0,0.0,0.0,0.0,
md_dqn,Easy,100,0,0.0,0,0.0,0.16945482639130205,0.4399045274592936,0.0014516280498355627,0.2229385051014833,600.0,600.0,,,0.24,0.6187349050779781,0,0.0,0.0,0.0,0.0,
md_dqn,Extreme,100,1,0.01,1,0.01,0.16864986752625555,0.36227716300636525,0.0014215139672160149,0.19115867907414213,600.0,600.0,0.17330117390913968,0.17330117390913968,0.49,0.4273195470734525,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,100,90,0.9,90,0.9,0.22089496604166925,3.5140694321598858,0.00037457607686519623,0.6617096366453916,47.0,5292.699999999998,0.0,0.13251002485119345,0.32,0.09845675386074093,0,0.68,0.0,0.68,0.13,1.0
n3p_k1,Easy,100,96,0.96,96,0.96,0.17853362555615604,3.010880731744691,0.0003871840890496969,0.4973285711393692,21.0,4037.1499999999996,0.0,0.05449935958862551,0.29,0.11434994633033324,0,0.65,0.0,0.65,0.08,1.0
n3p_k1,Extreme,100,88,0.88,88,0.88,0.23952504701446742,3.5173591831815427,0.0004659290425479412,0.8094188676751218,67.5,5846.799999999999,0.0,0.0846720267088266,0.47,0.08676806330913434,0,0.84,0.0,0.84,0.19,1.0
vanilla_ha,Complex,100,83,0.83,83,0.83,0.3166372776031494,2.501174795627594,0.14379239082336426,0.8505429196357727,221.5,4098.849999999999,,,0.04,0.08832339612530526,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,100,91,0.91,91,0.91,0.19204401969909668,2.500135123729706,0.14512062072753906,0.5598205614089966,72.5,3502.5499999999997,,,0.05,0.1170187120741576,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,100,83,0.83,83,0.83,0.317447304725647,2.5007589221000672,0.14609527587890625,0.8359394931793213,283.0,4259.5999999999985,,,0.07,0.08245301456791321,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,100,99,0.99,99,0.99,0.6224782124627382,1.1057076829252763,0.32932688808068633,0.6504784189164639,5.0,345.15,0.0652286703621685,0.2081990242237372,0.59,0.1270427351479797,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,100,100,1.0,100,1.0,0.620294586988166,0.9232056739274412,0.326772146159783,0.6104276828700677,4.0,75.6499999999999,0.10312692201897367,0.25941315410168353,0.7,0.27638649143002797,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,100,99,0.99,99,0.99,0.6204953865380958,0.9965962254558689,0.3295811149291694,0.6238863885845057,6.0,187.1,0.06719370871422303,0.20177722744611393,0.54,0.10941684011060138,0,0.0,0.0,0.0,0.0,
