bucket,distance_bin_key,count,median_time_reduction_vs_vanilla,f_n3p_feasible_rate,fallback_trigger_rate,median_time_delta_f_minus_v_s,vanilla_feasible_rate
Easy,d08_12,25,0.32981051395704963,1.0,0.48,-0.13440939923748374,1.0
Easy,d12_16,25,0.07505649606373266,1.0,0.68,-0.013378468109294772,0.96
Easy,d16_20,25,0.02280929921120789,1.0,0.68,-0.003972489386796951,0.92
Easy,d20_inf,25,-0.025726772466380776,0.92,0.76,0.00872646039351821,0.76
Complex,d08_12,25,0.30597267948286266,1.0,0.44,-0.1443373521324247,1.0
Complex,d12_16,25,0.03978922322687417,1.0,0.64,-0.006856284802779555,0.92
Complex,d16_20,25,-0.23422512125745465,0.84,0.72,0.08861103770323098,0.76
Complex,d20_inf,25,0.4809433265185592,0.96,0.92,-0.6604366779793054,0.64
Extreme,d08_12,25,-0.055945879445185476,0.96,0.84,0.008504837984219193,0.92
Extreme,d12_16,25,0.013532660093257376,0.96,0.8,-0.004776395624503493,0.92
Extreme,d16_20,25,-0.1254758580476294,0.88,0.76,0.06396283046342432,0.8
Extreme,d20_inf,25,-0.5291226863728367,0.8,0.96,0.20285031665116549,0.64
