bucket,method,count,success_rate,feasible_rate,median_time_s,median_time_reduction_vs_vanilla,success_drop_pp_vs_vanilla,collision_violation_total,fallback_f3_rate,fallback_trigger_rate,feasible_diff_pp_vs_vanilla,median_path_inflation_ratio,p95_time_s,subgoal_reachability_rate
Easy,bottleneck_waypoint,100,0.99,0.99,0.5130741675384343,-1.639041249581516,-7.9999999999999964,0,0.0,0.0,7.9999999999999964,0.048803729149013986,1.1257313238922506,
Easy,f_n3p_knn,100,0.98,0.98,0.3083676260430366,-0.5861154909970003,-6.999999999999995,0,0.04,0.65,6.999999999999995,0.0,1.0616408162168227,0.5309734513274337
Easy,md_dqn,100,0.0,0.0,0.1726923092501238,0.11174220720745065,91.0,0,0.0,0.0,-91.0,,0.4296619011322036,
Easy,n3p_k1,100,0.96,0.96,0.30811132304370403,-0.5847971744057068,-4.999999999999993,0,0.08,0.65,4.999999999999993,0.0,3.2746829195297322,1.0
Easy,vanilla_ha,100,0.91,0.91,0.19441688060760498,0.0,0.0,0,0.0,0.0,0.0,,2.5003565073013307,
Easy,voronoi_waypoint,100,1.0,1.0,0.6260044549126178,-2.219907926493758,-8.999999999999996,0,0.0,0.0,8.999999999999996,0.09727237403189726,0.9776761767221614,
Complex,bottleneck_waypoint,100,1.0,1.0,0.6193926589330658,-0.9739159426161059,-17.000000000000004,0,0.0,0.0,17.000000000000004,0.04109138760376885,0.9599141578190028,
Complex,f_n3p_knn,100,0.95,0.95,0.4077010075561702,-0.29928488339210424,-12.0,0,0.06,0.68,12.0,0.0,2.63083265093155,0.4927536231884058
Complex,md_dqn,100,0.02,0.02,0.1712194512365386,0.4543480624004179,81.0,0,0.0,0.0,-81.0,0.6994523479471619,0.4066318587167188,
Complex,n3p_k1,100,0.9,0.9,0.3431715121259913,-0.09363859753199355,-7.000000000000006,0,0.13,0.68,7.000000000000006,0.0,3.513615789380856,1.0
Complex,vanilla_ha,100,0.83,0.83,0.3137887716293335,0.0,0.0,0,0.0,0.0,0.0,,2.5004628896713257,
Complex,voronoi_waypoint,100,0.99,0.99,0.620969524490647,-0.9789411879408298,-16.000000000000004,0,0.0,0.0,16.000000000000004,0.07055184590197361,1.0815678328508511,
Extreme,bottleneck_waypoint,100,1.0,1.0,0.6183669898891822,-0.9882490100685459,-18.000000000000004,0,0.0,0.0,18.000000000000004,0.03671352294032215,0.9336710400646552,
Extreme,f_n3p_knn,100,0.9,0.9,0.39251283649355173,-0.2620551733160261,-8.000000000000007,0,0.13,0.84,8.000000000000007,0.0005034854358592078,3.5233913317089898,0.54
Extreme,md_dqn,100,0.01,0.01,0.1701433644630015,0.4529342906484721,81.0,0,0.0,0.0,-81.0,0.17330117390913968,0.3645930080325341,
Extreme,n3p_k1,100,0.88,0.88,0.3781414639670402,-0.2158465825174074,-6.000000000000005,0,0.19,0.84,6.000000000000005,0.0,3.5304259369964703,1.0
Extreme,vanilla_ha,100,0.82,0.82,0.31101083755493164,0.0,0.0,0,0.0,0.0,0.0,,2.5004032015800477,
Extreme,voronoi_waypoint,100,0.99,0.99,0.6232876145513728,-1.0040704029848668,-17.000000000000004,0,0.0,0.0,17.000000000000004,0.05940979868610996,0.981750950764399,
