bucket,query_id,distance_bin_key,time_delta_f_minus_v_s,time_reduction_vs_vanilla,f_n3p_failure_reason,f_n3p_fallback_f1_count,f_n3p_fallback_f2_count,f_n3p_fallback_f3_count,f_n3p_fallback_triggered,f_n3p_feasible,f_n3p_path_inflation_ratio,f_n3p_subgoal_reachability_rate,f_n3p_success,f_n3p_time_s,map_seed,profile_name,query_seed,vanilla_failure_reason,vanilla_feasible,vanilla_success,vanilla_time_s
Complex,complex_s00_q0000,d08_12,-0.3100703612435609,0.4886794104135448,,4,1,0,True,True,-0.0057450273061034896,,True,0.3244363411795348,20360620,complex_d02,20361620,,True,True,0.6345067024230957
Complex,complex_s00_q0001,d12_16,0.0820693327113986,-0.36554059585673104,,0,0,0,False,True,0.03447259109623069,1.0,True,0.3065842939540744,20360620,complex_d02,20361621,,True,True,0.22451496124267578
Complex,complex_s00_q0002,d16_20,1.0153996997978538,-0.406159298903604,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.5154032760765404,20360620,complex_d02,20361622,timeout,False,False,2.5000035762786865
Complex,complex_s00_q0003,d20_inf,-1.6791025998536497,0.6715714218941653,,10,1,0,True,True,,0.5,True,0.8211565611418337,20360620,complex_d02,20361623,timeout,False,False,2.5002591609954834
Complex,complex_s00_q0004,d08_12,0.21005781483836472,-0.8562593377000709,,4,0,0,True,True,0.06703401166235223,0.3333333333333333,True,0.45537813496775925,20360620,complex_d02,20361624,,True,True,0.24532032012939453
Complex,complex_s00_q0005,d12_16,-0.6403718893416226,0.6042148313044382,,8,1,0,True,True,0.016001819890275826,0.0,True,0.4194695050828159,20360621,complex_d02,20361621,,True,True,1.0598413944244385
Complex,complex_s00_q0006,d16_20,0.208108322462067,-0.4782241641391898,,4,1,0,True,True,0.1368873155905701,1.0,True,0.643277304014191,20360621,complex_d02,20361622,,True,True,0.435168981552124
Complex,complex_s00_q0007,d20_inf,-0.5439410745166242,0.4809433265185592,,4,1,0,True,True,-0.014207299534739537,1.0,True,0.5870468080975115,20360621,complex_d02,20361623,,True,True,1.1309878826141357
Complex,complex_s00_q0008,d08_12,0.012341674184426665,-0.045821663626128606,,4,1,0,True,True,0.0,,True,0.2816831429954618,20360621,complex_d02,20361624,,True,True,0.26934146881103516
Complex,complex_s00_q0009,d12_16,-2.0068741051945835,0.802555236493432,,6,0,0,True,True,,0.3333333333333333,True,0.49373147799633443,20360621,complex_d02,20361625,timeout,False,False,2.500605583190918
Complex,complex_s00_q0010,d16_20,0.9228223490063101,-0.36899046823826254,f2_failed:prediction:goal_in_collision;goal:node_budget_exhausted;f3_failed:timeout,4,1,1,True,False,,,False,3.4237605261150748,20360622,complex_d02,20361622,timeout,False,False,2.5009381771087646
Complex,complex_s00_q0011,d20_inf,0.5679540974088013,-1.8453518949341894,,8,1,0,True,True,0.09269579367137415,0.75,True,0.8757295948453248,20360622,complex_d02,20361623,,True,True,0.30777549743652344
Complex,complex_s00_q0012,d08_12,-0.01309514930471778,0.07327119074692545,,0,0,0,False,True,0.14866101445076407,1.0,True,0.1656265170313418,20360622,complex_d02,20361624,,True,True,0.17872166633605957
Complex,complex_s00_q0013,d12_16,0.012068317970260978,-0.0747143047660297,,4,1,0,True,True,0.0015973852267467947,,True,0.17359452112577856,20360622,complex_d02,20361625,,True,True,0.16152620315551758
Complex,complex_s00_q0014,d16_20,0.3344367581885308,-0.6684967372292436,,4,1,0,True,True,0.006868727330908042,1.0,True,0.8347185689490288,20360622,complex_d02,20361626,,True,True,0.500281810760498
Complex,complex_s00_q0015,d20_inf,-1.72877626423724,0.6915043066778646,,9,1,0,True,True,,0.0,True,0.7712461471091956,20360623,complex_d02,20361623,timeout,False,False,2.5000224113464355
Complex,complex_s00_q0016,d08_12,-0.15559415612369776,0.997231432680568,,0,0,0,False,True,0.0,,True,0.0004319688305258751,20360623,complex_d02,20361624,,True,True,0.15602612495422363
Complex,complex_s00_q0017,d12_16,-0.16021248092874885,0.9953885607010812,,0,0,0,False,True,0.0,,True,0.0007422328926622868,20360623,complex_d02,20361625,,True,True,0.16095471382141113
Complex,complex_s00_q0018,d16_20,-0.1543695277068764,0.9955620319532174,,0,0,0,False,True,0.0,,True,0.0006881409790366888,20360623,complex_d02,20361626,,True,True,0.15505766868591309
Complex,complex_s00_q0019,d20_inf,-1.8380690971389413,0.7985397501124617,,4,0,0,True,True,0.05343676273063269,0.3333333333333333,True,0.4637187561020255,20360623,complex_d02,20361627,,True,True,2.301787853240967
Complex,complex_s01_q0020,d08_12,0.28382928390055895,-1.7383409592485863,,5,0,0,True,True,0.04734876773733343,0.0,True,0.4471052410081029,20370620,complex_d02,20371620,,True,True,0.16327595710754395
Complex,complex_s01_q0021,d12_16,0.6277515322435647,-0.8460765004938362,,5,1,0,True,True,0.002739106102503941,0.0,True,1.369707527803257,20370620,complex_d02,20371621,,True,True,0.7419559955596924
Complex,complex_s01_q0022,d16_20,-2.036184986354783,0.8143256636610241,,1,0,0,True,True,,0.6666666666666666,True,0.4642703931313008,20370620,complex_d02,20371622,timeout,False,False,2.500455379486084
Complex,complex_s01_q0023,d20_inf,-0.8562776416074485,0.6414999405750543,,6,1,0,True,True,0.003178628551239626,0.0,True,0.4785278469789773,20370620,complex_d02,20371623,,True,True,1.3348054885864258
Complex,complex_s01_q0024,d08_12,0.010191284585744143,-0.049271731433629284,,4,1,0,True,True,0.0,,True,0.21702965395525098,20370620,complex_d02,20371624,,True,True,0.20683836936950684
Complex,complex_s01_q0025,d12_16,-1.8858173948246986,0.7542116585821252,,4,0,0,True,True,,0.25,True,0.6145647901576012,20370621,complex_d02,20371621,timeout,False,False,2.5003821849823
Complex,complex_s01_q0026,d16_20,0.14741067052818835,-0.8831497120218121,,2,0,0,True,True,0.02465062628100756,0.0,True,0.31432537198998034,20370621,complex_d02,20371622,,True,True,0.166914701461792
Complex,complex_s01_q0027,d20_inf,-1.7434947425499558,0.7892618438602197,,1,0,0,True,True,-0.0025142882101275577,0.6666666666666666,True,0.4655246799811721,20370621,complex_d02,20371623,,True,True,2.209019422531128
Complex,complex_s01_q0028,d08_12,0.8916561196092516,-0.525293553129794,,4,1,1,True,True,0.0,,True,2.5890996048692614,20370621,complex_d02,20371624,,True,True,1.6974434852600098
Complex,complex_s01_q0029,d12_16,0.007130806799978018,-0.039141868579966044,,4,1,0,True,True,0.0,,True,0.18930930411443114,20370621,complex_d02,20371625,,True,True,0.18217849731445312
Complex,complex_s01_q0030,d16_20,-0.1475134501233697,0.9952294805161642,,0,0,0,False,True,0.0,,True,0.0007070889696478844,20370622,complex_d02,20371622,,True,True,0.14822053909301758
Complex,complex_s01_q0031,d20_inf,0.13663781760260463,-0.7944668024119204,,0,0,0,False,True,0.032017362273593086,1.0,True,0.30862463591620326,20370622,complex_d02,20371623,,True,True,0.17198681831359863
Complex,complex_s01_q0032,d08_12,-1.6225179184693843,0.8455592849674519,,1,0,0,True,True,0.4683407174195393,0.5,True,0.2963515769224614,20370622,complex_d02,20371624,,True,True,1.9188694953918457
Complex,complex_s01_q0033,d12_16,0.013993785483762622,-0.02216455903632686,,4,1,0,True,True,0.0,,True,0.6453524089884013,20370622,complex_d02,20371625,,True,True,0.6313586235046387
Complex,complex_s01_q0034,d16_20,0.0004722962621599436,-0.0031043938950663374,,0,0,0,False,True,-0.0004941173982762059,1.0,True,0.1526102910283953,20370622,complex_d02,20371626,,True,True,0.15213799476623535
