bucket,query_id,distance_bin_key,case_set,rank,time_delta_f_minus_v_s,time_reduction_vs_vanilla,f_n3p_failure_reason,f_n3p_fallback_f1_count,f_n3p_fallback_f2_count,f_n3p_fallback_f3_count,f_n3p_fallback_triggered,f_n3p_feasible,f_n3p_path_inflation_ratio,f_n3p_subgoal_reachability_rate,f_n3p_success,f_n3p_time_s,map_seed,profile_name,query_seed,vanilla_failure_reason,vanilla_feasible,vanilla_success,vanilla_time_s
Extreme,extreme_s04_q0083,d20_inf,slowest_f_n3p_vs_vanilla,1,2.1677488007117063,-0.8670358513083272,f2_failed:prediction:timeout;goal:timeout;f3_failed:timeout,4,1,1,True,False,,1.0,False,4.6679323830176145,20500620,extreme_d06,20501623,timeout,False,False,2.500183582305908
Extreme,extreme_s01_q0027,d20_inf,slowest_f_n3p_vs_vanilla,2,1.9618789448868483,-0.7846859489896225,f2_failed:prediction:timeout;goal:node_budget_exhausted;f3_failed:timeout,4,1,1,True,False,,,False,4.46208803798072,20470621,extreme_d05,20471623,timeout,False,False,2.500209093093872
Easy,easy_s00_q0007,d20_inf,slowest_f_n3p_vs_vanilla,3,1.5242989959660918,-0.609616113595425,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,12,2,1,True,False,,0.5,False,4.0247233810368925,20260621,easy_d01,20261623,timeout,False,False,2.500424385070801
Easy,easy_s03_q0075,d20_inf,slowest_f_n3p_vs_vanilla,4,1.3684339253231883,-0.5469414733460951,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,8,2,1,True,False,,,False,3.8704089848324656,20290623,easy_d01,20291623,timeout,False,False,2.5019750595092773
Extreme,extreme_s01_q0035,d20_inf,slowest_f_n3p_vs_vanilla,5,1.3239424685016274,-0.5291226863728367,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,8,2,1,True,False,,1.0,False,3.826088950969279,20470623,extreme_d03,20471623,timeout,False,False,2.5021464824676514
Extreme,extreme_s04_q0099,d20_inf,slowest_f_n3p_vs_vanilla,6,1.1760352039709687,-0.47039147213499954,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,6,1,1,True,False,,0.0,False,3.676155366934836,20500623,extreme_d07,20501627,timeout,False,False,2.500120162963867
Complex,complex_s04_q0086,d16_20,slowest_f_n3p_vs_vanilla,7,1.1713297390379012,-0.468483330572633,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,1.0,False,3.6715889000333846,20400621,complex_d02,20401622,timeout,False,False,2.5002591609954834
Extreme,extreme_s03_q0074,d16_20,slowest_f_n3p_vs_vanilla,8,1.1706612072885036,-0.468189515512319,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,5,1,1,True,False,,0.0,False,3.671061512082815,20490622,extreme_d07,20491626,timeout,False,False,2.5004003047943115
Extreme,extreme_s03_q0069,d12_16,slowest_f_n3p_vs_vanilla,9,1.1189364462625235,-4.689412771500259,,17,3,0,True,True,0.9713462768320107,0.4,True,1.3575455218087882,20490621,extreme_d07,20491625,,True,True,0.23860907554626465
Extreme,extreme_s00_q0007,d20_inf,slowest_f_n3p_vs_vanilla,10,1.0206580301746726,-1.4576995110618416,,4,1,0,True,True,0.0,,True,1.7208421370014548,20460621,extreme_d05,20461623,,True,True,0.7001841068267822
Extreme,extreme_s01_q0026,d16_20,slowest_f_n3p_vs_vanilla,11,1.0206365569029003,-3.424477046745171,,4,1,0,True,True,-0.005345242220534119,1.0,True,1.3186781390104443,20470621,extreme_d04,20471622,,True,True,0.29804158210754395
Extreme,extreme_s02_q0048,d08_12,slowest_f_n3p_vs_vanilla,12,1.0178228088188916,-2.8326818132368587,,5,1,0,True,True,0.048825478708163894,0.0,True,1.3771370120812207,20480621,extreme_d06,20481624,,True,True,0.3593142032623291
Complex,complex_s02_q0055,d20_inf,slowest_f_n3p_vs_vanilla,13,1.0171888403128833,-0.40685035474772047,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.51734357397072,20380623,complex_d02,20381623,timeout,False,False,2.500154733657837
Complex,complex_s00_q0002,d16_20,slowest_f_n3p_vs_vanilla,14,1.0153996997978538,-0.406159298903604,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.5154032760765404,20360620,complex_d02,20361622,timeout,False,False,2.5000035762786865
Extreme,extreme_s03_q0078,d16_20,slowest_f_n3p_vs_vanilla,15,1.0130123866256326,-0.4051306957317582,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.513470627134666,20490623,extreme_d06,20491626,timeout,False,False,2.500458240509033
Extreme,extreme_s01_q0029,d12_16,slowest_f_n3p_vs_vanilla,16,1.0130038929637522,-0.4051515206388674,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.5133126450236887,20470621,extreme_d07,20471625,timeout,False,False,2.5003087520599365
Extreme,extreme_s00_q0014,d16_20,slowest_f_n3p_vs_vanilla,17,1.0126024547498673,-0.4050258404004812,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.512695914832875,20460622,extreme_d07,20461626,timeout,False,False,2.500093460083008
Extreme,extreme_s01_q0028,d08_12,slowest_f_n3p_vs_vanilla,18,1.0120586673729122,-0.40476734019129146,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.512405327986926,20470621,extreme_d06,20471624,timeout,False,False,2.5003466606140137
Extreme,extreme_s00_q0011,d20_inf,slowest_f_n3p_vs_vanilla,19,1.011889158282429,-0.4041526580624808,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.515619216952473,20460622,extreme_d04,20461623,timeout,False,False,2.503730058670044
Complex,complex_s03_q0062,d16_20,slowest_f_n3p_vs_vanilla,20,0.9598757277708501,-0.37597626373518533,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,4,1,1,True,False,,,False,3.5128978739958256,20390620,complex_d02,20391622,timeout,False,False,2.5530221462249756
Easy,easy_s03_q0070,d16_20,fastest_f_n3p_vs_vanilla,1,-2.346483299508691,0.9378041367873657,,3,0,0,True,True,,0.0,True,0.15562050603330135,20290622,easy_d00,20291622,timeout,False,False,2.502103805541992
Extreme,extreme_s02_q0054,d16_20,fastest_f_n3p_vs_vanilla,2,-2.1903438386507332,0.8761042818378404,,0,0,0,False,True,,1.0,True,0.3097510519437492,20480622,extreme_d07,20481626,timeout,False,False,2.5000948905944824
Extreme,extreme_s02_q0045,d12_16,fastest_f_n3p_vs_vanilla,3,-2.190000949660316,0.8759096627493207,,0,0,0,False,True,,1.0,True,0.3102579729165882,20480621,extreme_d03,20481621,timeout,False,False,2.5002589225769043
Extreme,extreme_s03_q0076,d08_12,fastest_f_n3p_vs_vanilla,4,-2.1875712471082807,0.8749820200964028,,4,1,0,True,True,,1.0,True,0.3125615520402789,20490623,extreme_d04,20491624,timeout,False,False,2.5001327991485596
