k_neighbors,bucket,distance_bin_key,count,median_paired_reduction_vs_vanilla,f_n3p_median_time_s,vanilla_median_time_s,f_n3p_feasible_count,vanilla_feasible_count,f_n3p_f3_count
5,Easy,d08_12,25,0.9572529115470816,0.010031608864665031,0.15448641777038574,25,25,0
5,Easy,d12_16,25,0.9229483875107551,0.014904215931892395,0.17269611358642578,25,24,0
5,Easy,d16_20,25,0.9375685601607324,0.017421216936782002,0.2125704288482666,25,23,2
5,Easy,d20_inf,25,0.910454663564992,0.17874234495684505,0.33129048347473145,23,19,2
5,Complex,d08_12,25,0.9631243542168948,0.010419768979772925,0.1634688377380371,25,25,1
5,Complex,d12_16,25,0.7913500788061434,0.1637542499229312,0.22608733177185059,25,23,0
5,Complex,d16_20,25,0.8766102463429694,0.028726449003443122,0.3911559581756592,21,19,4
5,Complex,d20_inf,25,0.8843024104015159,0.1833829761017114,1.7693877220153809,24,16,1
5,Extreme,d08_12,25,0.8362291195665164,0.16138401511125267,0.2620999813079834,24,23,1
5,Extreme,d12_16,25,0.9096148926481054,0.020624857861548662,0.24630403518676758,24,23,1
5,Extreme,d16_20,25,0.6113362944016653,0.18735762010328472,0.29992032051086426,22,20,5
5,Extreme,d20_inf,25,0.07656751702739784,0.36246058717370033,0.7363762855529785,20,17,6
10,Easy,d08_12,25,0.980076123873639,0.010085379937663674,0.15359139442443848,25,25,0
10,Easy,d12_16,25,0.9540941815395492,0.01073874207213521,0.16843008995056152,25,24,0
10,Easy,d16_20,25,0.934531265629695,0.017856441903859377,0.21007132530212402,25,23,2
10,Easy,d20_inf,25,0.9233361199664828,0.02925190608948469,0.31697988510131836,25,19,0
10,Complex,d08_12,25,0.9681185629623037,0.010434702038764954,0.16345739364624023,25,25,0
10,Complex,d12_16,25,0.9247165239636362,0.02884152578189969,0.22423839569091797,25,23,0
10,Complex,d16_20,25,0.9065599607486605,0.02095299889333546,0.38930511474609375,23,19,2
10,Complex,d20_inf,25,0.9260653502374221,0.03718872391618788,1.598890781402588,24,16,1
10,Extreme,d08_12,25,0.9277690799270836,0.021238115848973393,0.26035189628601074,24,23,1
10,Extreme,d12_16,25,0.9231004958591391,0.02000177907757461,0.240142822265625,24,23,2
10,Extreme,d16_20,25,0.8767840172222734,0.02875096397474408,0.29722046852111816,22,20,3
10,Extreme,d20_inf,25,0.5715291029328906,0.2241597301326692,0.7000279426574707,23,17,3
20,Easy,d08_12,25,0.9798107225259071,0.010514809051528573,0.15441060066223145,25,25,0
20,Easy,d12_16,25,0.9513800068334122,0.010960022918879986,0.16974520683288574,25,24,0
20,Easy,d16_20,25,0.9400966601059599,0.018480524886399508,0.21210765838623047,25,23,1
20,Easy,d20_inf,25,0.9436931836309824,0.028247806010767817,0.31599974632263184,25,19,0
20,Complex,d08_12,25,0.9694042326738547,0.010514547117054462,0.1636655330657959,25,25,0
20,Complex,d12_16,25,0.9248378599225316,0.02013585902750492,0.22425079345703125,25,23,0
20,Complex,d16_20,25,0.9128170697258168,0.020179983926936984,0.388843297958374,24,19,1
20,Complex,d20_inf,25,0.973733366910853,0.03242100705392659,1.6052625179290771,25,16,1
20,Extreme,d08_12,25,0.9321834807447077,0.020811045076698065,0.2617368698120117,25,23,0
20,Extreme,d12_16,25,0.9213339594457968,0.0208683458622545,0.23869800567626953,25,23,0
20,Extreme,d16_20,25,0.9256718015297786,0.028468339005485177,0.29826927185058594,25,20,0
20,Extreme,d20_inf,25,0.910270465004486,0.03811442502774298,0.7027616500854492,23,17,2
40,Easy,d08_12,25,0.9790047248557071,0.010525627993047237,0.15318727493286133,25,25,0
40,Easy,d12_16,25,0.944751305449023,0.010968688176944852,0.1683337688446045,25,24,0
40,Easy,d16_20,25,0.9360359118103427,0.019069878151640296,0.21187281608581543,25,23,1
40,Easy,d20_inf,25,0.9548708155282569,0.029254788998514414,0.31707310676574707,25,19,0
40,Complex,d08_12,25,0.9683894699620509,0.010523440083488822,0.16428327560424805,25,25,0
40,Complex,d12_16,25,0.94410962729689,0.021316536935046315,0.2255260944366455,25,23,0
40,Complex,d16_20,25,0.9687005658984498,0.020980005152523518,0.39856767654418945,25,19,0
40,Complex,d20_inf,25,0.9711535569876898,0.03412153897807002,1.6030192375183105,25,16,0
40,Extreme,d08_12,25,0.9416282596069766,0.02079192316159606,0.2590675354003906,25,23,0
40,Extreme,d12_16,25,0.9320601932988771,0.020655666012316942,0.23842620849609375,25,23,1
40,Extreme,d16_20,25,0.9285133142764835,0.028982626972720027,0.2988088130950928,25,20,0
40,Extreme,d20_inf,25,0.918394294628321,0.03852903191000223,0.7025191783905029,23,17,2
