k_neighbors,rank,query_id,distance_bin_key,paired_reduction_vs_vanilla,delta_f_minus_v_s,f_n3p_time_s,vanilla_time_s,f_n3p_feasible,vanilla_feasible,fallback_f1_count,fallback_f2_count,fallback_f3_count,failure_reason
5,1,extreme_s01_q0026,d16_20,-2.9575985411949195,0.8870439024176449,1.1869642229285091,0.29992032051086426,True,True,4,1,1,
5,2,extreme_s02_q0048,d08_12,-2.4202294088705245,0.8727791430428624,1.233397495932877,0.36061835289001465,True,True,5,1,0,
5,3,extreme_s03_q0069,d12_16,-1.435411631999017,0.3211748858448118,0.5449259539600462,0.22375106811523438,True,True,17,3,0,
5,4,extreme_s00_q0007,d20_inf,-1.3294500102807967,0.9789754603989422,1.7153517459519207,0.7363762855529785,True,True,4,1,0,
5,5,extreme_s02_q0059,d20_inf,-1.1437159731242033,0.19891962176188827,0.3728435910306871,0.17392396926879883,True,True,9,2,0,
5,6,extreme_s04_q0083,d20_inf,-0.8090076539380573,2.0228209958877414,4.523194120964035,2.500373125076294,False,False,4,1,1,f2_failed:prediction:timeout;goal:timeout;f3_failed:timeout
5,7,extreme_s01_q0027,d20_inf,-0.7554810056682713,1.8896119436249137,4.3908157190307975,2.501203775405884,False,False,4,1,1,f2_failed:prediction:timeout;goal:node_budget_exhausted;f3_failed:timeout
5,8,extreme_s04_q0082,d16_20,-0.6954692113932144,0.8745846545789391,2.1321308410260826,1.2575461864471436,True,True,4,1,1,
5,9,extreme_s02_q0051,d20_inf,-0.6322998737747727,0.7704306491650641,1.9888883479870856,1.2184576988220215,True,True,4,1,1,
5,10,extreme_s01_q0023,d20_inf,-0.5455180838173381,0.4713679882697761,1.3354419800452888,0.8640739917755127,True,True,5,1,0,
5,11,extreme_s04_q0086,d16_20,-0.5011660289596649,0.12872186792083085,0.3855666269082576,0.25684475898742676,True,True,8,2,0,
5,12,extreme_s03_q0063,d20_inf,-0.47321575493864265,0.08432242483831942,0.2625126561615616,0.1781902313232422,True,True,8,1,0,
5,13,extreme_s01_q0035,d20_inf,-0.47213245891282773,1.1810308522544801,3.6825128621421754,2.5014820098876953,False,False,8,2,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
5,14,extreme_s03_q0074,d16_20,-0.4092931691983164,1.0234072064049542,3.5238330219872296,2.5004258155822754,False,False,5,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
