k_neighbors,bucket,method_count,record_count,query_count,formal_acceptance,source_head,median_time_reduction_vs_vanilla,f_n3p_median_time_s,vanilla_median_time_s,f_n3p_feasible_rate,vanilla_feasible_rate,success_drop_pp,median_path_inflation_ratio,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,collision_violation_total
5,Easy,6,1800,300,False,98faaba69dfe79fe6c8f9d41f3fb59cf249f3987,0.912163497535005,0.016868475009687245,0.19204401969909668,0.98,0.91,-6.999999999999995,0.0,0.65,0.65,0.34,0.04,0
5,Complex,6,1800,300,False,98faaba69dfe79fe6c8f9d41f3fb59cf249f3987,0.9081127538146435,0.029094927478581667,0.3166372776031494,0.95,0.83,-12.0,0.0,0.68,0.68,0.44,0.06,0
5,Extreme,6,1800,300,False,98faaba69dfe79fe6c8f9d41f3fb59cf249f3987,0.4222126689092295,0.1834170309593901,0.317447304725647,0.9,0.83,-7.000000000000006,2.220446049250313e-16,0.84,0.84,0.6,0.13,0
10,Easy,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9412846034676801,0.011183807393535972,0.19047486782073975,1.0,0.91,-8.999999999999996,2.220446049250313e-16,0.65,0.65,0.18,0.02,0
10,Complex,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9147005575933969,0.025796045549213886,0.302417516708374,0.97,0.83,-14.000000000000002,0.0,0.68,0.68,0.3,0.03,0
10,Extreme,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.8747177852176239,0.03880151640623808,0.30971288681030273,0.93,0.83,-10.000000000000009,2.220446049250313e-16,0.84,0.84,0.46,0.09,0
20,Easy,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9411271806386476,0.011215954087674618,0.1905115842819214,1.0,0.91,-8.999999999999996,2.220446049250313e-16,0.65,0.65,0.08,0.01,0
20,Complex,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.919421170605908,0.02445552556309849,0.30349814891815186,0.99,0.83,-16.000000000000004,2.220446049250313e-16,0.68,0.68,0.19,0.02,0
20,Extreme,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9103138908562366,0.02775522950105369,0.3094707727432251,0.98,0.83,-15.000000000000002,0.0009486696538667516,0.84,0.84,0.21,0.02,0
40,Easy,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9388470556065079,0.01163277542218566,0.190224289894104,1.0,0.91,-8.999999999999996,2.220446049250313e-16,0.65,0.65,0.04,0.01,0
40,Complex,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9259771434348902,0.022508606198243797,0.3040764331817627,1.0,0.83,-17.000000000000004,2.220446049250313e-16,0.68,0.68,0.1,0.0,0
40,Extreme,2,600,300,False,d53fac3b6c79ad6bd7a16ec521f7f6b97197dd89,0.9101804703583203,0.027794881025329232,0.30945253372192383,0.98,0.83,-15.000000000000002,0.0008201751948166969,0.84,0.84,0.13,0.03,0
