method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,1,1,1.0,1,1.0,0.2490485830057878,0.2490485830057878,0.2490485830057878,0.2490485830057878,2.0,2.0,0.16336949958358882,0.16336949958358882,0.0,1.058003713802211,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,1,1,1.0,1,1.0,0.2457469580040197,0.2457469580040197,0.2457469580040197,0.2457469580040197,2.0,2.0,0.0016135709994424818,0.0016135709994424818,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,1,1,1.0,1,1.0,0.24431120799999917,0.24431120799999917,0.24431120799999917,0.24431120799999917,2.0,2.0,0.015900613643873962,0.015900613643873962,0.0,0.5399489878755926,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,1,1,1.0,1,1.0,0.11283808299776865,0.11283808299776865,0.11283808299776865,0.11283808299776865,1.0,1.0,-0.009282663175089412,-0.009282663175089412,0.0,0.11245242878957162,0,1.0,1.0,0.0,0.0,0.0
f_n3p_knn,Easy,1,1,1.0,1,1.0,0.11774879199947463,0.11774879199947463,0.11774879199947463,0.11774879199947463,1.0,1.0,0.48158291227406114,0.48158291227406114,2.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,1.0
f_n3p_knn,Extreme,1,1,1.0,1,1.0,0.00022499999613501132,0.00022499999613501132,0.00022499999613501132,0.00022499999613501132,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,1,1,1.0,1,1.0,0.11744629200256895,0.11744629200256895,0.11744629200256895,0.11744629200256895,11.0,11.0,0.1392374494019295,0.1392374494019295,1.0,0.3061665373194884,0,1.0,0.0,1.0,0.0,
n3p_k1,Easy,1,1,1.0,1,1.0,0.11619258300197544,0.11619258300197544,0.11619258300197544,0.11619258300197544,1.0,1.0,0.48158291227406114,0.48158291227406114,2.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,1.0
n3p_k1,Extreme,1,1,1.0,1,1.0,0.00018733300385065377,0.00018733300385065377,0.00018733300385065377,0.00018733300385065377,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
vanilla_ha,Complex,1,1,1.0,1,1.0,0.11158299446105957,0.11158299446105957,0.11158299446105957,0.11158299446105957,11.0,11.0,,,0.0,0.29596388186557765,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,1,1,1.0,1,1.0,0.11174798011779785,0.11174798011779785,0.11174798011779785,0.11174798011779785,6.0,6.0,,,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,1,1,1.0,1,1.0,0.10653281211853027,0.10653281211853027,0.10653281211853027,0.10653281211853027,1.0,1.0,,,0.0,0.12468080960951333,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,1,1,1.0,1,1.0,0.24634700000024168,0.24634700000024168,0.24634700000024168,0.24634700000024168,2.0,2.0,0.3181629234352461,0.3181629234352461,2.0,1.0814497751184011,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,1,1,1.0,1,1.0,0.2462230829987675,0.2462230829987675,0.2462230829987675,0.2462230829987675,2.0,2.0,0.10311612156435279,0.10311612156435279,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,1,1,1.0,1,1.0,0.13975062499957858,0.13975062499957858,0.13975062499957858,0.13975062499957858,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
