method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,1,1,1.0,1,1.0,0.24714787500124658,0.24714787500124658,0.24714787500124658,0.24714787500124658,2.0,2.0,0.1729564518588671,0.1729564518588671,0.0,1.080840165868927,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,1,1,1.0,1,1.0,0.24821854200126836,0.24821854200126836,0.24821854200126836,0.24821854200126836,2.0,2.0,0.005525149504857385,0.005525149504857385,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,1,1,1.0,1,1.0,0.24913229199592024,0.24913229199592024,0.24913229199592024,0.24913229199592024,2.0,2.0,0.015900613643873962,0.015900613643873962,0.0,0.5399489878755926,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,1,1,1.0,1,1.0,0.11152375000528991,0.11152375000528991,0.11152375000528991,0.11152375000528991,1.0,1.0,-0.009282663175089412,-0.009282663175089412,0.0,0.11245242878957162,0,1.0,1.0,0.0,0.0,0.0
f_n3p_knn,Easy,1,1,1.0,1,1.0,0.1136102909949841,0.1136102909949841,0.1136102909949841,0.1136102909949841,1.0,1.0,0.48158291227406114,0.48158291227406114,2.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,1.0
f_n3p_knn,Extreme,1,1,1.0,1,1.0,0.00020799999765586108,0.00020799999765586108,0.00020799999765586108,0.00020799999765586108,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,1,1,1.0,1,1.0,0.11562816699733958,0.11562816699733958,0.11562816699733958,0.11562816699733958,11.0,11.0,0.1392374494019295,0.1392374494019295,1.0,0.3061665373194884,0,1.0,0.0,1.0,0.0,
n3p_k1,Easy,1,1,1.0,1,1.0,0.11335824999696342,0.11335824999696342,0.11335824999696342,0.11335824999696342,1.0,1.0,0.48158291227406114,0.48158291227406114,2.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,1.0
n3p_k1,Extreme,1,1,1.0,1,1.0,0.0001857090028352104,0.0001857090028352104,0.0001857090028352104,0.0001857090028352104,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
vanilla_ha,Complex,1,1,1.0,1,1.0,0.112030029296875,0.112030029296875,0.112030029296875,0.112030029296875,11.0,11.0,,,0.0,0.29596388186557765,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,1,1,1.0,1,1.0,0.10825181007385254,0.10825181007385254,0.10825181007385254,0.10825181007385254,6.0,6.0,,,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,1,1,1.0,1,1.0,0.10590791702270508,0.10590791702270508,0.10590791702270508,0.10590791702270508,1.0,1.0,,,0.0,0.12468080960951333,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,1,1,1.0,1,1.0,0.24536166700272588,0.24536166700272588,0.24536166700272588,0.24536166700272588,2.0,2.0,0.3181629234352461,0.3181629234352461,2.0,1.0814497751184011,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,1,1,1.0,1,1.0,0.2438344580004923,0.2438344580004923,0.2438344580004923,0.2438344580004923,2.0,2.0,0.10311612156435279,0.10311612156435279,0.0,0.1798317217818617,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,1,1,1.0,1,1.0,0.14031429099850357,0.14031429099850357,0.14031429099850357,0.14031429099850357,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.12468080960951466,0,0.0,0.0,0.0,0.0,
