query_id,difficulty_bucket,profile_name,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
easy_s00_q0000,Easy,easy_d00,20260620,20261620,0,0,0,d08_12,"[6.2, 6.5, -0.40371945387959823]","[16.5, 2.1, -0.40371945387959823]"
easy_s01_q0001,Easy,easy_d01,20270620,20271620,1,0,0,d12_16,"[2.1, 5.800000000000001, 0.824213609478912]","[12.0, 16.5, 0.824213609478912]"
easy_s02_q0002,Easy,easy_d00,20280620,20281620,2,0,0,d16_20,"[25.700000000000003, 14.9, -3.0890095919788516]","[8.6, 14.0, -3.0890095919788516]"
easy_s03_q0003,Easy,easy_d01,20290620,20291620,3,0,0,d20_inf,"[27.1, 21.6, -1.8608832591159248]","[21.1, 1.5, -1.8608832591159248]"
easy_s04_q0004,Easy,easy_d00,20300620,20301620,4,0,0,d08_12,"[10.600000000000001, 14.700000000000001, -3.070285188804503]","[0.8, 14.0, -3.070285188804503]"
complex_s00_q0000,Complex,complex_d02,20360620,20361620,0,0,0,d08_12,"[12.200000000000001, 23.1, -0.19118445959701452]","[21.5, 21.3, -0.19118445959701452]"
complex_s01_q0001,Complex,complex_d02,20370620,20371620,1,0,0,d12_16,"[13.5, 10.0, 2.4919660471381433]","[3.1, 17.900000000000002, 2.4919660471381433]"
complex_s02_q0002,Complex,complex_d02,20380620,20381620,2,0,0,d16_20,"[1.3, 17.5, 0.7811787791544449]","[13.200000000000001, 29.3, 0.7811787791544449]"
complex_s03_q0003,Complex,complex_d02,20390620,20391620,3,0,0,d20_inf,"[6.2, 25.700000000000003, -1.5125662663861446]","[7.5, 3.4000000000000004, -1.5125662663861446]"
complex_s04_q0004,Complex,complex_d02,20400620,20401620,4,0,0,d08_12,"[14.100000000000001, 17.2, 1.5707963267948966]","[14.100000000000001, 26.1, 1.5707963267948966]"
extreme_s00_q0000,Extreme,extreme_d03,20460620,20461620,0,0,0,d08_12,"[29.1, 23.700000000000003, -1.823038784684715]","[26.6, 14.0, -1.823038784684715]"
extreme_s01_q0001,Extreme,extreme_d04,20470620,20471620,1,0,0,d12_16,"[5.5, 14.700000000000001, 1.3397056595989996]","[8.700000000000001, 28.3, 1.3397056595989996]"
extreme_s02_q0002,Extreme,extreme_d05,20480620,20481620,2,0,0,d16_20,"[25.900000000000002, 18.900000000000002, -2.5922181688182424]","[11.200000000000001, 9.9, -2.5922181688182424]"
extreme_s03_q0003,Extreme,extreme_d06,20490620,20491620,3,0,0,d20_inf,"[12.0, 3.5, 0.970746113393143]","[23.700000000000003, 20.6, 0.970746113393143]"
extreme_s04_q0004,Extreme,extreme_d07,20500620,20501620,4,0,0,d08_12,"[11.700000000000001, 6.0, 1.1071487177940904]","[16.6, 15.8, 1.1071487177940904]"
