bucket,distance_bin_key,count,median_time_reduction_vs_vanilla,f_n3p_feasible_count,vanilla_feasible_count,f_n3p_f3_count,median_f_n3p_time_s,median_vanilla_time_s
Easy,d08_12,25,0.9572529115470816,25,25,0,0.010031608864665031,0.15448641777038574
Easy,d12_16,25,0.9229483875107551,25,24,0,0.014904215931892395,0.17269611358642578
Easy,d16_20,25,0.9375685601607324,25,23,2,0.017421216936782002,0.2125704288482666
Easy,d20_inf,25,0.910454663564992,23,19,2,0.17874234495684505,0.33129048347473145
Complex,d08_12,25,0.9631243542168948,25,25,1,0.010419768979772925,0.1634688377380371
Complex,d12_16,25,0.7913500788061434,25,23,0,0.1637542499229312,0.22608733177185059
Complex,d16_20,25,0.8766102463429694,21,19,4,0.028726449003443122,0.3911559581756592
Complex,d20_inf,25,0.8843024104015159,24,16,1,0.1833829761017114,1.7693877220153809
Extreme,d08_12,25,0.8362291195665164,24,23,1,0.16138401511125267,0.2620999813079834
Extreme,d12_16,25,0.9096148926481054,24,23,1,0.020624857861548662,0.24630403518676758
Extreme,d16_20,25,0.6113362944016653,22,20,5,0.18735762010328472,0.29992032051086426
Extreme,d20_inf,25,0.07656751702739784,20,17,6,0.36246058717370033,0.7363762855529785
