query_id,method,bucket,distance_bin_key,old_time_s,new_time_s,delta_new_minus_old_s,old_feasible,new_feasible,old_collision_violation_count,new_collision_violation_count,old_fallback_triggered,new_fallback_triggered,old_fallback_f3_count,new_fallback_f3_count,old_total_expansions,new_total_expansions,old_path_inflation_ratio,new_path_inflation_ratio,old_failure_reason,new_failure_reason
complex_s00_q0000,bottleneck_waypoint,Complex,d08_12,0.47635205811820924,0.47498218598775566,-0.0013698721304535866,True,True,0,0,False,False,0,0,3,3,0.16236636581248254,0.16020750499483838,,
complex_s00_q0000,f_n3p_knn,Complex,d08_12,0.3244363411795348,0.32447258988395333,3.624870441854e-05,True,True,0,0,True,True,0,0,241,241,-0.0057450273061034896,-0.0057450273061034896,,
complex_s00_q0000,md_dqn,Complex,d08_12,0.3174359258264303,0.3172121711540967,-0.00022375467233359814,False,False,0,0,False,False,0,0,354,354,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0000,n3p_k1,Complex,d08_12,0.3226809399202466,0.322443317854777,-0.0002376220654696226,True,True,0,0,True,True,0,0,241,241,-0.0057450273061034896,-0.0057450273061034896,,
complex_s00_q0000,vanilla_ha,Complex,d08_12,0.6345067024230957,0.6369690895080566,0.0024623870849609375,True,True,0,0,False,False,0,0,729,729,,,,
complex_s00_q0000,voronoi_waypoint,Complex,d08_12,0.5084643671289086,0.4983400439377874,-0.01012432319112122,True,True,0,0,False,False,0,0,51,31,0.39083486347350105,0.4040497089435908,,
complex_s00_q0001,bottleneck_waypoint,Complex,d12_16,0.4756032689474523,0.5052260670345277,0.029622798087075353,True,True,0,0,False,False,0,0,3,3,0.025688324029257803,0.00919214771484067,,
complex_s00_q0001,f_n3p_knn,Complex,d12_16,0.3065842939540744,0.016721418825909495,-0.2898628751281649,True,True,0,0,False,False,0,0,2,0,0.03447259109623069,-0.0040525738113603715,,
complex_s00_q0001,md_dqn,Complex,d12_16,0.32637699344195426,0.7159598399884999,0.3895828465465456,False,False,0,0,False,False,0,0,122,122,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0001,n3p_k1,Complex,d12_16,0.30877697886899114,0.014850051142275333,-0.2939269277267158,True,True,0,0,False,False,0,0,2,0,0.03447259109623069,-0.0040525738113603715,,
complex_s00_q0001,vanilla_ha,Complex,d12_16,0.22451496124267578,0.22608733177185059,0.0015723705291748047,True,True,0,0,False,False,0,0,127,127,,,,
complex_s00_q0001,voronoi_waypoint,Complex,d12_16,0.5214553321711719,0.5421246609184891,0.020669328747317195,True,True,0,0,False,False,0,0,75,75,0.05056441184235494,0.06321319026479744,,
complex_s00_q0002,bottleneck_waypoint,Complex,d16_20,0.7552598109468818,0.8056458150967956,0.05038600414991379,True,True,0,0,False,False,0,0,5,5,,,,
complex_s00_q0002,f_n3p_knn,Complex,d16_20,3.5154032760765404,3.5141897229477763,-0.0012135531287640333,False,False,0,0,True,True,1,1,6382,6038,,,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
complex_s00_q0002,md_dqn,Complex,d16_20,0.39380629430525005,0.8905986156314611,0.4967923213262111,False,False,0,0,False,False,0,0,518,518,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0002,n3p_k1,Complex,d16_20,3.513398675015196,3.5140987131744623,0.0007000381592661142,False,False,0,0,True,True,1,1,6373,6028,,,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
complex_s00_q0002,vanilla_ha,Complex,d16_20,2.5000035762786865,2.5001351833343506,0.0001316070556640625,False,False,0,0,False,False,0,0,4323,4096,,,timeout,timeout
complex_s00_q0002,voronoi_waypoint,Complex,d16_20,0.6122410490643233,0.6556116249412298,0.043370575876906514,True,True,0,0,False,False,0,0,7,8,,,,
complex_s00_q0003,bottleneck_waypoint,Complex,d20_inf,0.9532787729986012,0.8089535119943321,-0.14432526100426912,True,True,0,0,False,False,0,0,133,53,,,,
complex_s00_q0003,f_n3p_knn,Complex,d20_inf,0.8211565611418337,0.1991583921480924,-0.6219981689937413,True,True,0,0,True,True,0,0,13,9,,,,
complex_s00_q0003,md_dqn,Complex,d20_inf,0.2213414553552866,0.4928659948054701,0.2715245394501835,False,False,0,0,False,False,0,0,600,600,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0003,n3p_k1,Complex,d20_inf,1.1218267299700528,0.7699238159693778,-0.3519029140006751,True,True,0,0,True,True,0,0,518,516,,,,
complex_s00_q0003,vanilla_ha,Complex,d20_inf,2.5002591609954834,2.500828504562378,0.0005693435668945312,False,False,0,0,False,False,0,0,3126,3151,,,timeout,timeout
complex_s00_q0003,voronoi_waypoint,Complex,d20_inf,0.8268293950241059,0.7753406669944525,-0.05148872802965343,True,True,0,0,False,False,0,0,20,22,,,,
complex_s00_q0004,bottleneck_waypoint,Complex,d08_12,0.4749775528907776,0.473668924998492,-0.0013086278922855854,True,True,0,0,False,False,0,0,3,3,0.04109138760376885,0.04109138760376885,,
complex_s00_q0004,f_n3p_knn,Complex,d08_12,0.45537813496775925,0.024400024907663465,-0.4309781100600958,True,True,0,0,True,True,0,0,3,0,0.06703401166235223,0.040729107504021034,,
complex_s00_q0004,md_dqn,Complex,d08_12,0.17078167852014303,0.338098932756111,0.167317254235968,False,False,0,0,False,False,0,0,600,600,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0004,n3p_k1,Complex,d08_12,0.31224240898154676,0.31330152601003647,0.001059117028489709,True,True,0,0,True,True,0,0,14,14,-0.006912038272056886,-0.006912038272056886,,
complex_s00_q0004,vanilla_ha,Complex,d08_12,0.24532032012939453,0.23378252983093262,-0.011537790298461914,True,True,0,0,False,False,0,0,103,103,,,,
complex_s00_q0004,voronoi_waypoint,Complex,d08_12,0.34811253705993295,0.3484524458181113,0.0003399087581783533,True,True,0,0,False,False,0,0,18,18,-0.009784324568689051,-0.009784324568689051,,
complex_s00_q0005,bottleneck_waypoint,Complex,d12_16,0.5138250638265163,0.4863471849821508,-0.027477878844365478,True,True,0,0,False,False,0,0,3,3,0.06265376586913729,0.09541233237467783,,
complex_s00_q0005,f_n3p_knn,Complex,d12_16,0.4194695050828159,0.2486786290537566,-0.1707908760290593,True,True,0,0,True,True,0,0,86,85,0.016001819890275826,0.015572159042426703,,
complex_s00_q0005,md_dqn,Complex,d12_16,0.258123972453177,0.25612952024675906,-0.001994452206417918,False,False,0,0,False,False,0,0,295,295,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0005,n3p_k1,Complex,d12_16,0.9769444819539785,0.9240694490727037,-0.05287503288127482,True,True,0,0,True,True,0,0,654,654,-0.0040818479840081245,-0.0040818479840081245,,
complex_s00_q0005,vanilla_ha,Complex,d12_16,1.0598413944244385,1.0026144981384277,-0.05722689628601074,True,True,0,0,False,False,0,0,1043,1043,,,,
complex_s00_q0005,voronoi_waypoint,Complex,d12_16,0.5911307549104095,0.565191772999242,-0.025938981911167502,True,True,0,0,False,False,0,0,89,93,0.08509506330801031,0.08367546808208859,,
complex_s00_q0006,bottleneck_waypoint,Complex,d16_20,0.6617362699471414,0.6230394470039755,-0.0386968229431659,True,True,0,0,False,False,0,0,4,4,0.010928312157097775,0.010928312157097775,,
complex_s00_q0006,f_n3p_knn,Complex,d16_20,0.643277304014191,0.16686784219928086,-0.4764094618149102,True,True,0,0,True,True,0,0,4,1,0.1368873155905701,0.13403305451931447,,
complex_s00_q0006,md_dqn,Complex,d16_20,0.17069906485266984,0.16963000688701868,-0.0010690579656511545,False,False,0,0,False,False,0,0,600,600,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0006,n3p_k1,Complex,d16_20,0.6402991549111903,0.16695129312574863,-0.47334786178544164,True,True,0,0,True,True,0,0,4,1,0.1368873155905701,0.13403305451931447,,
complex_s00_q0006,vanilla_ha,Complex,d16_20,0.435168981552124,0.41135501861572266,-0.023813962936401367,True,True,0,0,False,False,0,0,355,355,,,,
complex_s00_q0006,voronoi_waypoint,Complex,d16_20,0.7022294281050563,0.7621692789252847,0.05993985082022846,True,True,0,0,False,False,0,0,50,5,0.0065906885111184366,0.2011256898502276,,
complex_s00_q0007,bottleneck_waypoint,Complex,d20_inf,0.8187693909276277,0.7665735569316894,-0.0521958339959383,True,True,0,0,False,False,0,0,5,5,0.04911758739116556,0.049768927204828506,,
complex_s00_q0007,f_n3p_knn,Complex,d20_inf,0.5870468080975115,0.4059518661815673,-0.18109494191594422,True,True,0,0,True,True,0,0,344,343,-0.014207299534739537,-0.014207299534739648,,
complex_s00_q0007,md_dqn,Complex,d20_inf,0.17111976398155093,0.16966198664158583,-0.001457777339965105,False,False,0,0,False,False,0,0,600,600,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0007,n3p_k1,Complex,d20_inf,0.5857604381162673,0.40745235909707844,-0.17830807901918888,True,True,0,0,True,True,0,0,344,343,-0.014207299534739537,-0.014207299534739648,,
complex_s00_q0007,vanilla_ha,Complex,d20_inf,1.1309878826141357,1.0130209922790527,-0.11796689033508301,True,True,0,0,False,False,0,0,1109,1109,,,,
complex_s00_q0007,voronoi_waypoint,Complex,d20_inf,0.9762659939005971,0.9037272590212524,-0.0725387348793447,True,True,0,0,False,False,0,0,9,9,0.08258277242008338,0.07835475466194719,,
complex_s00_q0008,bottleneck_waypoint,Complex,d08_12,0.35561468196101487,0.33227354497648776,-0.02334113698452711,True,True,0,0,False,False,0,0,4,4,0.06972212032743874,0.06972212032743874,,
complex_s00_q0008,f_n3p_knn,Complex,d08_12,0.2816831429954618,0.26442629285156727,-0.017256850143894553,True,True,0,0,True,True,0,0,186,186,0.0,0.0,,
complex_s00_q0008,md_dqn,Complex,d08_12,0.0014742910861968994,0.0014611408114433289,-1.3150274753570557e-05,False,False,0,0,False,False,0,0,1,1,,,md_dqn_not_reached,md_dqn_not_reached
complex_s00_q0008,n3p_k1,Complex,d08_12,0.27855125698260963,0.26228034496307373,-0.0162709120195359,True,True,0,0,True,True,0,0,186,186,0.0,0.0,,
complex_s00_q0008,vanilla_ha,Complex,d08_12,0.26934146881103516,0.2570490837097168,-0.01229238510131836,True,True,0,0,False,False,0,0,186,186,,,,
