method,bucket,count,new_faster_count,new_slower_count,median_delta_new_minus_old_s,mean_delta_new_minus_old_s,old_feasible_count,new_feasible_count,old_collision_total,new_collision_total,old_f3_count,new_f3_count
bottleneck_waypoint,Easy,100,70,30,-0.019256227533333004,-0.012505645242054015,99,99,0,0,0,0
bottleneck_waypoint,Complex,100,48,52,0.00015647592954337597,-0.004405260805506259,100,100,0,0,0,0
bottleneck_waypoint,Extreme,100,50,50,0.00034416140988469124,-0.0013812762452289462,100,99,0,0,0,0
f_n3p_knn,Easy,100,91,9,-0.1476669266121462,-0.1759751098579727,98,98,0,0,4,4
f_n3p_knn,Complex,100,83,17,-0.14899667247664183,-0.20588596180081367,95,95,0,0,6,6
f_n3p_knn,Extreme,100,88,12,-0.15447093092370778,-0.22391416332218797,90,90,0,0,13,13
md_dqn,Easy,100,86,14,-0.002493523294106126,-0.023730245938058944,0,0,0,0,0,0
md_dqn,Complex,100,85,15,-0.0017416476039215922,-0.014250347688794136,2,2,0,0,0,0
md_dqn,Extreme,100,89,11,-0.0016465459484606981,-0.00860535012325272,1,1,0,0,0,0
n3p_k1,Easy,100,85,15,-0.014282304444350302,-0.09714209543075412,96,96,0,0,8,8
n3p_k1,Complex,100,73,27,-0.007610014989040792,-0.09356873258948326,90,90,0,0,13,13
n3p_k1,Extreme,100,66,34,-0.025807499419897795,-0.10368416677229106,88,88,0,0,19,19
vanilla_ha,Easy,100,75,25,-0.005524754524230957,-0.009356780052185059,91,91,0,0,0,0
vanilla_ha,Complex,100,43,57,0.00037157535552978516,0.0005353641510009766,83,83,0,0,0,0
vanilla_ha,Extreme,100,49,51,7.474422454833984e-05,-0.005799810886383056,82,83,0,0,0,0
voronoi_waypoint,Easy,100,71,29,-0.022170331445522606,-0.0148644890752621,100,100,0,0,0,0
voronoi_waypoint,Complex,100,45,55,0.0003669373691082001,-0.003601911056321114,99,99,0,0,0,0
voronoi_waypoint,Extreme,100,50,50,9.870692156255245e-05,-0.012797890221700072,99,99,0,0,0,0
