query_id,split,difficulty_bucket,profile_name,map_id,map_key,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
ood_dense_s00_q0000,ood_density,OOD-Dense,ood_dense_d08,ood_dense_d08,ood:OOD-Dense:20560623,20560623,20570623,0,0,0,d08_12,"[23.400000000000002, 14.8, 0.9897140279975697]","[27.8, 21.5, 0.9897140279975697]"
ood_dense_s00_q0001,ood_density,OOD-Dense,ood_dense_d08,ood_dense_d08,ood:OOD-Dense:20560624,20560624,20570724,0,0,1,d12_16,"[14.600000000000001, 21.6, -1.2469493394108557]","[19.400000000000002, 7.300000000000001, -1.2469493394108557]"
ood_dense_s00_q0002,ood_density,OOD-Dense,ood_dense_d08,ood_dense_d08,ood:OOD-Dense:20560625,20560625,20570825,0,1,0,d08_12,"[19.8, 29.1, -1.4315170672580502]","[21.3, 18.400000000000002, -1.4315170672580502]"
ood_dense_s01_q0003,ood_density,OOD-Dense,ood_dense_d08,ood_dense_d08,ood:OOD-Dense:20570626,20570626,20580926,1,0,0,d12_16,"[1.9000000000000001, 13.4, -0.8563172786876986]","[10.4, 3.6, -0.8563172786876986]"
ood_dense_s01_q0004,ood_density,OOD-Dense,ood_dense_d08,ood_dense_d08,ood:OOD-Dense:20570627,20570627,20581027,1,0,1,d08_12,"[27.200000000000003, 8.5, -2.44685437739309]","[19.400000000000002, 2.0, -2.44685437739309]"
ood_sparse_s00_q0000,ood_density,OOD-Sparse,ood_sparse_dneg01,ood_sparse_dneg01,ood:OOD-Sparse:20660623,20660623,20670623,0,0,0,d08_12,"[3.6, 5.6000000000000005, 1.2291808361470893]","[6.800000000000001, 14.600000000000001, 1.2291808361470893]"
ood_sparse_s00_q0001,ood_density,OOD-Sparse,ood_sparse_dneg01,ood_sparse_dneg01,ood:OOD-Sparse:20660624,20660624,20670724,0,0,1,d12_16,"[25.6, 2.6, 2.64679365194738]","[11.700000000000001, 10.100000000000001, 2.64679365194738]"
ood_sparse_s00_q0002,ood_density,OOD-Sparse,ood_sparse_dneg01,ood_sparse_dneg01,ood:OOD-Sparse:20660625,20660625,20670825,0,1,0,d08_12,"[27.5, 4.6000000000000005, 3.0771658141642395]","[18.2, 5.2, 3.0771658141642395]"
ood_sparse_s01_q0003,ood_density,OOD-Sparse,ood_sparse_dneg01,ood_sparse_dneg01,ood:OOD-Sparse:20670626,20670626,20680926,1,0,0,d12_16,"[19.6, 19.400000000000002, -1.6571948761533437]","[18.5, 6.7, -1.6571948761533437]"
ood_sparse_s01_q0004,ood_density,OOD-Sparse,ood_sparse_dneg01,ood_sparse_dneg01,ood:OOD-Sparse:20670627,20670627,20681027,1,0,1,d08_12,"[14.3, 14.0, -2.313795672266405]","[6.4, 5.4, -2.313795672266405]"
realmap_dqn_realmap_a_q0000,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20960623,0,0,0,manifest_canonical,"[-32.494, -0.9935499999999995, 0.2330744635685543]","[1.206000000000003, 7.006450000000001, 0.2330744635685543]"
realmap_dqn_realmap_a_q0001,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20971623,0,0,1,d08_12,"[-16.993999999999996, -1.4935499999999995, 2.9996955989856295]","[-28.194, 0.10645000000000016, 2.9996955989856295]"
realmap_dqn_realmap_a_q0002,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20972624,0,0,2,d04_08,"[-25.994, -1.6935499999999997, 2.8822609091891085]","[-30.894, -0.39354999999999984, 2.8822609091891085]"
realmap_willow_garage_0p10_q0000,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20970623,0,1,0,manifest_canonical,"[38.1, 22.200000000000003, -2.173539877277774]","[25.3, 3.6, -2.173539877277774]"
realmap_willow_garage_0p10_q0001,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20981623,0,1,1,d08_12,"[37.800000000000004, 11.3, -2.593043251139265]","[28.8, 5.800000000000001, -2.593043251139265]"
realmap_willow_garage_0p10_q0002,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20982624,0,1,2,d04_08,"[28.1, 2.8000000000000003, 0.6498704494119476]","[33.1, 6.6000000000000005, 0.6498704494119476]"
