query_id,method,difficulty_bucket,distance_bin_key,success,feasible,total_time_s,total_expansions,path_length_m,reference_path_length_m,path_inflation_ratio,direction_switches,mean_abs_curvature,min_clearance_m,collision_violation_count,fallback_f1_count,fallback_f2_count,fallback_f3_count,fallback_triggered,subgoal_reachable_count,subgoal_attempt_count,subgoal_reachability_rate,failure_reason,metadata
ood_dense_s00_q0000,vanilla_ha,OOD-Dense,d08_12,True,True,0.11972999572753906,51,8.585545299846894,,,0,0.2710111817906471,0.11233506852431496,0,0,0,0,False,,,,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560623, ""query_seed"": 20570623, ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 9, ""evaluation_path_pose_count"": 88, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560623"", ""seed_index"": 0, ""map_index"": 0, ""query_index"": 0}"
ood_dense_s00_q0000,f_n3p_knn,OOD-Dense,d08_12,True,True,0.009800875006476417,0,9.312709195873103,8.585545299846894,0.08469629716346327,3,0.3926013046708274,0.1584593127335152,0,4,0,0,True,0,2,0.0,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560623, ""query_seed"": 20570623, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560623"", ""seed_index"": 0, ""map_index"": 0, ""query_index"": 0}"
ood_dense_s00_q0001,vanilla_ha,OOD-Dense,d12_16,False,False,2.500431776046753,6861,,,,0,,,0,0,0,0,False,,,,timeout,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560624, ""query_seed"": 20570724, ""evaluation_path_source"": ""planner_path"", ""planner_path_pose_count"": 0, ""evaluation_path_pose_count"": 0, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560624"", ""seed_index"": 0, ""map_index"": 0, ""query_index"": 1}"
ood_dense_s00_q0001,f_n3p_knn,OOD-Dense,d12_16,True,True,0.3705641660053516,409,20.24211273439283,,,7,0.5179863489659613,0.06528061535861007,0,33,1,0,True,2,7,0.2857142857142857,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560624, ""query_seed"": 20570724, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560624"", ""seed_index"": 0, ""map_index"": 0, ""query_index"": 1}"
ood_dense_s00_q0002,vanilla_ha,OOD-Dense,d08_12,True,True,0.15983009338378906,111,10.917513292706996,,,0,0.21139757726106514,0.058840566711441666,0,0,0,0,False,,,,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560625, ""query_seed"": 20570825, ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 30, ""evaluation_path_pose_count"": 111, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560625"", ""seed_index"": 0, ""map_index"": 1, ""query_index"": 0}"
ood_dense_s00_q0002,f_n3p_knn,OOD-Dense,d08_12,True,True,0.013236750004580244,0,11.618367160811978,10.917513292706996,0.06419537575220158,2,0.19552048113298195,0.054725529233241144,0,12,0,0,True,0,3,0.0,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20560625, ""query_seed"": 20570825, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20560625"", ""seed_index"": 0, ""map_index"": 1, ""query_index"": 0}"
ood_dense_s01_q0003,vanilla_ha,OOD-Dense,d12_16,True,True,0.13307881355285645,89,13.381501551703849,,,0,0.20005108952870662,0.09651614707320044,0,0,0,0,False,,,,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20570626, ""query_seed"": 20580926, ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 17, ""evaluation_path_pose_count"": 137, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20570626"", ""seed_index"": 1, ""map_index"": 0, ""query_index"": 0}"
ood_dense_s01_q0003,f_n3p_knn,OOD-Dense,d12_16,True,True,0.3575808749956195,212,17.132189172220958,13.381501551703849,0.28028899492520254,7,0.41292867960589225,0.07252139917191713,0,61,2,0,True,1,4,0.25,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20570626, ""query_seed"": 20580926, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20570626"", ""seed_index"": 1, ""map_index"": 0, ""query_index"": 0}"
ood_dense_s01_q0004,vanilla_ha,OOD-Dense,d08_12,True,True,0.3410189151763916,626,10.481604388132853,,,0,0.2397380035157224,0.08534422315679602,0,0,0,0,False,,,,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20570627, ""query_seed"": 20581027, ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 19, ""evaluation_path_pose_count"": 108, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20570627"", ""seed_index"": 1, ""map_index"": 0, ""query_index"": 1}"
ood_dense_s01_q0004,f_n3p_knn,OOD-Dense,d08_12,True,True,0.004899916995782405,0,11.02626912832263,10.481604388132853,0.0519638711804884,1,0.22354025079858747,0.08638518687920449,0,3,0,0,True,0,1,0.0,,"{""profile_name"": ""ood_dense_d08"", ""map_seed"": 20570627, ""query_seed"": 20581027, ""split"": ""ood_density"", ""map_id"": ""ood_dense_d08"", ""map_key"": ""ood:OOD-Dense:20570627"", ""seed_index"": 1, ""map_index"": 0, ""query_index"": 1}"
