method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,1,1,1.0,1,1.0,0.36214537500018196,0.36214537500018196,0.36214537500018196,0.36214537500018196,3.0,3.0,0.10205777119133597,0.10205777119133597,0.0,0.27202838928027306,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,1,1,1.0,1,1.0,0.24887495800066972,0.24887495800066972,0.24887495800066972,0.24887495800066972,2.0,2.0,0.031541957541968646,0.031541957541968646,0.0,0.8347427224643271,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,1,1,1.0,1,1.0,0.36514529200030665,0.36514529200030665,0.36514529200030665,0.36514529200030665,3.0,3.0,0.11373864257326027,0.11373864257326027,0.0,0.26995995245915183,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,1,1,1.0,1,1.0,0.23239120800099045,0.23239120800099045,0.23239120800099045,0.23239120800099045,2.0,2.0,0.3421482644929519,0.3421482644929519,3.0,0.25995912998159443,0,1.0,1.0,0.0,0.0,0.5
f_n3p_knn,Easy,1,1,1.0,1,1.0,0.11721720900095534,0.11721720900095534,0.11721720900095534,0.11721720900095534,1.0,1.0,0.04577958669579707,0.04577958669579707,0.0,0.5566764354918532,0,1.0,1.0,0.0,0.0,0.0
f_n3p_knn,Extreme,1,1,1.0,1,1.0,0.23071112499928859,0.23071112499928859,0.23071112499928859,0.23071112499928859,2.0,2.0,0.2503181959495244,0.2503181959495244,3.0,0.17410199627235512,0,1.0,1.0,0.0,0.0,0.0
improved_ha,Complex,1,1,1.0,1,1.0,0.41358113288879395,0.41358113288879395,0.41358113288879395,0.41358113288879395,729.0,729.0,0.0,0.0,0.0,0.09211451100499735,0,0.0,0.0,0.0,0.0,
improved_ha,Easy,1,1,1.0,1,1.0,0.12320590019226074,0.12320590019226074,0.12320590019226074,0.12320590019226074,31.0,31.0,0.0,0.0,0.0,0.2515966999650864,0,0.0,0.0,0.0,0.0,
improved_ha,Extreme,1,1,1.0,1,1.0,0.11173605918884277,0.11173605918884277,0.11173605918884277,0.11173605918884277,13.0,13.0,0.0,0.0,0.0,0.19094533266411373,0,0.0,0.0,0.0,0.0,
lo_ha,Complex,1,1,1.0,1,1.0,0.5719401836395264,0.5719401836395264,0.5719401836395264,0.5719401836395264,1457.0,1457.0,-0.002119491325935363,-0.002119491325935363,0.0,0.05794645390239184,0,0.0,0.0,0.0,0.0,
lo_ha,Easy,1,1,1.0,1,1.0,0.12020587921142578,0.12020587921142578,0.12020587921142578,0.12020587921142578,61.0,61.0,-0.02423937789913022,-0.02423937789913022,0.0,0.07818704943839083,0,0.0,0.0,0.0,0.0,
lo_ha,Extreme,1,1,1.0,1,1.0,0.11120009422302246,0.11120009422302246,0.11120009422302246,0.11120009422302246,19.0,19.0,-0.012059696462627056,-0.012059696462627056,0.0,0.10292405888983991,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,1,1,1.0,1,1.0,0.22000083300008555,0.22000083300008555,0.22000083300008555,0.22000083300008555,241.0,241.0,-0.005745027306103601,-0.005745027306103601,0.0,0.08783753682172046,0,1.0,0.0,1.0,0.0,
n3p_k1,Easy,1,1,1.0,1,1.0,0.678344374999142,0.678344374999142,0.678344374999142,0.678344374999142,997.0,997.0,-0.009879559742735466,-0.009879559742735466,0.0,0.07425095160447637,0,1.0,0.0,1.0,0.0,
n3p_k1,Extreme,1,1,1.0,1,1.0,0.11639395800011698,0.11639395800011698,0.11639395800011698,0.11639395800011698,5.0,5.0,0.0028510754747068656,0.0028510754747068656,0.0,0.07980015545511465,0,1.0,0.0,1.0,0.0,
ss_rrt,Complex,1,1,1.0,1,1.0,0.2388695829995413,0.2388695829995413,0.2388695829995413,0.2388695829995413,192.0,192.0,0.022730009720868027,0.022730009720868027,0.0,0.07384308889703373,0,0.0,0.0,0.0,0.0,
ss_rrt,Easy,1,1,1.0,1,1.0,0.8368114169988985,0.8368114169988985,0.8368114169988985,0.8368114169988985,729.0,729.0,0.22690352030138383,0.22690352030138383,2.0,0.0675653319345213,0,0.0,0.0,0.0,0.0,
ss_rrt,Extreme,1,0,0.0,0,0.0,2.500725333000446,2.500725333000446,2.500725333000446,2.500725333000446,2436.0,2436.0,,,0.0,,0,0.0,0.0,0.0,0.0,
vanilla_ha,Complex,1,1,1.0,1,1.0,0.4100799560546875,0.4100799560546875,0.4100799560546875,0.4100799560546875,729.0,729.0,,,0.0,0.09211451100499735,0,0.0,0.0,0.0,0.0,
vanilla_ha,Easy,1,1,1.0,1,1.0,0.1452770233154297,0.1452770233154297,0.1452770233154297,0.1452770233154297,31.0,31.0,,,0.0,0.2515966999650864,0,0.0,0.0,0.0,0.0,
vanilla_ha,Extreme,1,1,1.0,1,1.0,0.11081600189208984,0.11081600189208984,0.11081600189208984,0.11081600189208984,13.0,13.0,,,0.0,0.19094533266411373,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Complex,1,1,1.0,1,1.0,0.369405542000095,0.369405542000095,0.369405542000095,0.369405542000095,31.0,31.0,0.4040497089435908,0.4040497089435908,3.0,0.08685597602461792,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Easy,1,1,1.0,1,1.0,0.24601479200100584,0.24601479200100584,0.24601479200100584,0.24601479200100584,2.0,2.0,0.04680977844429757,0.04680977844429757,0.0,0.8347427224643271,0,0.0,0.0,0.0,0.0,
voronoi_waypoint,Extreme,1,1,1.0,1,1.0,0.2479250830001547,0.2479250830001547,0.2479250830001547,0.2479250830001547,8.0,8.0,0.0386157149045121,0.0386157149045121,0.0,0.10243278202535633,0,0.0,0.0,0.0,0.0,
