method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,1,1,1.0,1,1.0,0.48055913300049724,0.48055913300049724,0.48055913300049724,0.48055913300049724,3.0,3.0,0.16020750499483838,0.16020750499483838,2.0,0.3104922540544357,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,1,1,1.0,1,1.0,0.3313960239975131,0.3313960239975131,0.3313960239975131,0.3313960239975131,2.0,2.0,0.054087950768465065,0.054087950768465065,0.0,0.8347427224643271,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,1,1,1.0,1,1.0,0.46891462500207126,0.46891462500207126,0.46891462500207126,0.46891462500207126,3.0,3.0,0.1137386425732605,0.1137386425732605,0.0,0.26995995245915183,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,1,1,1.0,1,1.0,0.33083739200083073,0.33083739200083073,0.33083739200083073,0.33083739200083073,2.0,2.0,0.3421482644929519,0.3421482644929519,3.0,0.25995912998159443,0,1.0,1.0,0.0,0.0,0.5
f_n3p_knn,Easy,1,1,1.0,1,1.0,0.15621805599948857,0.15621805599948857,0.15621805599948857,0.15621805599948857,1.0,1.0,0.04577958669579707,0.04577958669579707,0.0,0.5566764354918532,0,1.0,1.0,0.0,0.0,0.0
f_n3p_knn,Extreme,1,1,1.0,1,1.0,0.3011639589967672,0.3011639589967672,0.3011639589967672,0.3011639589967672,2.0,2.0,0.25031819594952465,0.25031819594952465,3.0,0.17410199627235512,0,1.0,1.0,0.0,0.0,0.0
improved_ha,Complex,1,1,1.0,1,1.0,0.6391470432281494,0.6391470432281494,0.6391470432281494,0.6391470432281494,729.0,729.0,0.0,0.0,0.0,0.09211451100499735,0,0.0,0.0,0.0,0.0,
improved_ha,Easy,1,1,1.0,1,1.0,0.16601943969726562,0.16601943969726562,0.16601943969726562,0.16601943969726562,31.0,31.0,0.0,0.0,0.0,0.25159669996508516,0,0.0,0.0,0.0,0.0,
improved_ha,Extreme,1,1,1.0,1,1.0,0.1526050567626953,0.1526050567626953,0.1526050567626953,0.1526050567626953,13.0,13.0,0.0,0.0,0.0,0.1909453326641124,0,0.0,0.0,0.0,0.0,
lo_ha,Complex,1,1,1.0,1,1.0,0.8782651424407959,0.8782651424407959,0.8782651424407959,0.8782651424407959,1457.0,1457.0,-0.002119491325935363,-0.002119491325935363,0.0,0.05794645390239184,0,0.0,0.0,0.0,0.0,
lo_ha,Easy,1,1,1.0,1,1.0,0.16452407836914062,0.16452407836914062,0.16452407836914062,0.16452407836914062,61.0,61.0,-0.02423937789913022,-0.02423937789913022,0.0,0.07818704943839083,0,0.0,0.0,0.0,0.0,
lo_ha,Extreme,1,1,1.0,1,1.0,0.14861822128295898,0.14861822128295898,0.14861822128295898,0.14861822128295898,19.0,19.0,-0.012059696462626945,-0.012059696462626945,0.0,0.10292405888983858,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,1,1,1.0,1,1.0,0.3333466859985492,0.3333466859985492,0.3333466859985492,0.3333466859985492,241.0,241.0,-0.0057450273061034896,-0.0057450273061034896,0.0,0.08783753682172046,0,1.0,0.0,1.0,0.0,
n3p_k1,Easy,1,1,1.0,1,1.0,1.1755259060009848,1.1755259060009848,1.1755259060009848,1.1755259060009848,968.0,968.0,0.0,0.0,0.0,0.25159669996508516,0,1.0,0.0,1.0,0.0,
n3p_k1,Extreme,1,1,1.0,1,1.0,0.15553512900078204,0.15553512900078204,0.15553512900078204,0.15553512900078204,5.0,5.0,0.0028510754747068656,0.0028510754747068656,0.0,0.07980015545511376,0,1.0,0.0,1.0,0.0,
ss_rrt,Complex,1,1,1.0,1,1.0,0.34541583999816794,0.34541583999816794,0.34541583999816794,0.34541583999816794,192.0,192.0,0.02273000974015371,0.02273000974015371,0.0,0.07384308844503118,0,0.0,0.0,0.0,0.0,
