method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,50,50,1.0,50,1.0,0.6194201995022013,0.8906983280510758,0.3332314229992335,0.6191285295602574,4.0,133.55,0.05898117300065309,0.17135773500406257,0.6,0.1695787890087742,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,50,50,1.0,50,1.0,0.47866580299887573,0.918131314899074,0.32713109999895096,0.5675112377201731,3.0,7.6499999999999915,0.04968382926431891,0.16113094740535533,0.46,0.37445604548077643,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,50,48,0.96,48,0.96,0.6438950799965824,1.8128073988529645,0.32987750400207005,0.8427058485796443,7.0,1171.7499999999995,0.04296690381201618,0.1341014177717713,0.7,0.07925839580332578,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,50,48,0.96,48,0.96,0.045675422999920556,1.7182265732491926,0.0003972060003434308,0.3350613717995293,0.0,1907.5999999999976,0.028587041289121373,0.34396374326226814,1.68,0.08939159706642763,0,0.88,0.88,0.4,0.06,0.36619718309859156
f_n3p_knn,Easy,50,50,1.0,50,1.0,0.011126689500088105,0.14241389759845308,0.0003918149959645234,0.04135849710000912,0.0,2.1999999999999886,2.220446049250313e-16,0.23329622946033016,0.7,0.15145395579865567,0,0.62,0.62,0.06,0.0,0.47191011235955055
f_n3p_knn,Extreme,50,46,0.92,46,0.92,0.054558902000280796,3.5245200803485206,0.0005277640011627227,0.6420935043200734,0.0,5097.099999999996,0.047535141559898464,0.24922095883477235,1.84,0.079751110175043,0,0.9,0.9,0.42,0.14,0.2807017543859649
improved_ha,Complex,50,39,0.78,39,0.78,0.6739192008972168,2.5007917523384093,0.14340734481811523,1.0988648128509522,811.0,4096.75,0.0,0.0,0.14,0.0771091301505471,0,0.0,0.0,0.0,0.0,
improved_ha,Easy,50,47,0.94,47,0.94,0.20937049388885498,2.364267945289611,0.14487433433532715,0.6038324642181396,113.0,2831.6,0.0,0.0,0.06,0.11693330574643523,0,0.0,0.0,0.0,0.0,
improved_ha,Extreme,50,36,0.72,36,0.72,0.7718958854675293,2.5014184713363647,0.14589524269104004,1.2151937007904052,1017.0,4149.4,0.0,0.0,0.18,0.07780041081328626,0,0.0,0.0,0.0,0.0,
lo_ha,Complex,50,43,0.86,43,0.86,0.2544112205505371,2.5004829287528993,0.14241719245910645,0.7454324531555175,262.0,5363.199999999999,0.0,0.016778547496762584,0.26,0.07430055042578809,0,0.0,0.0,0.0,0.0,
lo_ha,Easy,50,49,0.98,49,0.98,0.17063045501708984,0.8305909395217895,0.1441802978515625,0.27746220588684084,66.5,1485.6999999999996,0.0,0.031491741648183545,0.02,0.09294201266378177,0,0.0,0.0,0.0,0.0,
lo_ha,Extreme,50,39,0.78,39,0.78,0.41119158267974854,2.5009244799613954,0.14535784721374512,0.9717629384994507,545.0,6674.25,0.0007524842204031934,0.02942793821314258,0.16,0.07368046344979984,0,0.0,0.0,0.0,0.0,
n3p_k1,Complex,50,45,0.9,45,0.9,0.42513792300087516,3.5984963023001906,0.0003755040015676059,1.073775533879816,244.0,5597.149999999997,0.0,0.1496192091406225,0.64,0.07593283549174501,0,0.88,0.0,0.88,0.2,1.0
n3p_k1,Easy,50,49,0.98,49,0.98,0.17371771149919368,1.3111027688024472,0.0003775119985220954,0.38930988506021097,10.0,1204.7999999999997,0.0,0.05864404073944656,0.46,0.12518915779126094,0,0.62,0.0,0.62,0.04,1.0
n3p_k1,Extreme,50,44,0.88,44,0.88,0.6335187699951348,3.5121105741502108,0.0005318359981174581,1.123066907699831,427.0,5956.949999999999,0.0,0.04599224802895446,0.64,0.07373202645032578,0,0.9,0.0,0.9,0.22,1.0
