method,method_label,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,mean_time_s,median_path_inflation_ratio,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,failure_count,top_failure_reason
f_n3p_knn,F-N3P KNN,Easy,50,50,1.0,50,1.0,0.1660156439975253,0.7156673496509026,0.30464452415981214,2.220446049250313e-16,0.1613154499525306,0,0.62,0,none
f_n3p_knn,F-N3P KNN,Complex,50,48,0.96,48,0.96,0.5284210719983093,2.8197033774995317,0.7880144292999467,0.0344725910962306,0.08390842352152265,0,0.88,2,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout (2)
f_n3p_knn,F-N3P KNN,Extreme,50,46,0.92,46,0.92,0.7632551450005849,3.7494226099490326,1.1466956889201538,0.06620978595837065,0.0800392033051461,0,0.9,4,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout (3)
vanilla_ha,Vanilla HA*,Easy,50,47,0.94,47,0.94,0.21362185478210444,2.324052011966704,0.6004624319076538,,0.1169333057464352,0,0.0,3,timeout (3)
vanilla_ha,Vanilla HA*,Complex,50,39,0.78,39,0.78,0.6735504865646362,2.5011084198951723,1.0976139163970948,,0.0766210890444361,0,0.0,11,timeout (11)
vanilla_ha,Vanilla HA*,Extreme,50,36,0.72,36,0.72,0.7799762487411499,2.5007784962654114,1.2155736875534058,,0.0778004108132862,0,0.0,14,timeout (14)
n3p_k1,N3P k=1,Easy,50,49,0.98,49,0.98,0.3290319349980564,1.5442271871994304,0.48027804807949,0.0,0.1251891577912609,0,0.62,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout (1)
n3p_k1,N3P k=1,Complex,50,44,0.88,44,0.88,0.597867069500353,3.9356278070496034,1.2371406700600347,0.0,0.0745867378648753,0,0.88,6,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout (4)
n3p_k1,N3P k=1,Extreme,50,44,0.88,44,0.88,0.8394150075037032,3.5122338741024577,1.1999297630405636,0.0,0.07373202645032575,0,0.9,6,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout (4)
voronoi_waypoint,Voronoi WP,Easy,50,50,1.0,50,1.0,0.6132823409971024,0.8712736598499757,0.586604314599681,0.0666721046676688,0.32435728834945066,0,0.0,0,none
voronoi_waypoint,Voronoi WP,Complex,50,50,1.0,50,1.0,0.6156244174999301,1.1889208409487757,0.668745992500044,0.0552894982862925,0.09458398067278714,0,0.0,0,none
voronoi_waypoint,Voronoi WP,Extreme,50,48,0.96,48,0.96,0.6564279745034582,1.7322089745499392,0.8399554315200658,0.055400021430384,0.07275656304090125,0,0.0,2,segment_failed:node_budget_exhausted (1)
bottleneck_waypoint,Bottleneck WP,Easy,50,50,1.0,50,1.0,0.5096216554993589,1.001299086847575,0.5880293833001633,0.042266507447189,0.37203422273731673,0,0.0,0,none
bottleneck_waypoint,Bottleneck WP,Complex,50,50,1.0,50,1.0,0.619022994000261,0.882870735151664,0.6280437650404929,0.0526713044593845,0.1693458438208309,0,0.0,0,none
bottleneck_waypoint,Bottleneck WP,Extreme,50,47,0.94,47,0.94,0.6632794345023285,1.825203387050714,0.8966311274199689,0.0387525707535088,0.0761794821872464,0,0.0,3,segment_failed:timeout (2)
improved_ha,Improved HA*,Easy,50,47,0.94,47,0.94,0.20618271827697748,2.3215876817703234,0.5999946069717407,0.0,0.1169333057464352,0,0.0,3,timeout (3)
improved_ha,Improved HA*,Complex,50,39,0.78,39,0.78,0.6708723306655884,2.5009932041168215,1.0951774883270264,0.0,0.0771091301505471,0,0.0,11,timeout (11)
improved_ha,Improved HA*,Extreme,50,36,0.72,36,0.72,0.7825003862380981,2.5012579202651977,1.214508466720581,0.0,0.0778004108132862,0,0.0,14,timeout (14)
lo_ha,LO-HA*,Easy,50,49,0.98,49,0.98,0.1712102890014648,0.8059999227523804,0.2766059398651123,0.0,0.0929420126637817,0,0.0,1,collision_violation_rejected:1 (1)
lo_ha,LO-HA*,Complex,50,43,0.86,43,0.86,0.25209176540374756,2.5017592549324035,0.7458639717102051,0.0,0.074300550425788,0,0.0,7,timeout (7)
lo_ha,LO-HA*,Extreme,50,40,0.8,40,0.8,0.40447545051574707,2.50066739320755,0.9704399061203003,0.00037624211020155,0.07363902387046209,0,0.0,10,timeout (10)
ss_rrt,SS-RRT,Easy,50,37,0.74,37,0.74,0.16728561350100785,2.5032686437021767,0.7810609826399013,2.220446049250313e-16,0.1294170198973545,0,0.0,13,timeout (12)
ss_rrt,SS-RRT,Complex,50,26,0.52,26,0.52,0.6001790385016648,2.5046437220982627,1.2332798073999585,0.0227300097401537,0.09424103615530925,0,0.0,24,timeout (21)
ss_rrt,SS-RRT,Extreme,50,19,0.38,19,0.38,2.500291736498184,2.503037887498067,1.602636356439907,0.0119888129081393,0.0831250570276153,0,0.0,31,timeout (29)
idb_rrt,iDb-RRT,Easy,50,11,0.22,11,0.22,2.2456860769998457,2.7609793579460526,1.9908129277796252,3.855186480938855e-06,0.4668540155255958,0,0.0,39,idb_rrt_failed:returncode=1 (22)
idb_rrt,iDb-RRT,Complex,50,3,0.06,3,0.06,2.74267322349624,2.7539026961501802,2.052758820439776,3.411509506223709e-06,0.1126781939118741,0,0.0,47,idb_rrt_failed:returncode=1 (25)
idb_rrt,iDb-RRT,Extreme,50,2,0.04,2,0.04,2.747525623497495,2.7635743661492596,2.0257586120000632,2.966007217275468e-06,0.38671913117285045,0,0.0,48,idb_rrt_failed:returncode=1 (24)
