query_id,difficulty_bucket,profile_name,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
easy_s00_q0000,Easy,easy_d00,20260620,20261620,0,0,0,d08_12,"[6.2, 6.5, -0.40371945387959823]","[16.5, 2.1, -0.40371945387959823]"
easy_s00_q0001,Easy,easy_d01,20260620,20261621,0,0,1,d12_16,"[7.7, 26.6, -0.7807033622099531]","[18.400000000000002, 16.0, -0.7807033622099531]"
easy_s00_q0002,Easy,easy_d00,20260620,20261622,0,0,2,d16_20,"[1.8, 8.3, -0.2158360922621043]","[20.5, 4.2, -0.2158360922621043]"
easy_s00_q0003,Easy,easy_d01,20260620,20261623,0,0,3,d20_inf,"[8.0, 2.3000000000000003, 1.1402953862872711]","[18.7, 25.6, 1.1402953862872711]"
easy_s00_q0004,Easy,easy_d00,20260620,20261624,0,0,4,d08_12,"[24.900000000000002, 22.200000000000003, -1.0502154933032373]","[29.200000000000003, 14.700000000000001, -1.0502154933032373]"
easy_s00_q0005,Easy,easy_d01,20260621,20261621,0,1,0,d12_16,"[8.200000000000001, 9.8, 1.5439571355356814]","[8.6, 24.700000000000003, 1.5439571355356814]"
easy_s00_q0006,Easy,easy_d00,20260621,20261622,0,1,1,d16_20,"[23.400000000000002, 21.1, -1.51529782154918]","[24.5, 1.3, -1.51529782154918]"
easy_s00_q0007,Easy,easy_d01,20260621,20261623,0,1,2,d20_inf,"[9.3, 2.3000000000000003, 1.1726576846022427]","[19.1, 25.6, 1.1726576846022427]"
easy_s00_q0008,Easy,easy_d00,20260621,20261624,0,1,3,d08_12,"[28.0, 13.3, 2.1611742227874235]","[21.5, 23.0, 2.1611742227874235]"
easy_s00_q0009,Easy,easy_d01,20260621,20261625,0,1,4,d12_16,"[27.700000000000003, 16.6, -1.5981867352697594]","[27.3, 2.0, -1.5981867352697594]"
easy_s01_q0010,Easy,easy_d00,20270620,20271620,1,0,0,d16_20,"[7.2, 22.400000000000002, -0.14689344414790656]","[26.8, 19.5, -0.14689344414790656]"
easy_s01_q0011,Easy,easy_d01,20270620,20271621,1,0,1,d20_inf,"[27.900000000000002, 16.0, 2.498091544796509]","[11.9, 28.0, 2.498091544796509]"
easy_s01_q0012,Easy,easy_d00,20270620,20271622,1,0,2,d08_12,"[12.200000000000001, 13.4, -2.334921104168284]","[5.300000000000001, 6.2, -2.334921104168284]"
easy_s01_q0013,Easy,easy_d01,20270620,20271623,1,0,3,d12_16,"[7.300000000000001, 28.3, -0.2248886307020433]","[22.6, 24.8, -0.2248886307020433]"
easy_s01_q0014,Easy,easy_d00,20270620,20271624,1,0,4,d16_20,"[18.1, 14.4, -2.5805676304508482]","[3.3000000000000003, 5.1000000000000005, -2.5805676304508482]"
easy_s01_q0015,Easy,easy_d01,20270621,20271621,1,1,0,d20_inf,"[26.200000000000003, 18.7, 2.7823261975393176]","[4.1000000000000005, 27.0, 2.7823261975393176]"
easy_s01_q0016,Easy,easy_d00,20270621,20271622,1,1,1,d08_12,"[19.8, 21.0, 2.9599438235897813]","[10.0, 22.8, 2.9599438235897813]"
easy_s01_q0017,Easy,easy_d01,20270621,20271623,1,1,2,d12_16,"[11.8, 2.7, -0.07019697107187052]","[24.6, 1.8, -0.07019697107187052]"
easy_s01_q0018,Easy,easy_d00,20270621,20271624,1,1,3,d16_20,"[19.8, 6.9, 1.5922983887811277]","[19.400000000000002, 25.5, 1.5922983887811277]"
easy_s01_q0019,Easy,easy_d01,20270621,20271625,1,1,4,d20_inf,"[13.200000000000001, 25.400000000000002, -1.4104818658655833]","[17.0, 1.9000000000000001, -1.4104818658655833]"
easy_s02_q0020,Easy,easy_d00,20280620,20281620,2,0,0,d08_12,"[18.0, 9.8, -2.5994032436629144]","[9.700000000000001, 4.800000000000001, -2.5994032436629144]"
easy_s02_q0021,Easy,easy_d01,20280620,20281621,2,0,1,d12_16,"[27.6, 20.700000000000003, -1.4277794518301494]","[29.400000000000002, 8.200000000000001, -1.4277794518301494]"
easy_s02_q0022,Easy,easy_d00,20280620,20281622,2,0,2,d16_20,"[6.300000000000001, 18.400000000000002, 0.3049923468144046]","[22.5, 23.5, 0.3049923468144046]"
easy_s02_q0023,Easy,easy_d01,20280620,20281623,2,0,3,d20_inf,"[6.2, 10.9, 0.9129077216126865]","[19.8, 28.5, 0.9129077216126865]"
easy_s02_q0024,Easy,easy_d00,20280620,20281624,2,0,4,d08_12,"[14.5, 21.3, -0.73967841200116]","[22.5, 14.0, -0.73967841200116]"
easy_s02_q0025,Easy,easy_d01,20280621,20281621,2,1,0,d12_16,"[24.6, 15.3, -1.463517471146494]","[26.0, 2.3000000000000003, -1.463517471146494]"
easy_s02_q0026,Easy,easy_d00,20280621,20281622,2,1,1,d16_20,"[24.900000000000002, 6.6000000000000005, -2.9646904487209285]","[7.0, 3.4000000000000004, -2.9646904487209285]"
easy_s02_q0027,Easy,easy_d01,20280621,20281623,2,1,2,d20_inf,"[9.5, 10.9, 0.9236687606443497]","[22.8, 28.5, 0.9236687606443497]"
easy_s02_q0028,Easy,easy_d00,20280621,20281624,2,1,3,d08_12,"[26.400000000000002, 13.200000000000001, 2.606035351631997]","[17.3, 18.6, 2.606035351631997]"
easy_s02_q0029,Easy,easy_d01,20280621,20281625,2,1,4,d12_16,"[20.8, 20.5, -2.1147661080068945]","[13.3, 8.1, -2.1147661080068945]"
easy_s03_q0030,Easy,easy_d00,20290620,20291620,3,0,0,d16_20,"[6.5, 15.200000000000001, 0.48251329502247686]","[23.3, 24.0, 0.48251329502247686]"
easy_s03_q0031,Easy,easy_d01,20290620,20291621,3,0,1,d20_inf,"[24.700000000000003, 21.3, -2.4405012227185514]","[9.3, 8.3, -2.4405012227185514]"
easy_s03_q0032,Easy,easy_d00,20290620,20291622,3,0,2,d08_12,"[23.1, 11.0, -2.288501467498376]","[17.6, 4.7, -2.288501467498376]"
easy_s03_q0033,Easy,easy_d01,20290620,20291623,3,0,3,d12_16,"[28.400000000000002, 15.0, 1.8662371639386166]","[24.900000000000002, 26.5, 1.8662371639386166]"
easy_s03_q0034,Easy,easy_d00,20290620,20291624,3,0,4,d16_20,"[23.900000000000002, 22.0, -1.619937061210917]","[23.0, 3.7, -1.619937061210917]"
easy_s03_q0035,Easy,easy_d01,20290621,20291621,3,1,0,d20_inf,"[4.800000000000001, 3.2, 0.8135597303853408]","[25.5, 25.1, 0.8135597303853408]"
easy_s03_q0036,Easy,easy_d00,20290621,20291622,3,1,1,d08_12,"[24.6, 24.8, -1.9670356714054207]","[20.5, 15.0, -1.9670356714054207]"
