method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bottleneck_waypoint,Complex,50,50,1.0,50,1.0,0.619022994000261,0.882870735151664,0.3317354390019318,0.6280437650404929,4.0,141.69999999999996,0.052671304459384505,0.17135773500406257,0.6,0.16934584382083095,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Easy,50,50,1.0,50,1.0,0.5096216554993589,1.001299086847575,0.32815790500171715,0.5880293833001633,3.0,10.099999999999994,0.04226650744718907,0.16130971810745337,0.42,0.37203422273731673,0,0.0,0.0,0.0,0.0,
bottleneck_waypoint,Extreme,50,47,0.94,47,0.94,0.6632794345023285,1.8252033870507143,0.3487513529980788,0.8966311274199689,8.5,1234.6999999999998,0.0387525707535088,0.14218359939211372,0.76,0.07568425925511119,0,0.0,0.0,0.0,0.0,
f_n3p_knn,Complex,50,48,0.96,48,0.96,0.5284210719983093,2.8197033774995317,0.00039765499968780205,0.7880144292999467,5.0,3160.649999999991,0.03447259109623069,0.3446107349200323,1.72,0.08390842352152272,0,0.88,0.88,0.4,0.08,0.36619718309859156
f_n3p_knn,Easy,50,50,1.0,50,1.0,0.16601564399752533,0.7156673496509026,0.00040451500535709783,0.30464452415981214,1.0,9.749999999999986,2.220446049250313e-16,0.2552323954349723,0.7,0.1613154499525306,0,0.62,0.62,0.06,0.0,0.47191011235955055
f_n3p_knn,Extreme,50,46,0.92,46,0.92,0.7632551450005849,3.7494226099490326,0.0005189770017750561,1.1466956889201538,6.5,4923.799999999996,0.06620978595837068,0.2587489806756362,1.8,0.08003920330514613,0,0.9,0.9,0.42,0.16,0.2823529411764706
idb_rrt,Complex,50,3,0.06,3,0.06,2.74267322349624,2.7539026961501802,0.40978427899972303,2.052758820439776,82.5,320.69999999999993,3.411509506223709e-06,6.8253654583516616e-06,0.0,0.11267819391187417,0,0.0,0.0,0.0,0.0,
idb_rrt,Easy,50,11,0.22,11,0.22,2.2456860769998457,2.7609793579460526,0.500793330000306,1.9908129277796252,196.5,349.79999999999995,3.855186480938855e-06,1.574756337840988e-05,0.0,0.4668540155255958,0,0.0,0.0,0.0,0.0,
idb_rrt,Extreme,50,2,0.04,2,0.04,2.747525623497495,2.7635743661492596,0.4537298809955246,2.0257586120000632,163.5,335.3999999999999,2.966007217275468e-06,3.484967517308757e-06,0.0,0.3867191311728505,0,0.0,0.0,0.0,0.0,
improved_ha,Complex,50,39,0.78,39,0.78,0.6708723306655884,2.5009932041168215,0.1431112289428711,1.0951774883270264,811.0,4258.849999999999,0.0,0.0,0.14,0.0771091301505471,0,0.0,0.0,0.0,0.0,
improved_ha,Easy,50,47,0.94,47,0.94,0.20618271827697754,2.3215876817703234,0.14463162422180176,0.5999946069717407,113.0,2836.55,0.0,0.0,0.06,0.11693330574643523,0,0.0,0.0,0.0,0.0,
improved_ha,Extreme,50,36,0.72,36,0.72,0.7825003862380981,2.5012579202651977,0.14539432525634766,1.214508466720581,1017.0,4286.0,0.0,0.0,0.18,0.07780041081328626,0,0.0,0.0,0.0,0.0,
