difficulty_bucket,method,count,success_rate_pct_mean,success_rate_pct_std,success_rate_pct_mean_std,planning_time_s_mean,planning_time_s_std,planning_time_s_mean_std,planning_time_s_median,planning_time_s_p95,path_length_m_mean,path_length_m_std,path_length_m_mean_std,path_inflation_pct_mean,path_inflation_pct_std,path_inflation_pct_mean_std,mean_abs_curvature_mean,mean_abs_curvature_std,mean_abs_curvature_mean_std,fallback_primary_pct,fallback_f1_pct,fallback_f2_pct,fallback_f3_pct
Easy,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.1759692290033854,0.07974199301005543,0.176±0.080,0.1759692290033854,0.22671672260585182,12.701320417522776,0.8418243529627787,12.701±0.842,5.320642652042262,1.0503137605558075,5.32±1.05,0.12808603453274706,0.019203512696722474,0.1281±0.0192,0.0,100.0,0.0,0.0
Easy,vanilla_ha,2,100.0,0.0,100.0±0.0,0.11915445327758789,0.00401136845387285,0.119±0.004,0.11915445327758789,0.12170727252960205,12.056282549682189,0.6790649395245676,12.056±0.679,0.0,0.0,0.00±0.00,0.17738300509177296,0.02106267654631372,0.1774±0.0211,,,,
Easy,improved_ha,2,50.0,70.71067811865476,50.0±70.7,0.16049683350138366,0.22671410848234297,0.160±0.227,0.16049683350138366,0.30477680865005824,11.7017455624331,0.0,11.702±0.000,1.0852905175706251,0.0,1.09±0.00,0.7782657926162158,0.0,0.7783±0.0000,,,,
Easy,lo_ha,2,100.0,0.0,100.0±0.0,2.078023458503594,0.021885897450633997,2.078±0.022,2.078023458503594,2.0919515583533212,12.438865298167354,1.5051435685061914,12.439±1.505,2.9850772964689187,6.6837187360446935,2.99±6.68,0.2317974846563884,0.1867854929675429,0.2318±0.1868,,,,
Easy,ss_rrt,2,0.0,0.0,0.0±0.0,1.295657624501473,1.8314891766759636,1.296±1.831,1.295657624501473,2.4612101993490794,,,,,,,,,,,,,
Easy,idb_rrt,2,50.0,70.71067811865476,50.0±70.7,1.3408832080021966,1.6400271116832312,1.341±1.640,1.3408832080021966,2.3845900708030965,14.139999999999995,0.0,14.140±0.000,22.148101776129337,0.0,22.15±0.00,0.45406835080119684,0.0,0.4541±0.0000,,,,
Complex,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.24996674999783863,0.040148343586982146,0.250±0.040,0.24996674999783863,0.27551699940122487,12.80866430302915,4.441145762002158,12.809±4.441,2.190910741485613,3.9108852378073964,2.19±3.91,0.22161642585594982,0.09025436771774084,0.2216±0.0903,0.0,0.0,100.0,0.0
Complex,vanilla_ha,2,100.0,0.0,100.0±0.0,0.33211708068847656,0.1267345619478941,0.332±0.127,0.33211708068847656,0.4127704620361328,12.460018762086182,3.8690806246064557,12.460±3.869,0.0,0.0,0.00±0.00,0.1904657765726567,0.030793861613348038,0.1905±0.0308,,,,
Complex,improved_ha,2,50.0,70.71067811865476,50.0±70.7,0.3009835414995905,0.026842479817057285,0.301±0.027,0.3009835414995905,0.3180659910518443,15.718545576751232,0.0,15.719±0.000,3.439576690225987,0.0,3.44±0.00,0.24846052527912343,0.0,0.2485±0.0000,,,,
Complex,lo_ha,2,100.0,0.0,100.0±0.0,2.1013422920004814,0.00019975766385444595,2.101±0.000,2.1013422920004814,2.101469416999316,12.495425364618457,3.855982697692315,12.495±3.856,0.31570299636863863,0.20315162329420783,0.32±0.20,0.1493352540233061,0.012715765201908818,0.1493±0.0127,,,,
Complex,ss_rrt,2,50.0,70.71067811865476,50.0±70.7,2.5996008745023573,0.048166641030114615,2.600±0.048,2.5996008745023573,2.6302539371517923,16.801174763852366,0.0,16.801±0.000,72.77754645729797,0.0,72.78±0.00,0.2838635186274902,0.0,0.2839±0.0000,,,,
Complex,idb_rrt,2,0.0,0.0,0.0±0.0,1.4762079374995665,1.448506385104626,1.476±1.449,1.4762079374995665,2.398031756249111,,,,,,,,,,,,,
Extreme,f_n3p_knn,2,100.0,0.0,100.0±0.0,0.12235125000006519,0.1723720677599093,0.122±0.172,0.12235125000006519,0.2320481622002262,13.390509320245826,2.97551359190876,13.391±2.976,12.515909797476231,17.700169381029152,12.52±17.70,0.2160352740261445,0.3055200144787616,0.2160±0.3055,50.0,50.0,0.0,0.0
Extreme,vanilla_ha,2,100.0,0.0,100.0±0.0,0.11171245574951172,0.00031053797982826724,0.112±0.000,0.11171245574951172,0.11191008090972901,12.260710042222726,4.573291053648356,12.261±4.573,0.0,0.0,0.00±0.00,0.10197030754716009,0.14420779189254937,0.1020±0.1442,,,,
Extreme,improved_ha,2,50.0,70.71067811865476,50.0±70.7,0.12861141699613654,0.18160935719757854,0.129±0.182,0.12861141699613654,0.24418690419734046,11.017455427409155,0.0,11.017±0.000,22.051306820138183,0.0,22.05±0.00,1.108837529113014,0.0,1.1088±0.0000,,,,
Extreme,lo_ha,2,100.0,0.0,100.0±0.0,2.0517169579979964,0.05238205739553042,2.052±0.052,2.0517169579979964,2.0850526951951904,12.288379693666643,4.534160257310232,12.288±4.534,0.30652423694733644,0.4334907330869874,0.31±0.43,0.10107282045130339,0.14293855346902742,0.1011±0.1429,,,,
Extreme,ss_rrt,2,0.0,0.0,0.0±0.0,2.5035966454997833,0.003578284874569728,2.504±0.004,2.5035966454997833,2.505873852049626,,,,,,,,,,,,,
Extreme,idb_rrt,2,50.0,70.71067811865476,50.0±70.7,1.4575009375039372,1.4744384656436715,1.458±1.474,1.4575009375039372,2.395827831252973,15.950000000000003,0.0,15.950±0.000,2.9396521074751103,0.0,2.94±0.00,0.3600693155888373,0.0,0.3601±0.0000,,,,
