difficulty_bucket,method,count,success_rate_pct_mean,success_rate_pct_std,success_rate_pct_mean_std,planning_time_s_mean,planning_time_s_std,planning_time_s_mean_std,planning_time_s_median,planning_time_s_p95,path_length_m_mean,path_length_m_std,path_length_m_mean_std,path_inflation_pct_mean,path_inflation_pct_std,path_inflation_pct_mean_std,mean_abs_curvature_mean,mean_abs_curvature_std,mean_abs_curvature_mean_std,fallback_primary_pct,fallback_f1_pct,fallback_f2_pct,fallback_f3_pct
Easy,f_n3p_knn,17,100.0,0.0,100.0±0.0,0.16440310770592667,0.23823321300443392,0.164±0.238,0.11262229100248078,0.5441782087989847,16.617163184920834,5.529394573128858,16.617±5.529,2.981451308631928,5.75979715526165,2.98±5.76,0.07048414189704444,0.08093882404244977,0.0705±0.0809,52.94117647058823,29.41176470588235,17.647058823529413,0.0
Easy,vanilla_ha,17,100.0,0.0,100.0±0.0,0.21435758646796732,0.2872010432459845,0.214±0.287,0.11201810836791992,0.6100027561187739,16.121367939069245,5.225545216722871,16.121±5.226,0.0,0.0,0.00±0.00,0.08862370180470568,0.09147751527480875,0.0886±0.0915,,,,
Easy,improved_ha,17,76.47058823529412,43.72373160976031,76.5±43.7,0.28395680147171815,0.19827143759472937,0.284±0.198,0.30217841699777637,0.5696105914001235,17.031026795116624,5.61401680162788,17.031±5.614,0.9771364673748386,3.4096307548693283,0.98±3.41,0.17112713859955447,0.31464531863597067,0.1711±0.3146,,,,
Easy,lo_ha,17,100.0,0.0,100.0±0.0,2.0848770907057985,0.03814541885667122,2.085±0.038,2.0850113749984303,2.137846266600536,16.140531278111308,5.105545954194481,16.141±5.106,0.29268789494610475,2.4926343001471123,0.29±2.49,0.07384388765429978,0.09986399029933472,0.0738±0.0999,,,,
Easy,ss_rrt,17,41.1764705882353,50.72996561958924,41.2±50.7,2.388106916588988,0.6161397734971281,2.388±0.616,2.5312182500056224,2.594245850603329,24.06304504862243,11.706203467104983,24.063±11.706,26.489098480642173,25.47557895326075,26.49±25.48,0.2717124317683267,0.11348552106780015,0.2717±0.1135,,,,
Easy,idb_rrt,17,52.94117647058823,51.44957554275265,52.9±51.4,1.35418432111756,1.1088279908261696,1.354±1.109,1.1741885830051615,2.5006359672028338,18.869444444444454,6.959975953821808,18.869±6.960,21.123213173406302,11.178369026739437,21.12±11.18,0.45123804600415135,0.080911617133668,0.4512±0.0809,,,,
Complex,f_n3p_knn,17,94.11764705882354,24.253562503633297,94.1±24.3,0.6961344142948613,0.7845611279673336,0.696±0.785,0.5481737919981242,1.7517313002026624,16.52364402763784,5.601839658308168,16.524±5.602,5.348674295610734,8.350672849319142,5.35±8.35,0.2385677617227202,0.12001528120033357,0.2386±0.1200,0.0,29.41176470588235,58.8235294117647,11.764705882352942
Complex,vanilla_ha,17,76.47058823529412,43.72373160976031,76.5±43.7,0.9467229843139648,0.8704712928557913,0.947±0.870,0.5338339805603027,2.5007158279418946,15.204798011987727,4.215726143006413,15.205±4.216,0.0,0.0,0.00±0.00,0.1846904118557851,0.08548977493667827,0.1847±0.0855,,,,
Complex,improved_ha,17,64.70588235294117,49.2592183071889,64.7±49.3,0.4127390514113358,0.26317653293918775,0.413±0.263,0.4329857920020004,0.6955794749970661,17.88825147716475,4.159873220437221,17.888±4.160,4.881534300449654,6.658888615491673,4.88±6.66,0.4232863310491259,0.33081245715101487,0.4233±0.3308,,,,
Complex,lo_ha,17,64.70588235294117,49.2592183071889,64.7±49.3,2.2062117817648175,0.17490577518835596,2.206±0.175,2.1371076659997925,2.505006874598621,15.55560963141332,4.184220700078992,15.556±4.184,0.1053156293408386,2.8208129224862475,0.11±2.82,0.25736782816025433,0.2439118093313246,0.2574±0.2439,,,,
Complex,ss_rrt,17,11.764705882352942,33.21055820775357,11.8±33.2,2.2645370048827744,0.8540057536390311,2.265±0.854,2.570926749998762,2.629081691605097,21.166128579819585,6.172976885673039,21.166±6.173,53.42887166016938,27.36315831204575,53.43±27.36,0.2442002448052817,0.056092339767485004,0.2442±0.0561,,,,
