bucket,query_id,method,total_time_s,total_expansions,success,path_length_m,path_inflation_ratio,direction_switches,mean_abs_curvature,min_clearance_m,fallback_f1,fallback_f2,fallback_f3,profile_name,distance_bin,map_seed,query_seed,failure_reason
Easy,easy_s00_q0000,vanilla_ha,0.115789175,31,True,11.5761111,0,0,0.192276567,0.2515967,0,0,0,easy_d00,d08_12,20260620,20261620,
Easy,easy_s00_q0000,f_n3p_knn,0.109800214,1,True,12.1060607,0.0457795867,0,0.141664969,0.556676435,1,0,0,easy_d00,d08_12,20260620,20261620,
Easy,easy_s00_q0001,vanilla_ha,0.105602503,1,True,15.0615404,0,0,0,0.86167277,0,0,0,easy_d01,d12_16,20260620,20261621,
Easy,easy_s00_q0001,f_n3p_knn,0.00046787801,0,True,15.0615404,0,0,0,0.86167277,0,0,0,easy_d01,d12_16,20260620,20261621,
Easy,easy_s01_q0002,vanilla_ha,0.196161985,209,True,20.1439882,0,0,0.216524407,0.125924972,0,0,0,easy_d00,d16_20,20270620,20271620,
Easy,easy_s01_q0002,f_n3p_knn,0.331369834,3,True,20.1554824,0.000570603774,0,0.108684964,0.0673584183,0,0,0,easy_d00,d16_20,20270620,20271620,
Easy,easy_s01_q0003,vanilla_ha,1.27001643,2389,True,20.4994279,0,0,0.249049723,0.150738699,0,0,0,easy_d01,d20_inf,20270620,20271621,
Easy,easy_s01_q0003,f_n3p_knn,0.3262073,3,True,20.1686843,-0.0161342839,0,0.0486952086,0.225751498,1,0,0,easy_d01,d20_inf,20270620,20271621,
Easy,easy_s02_q0004,vanilla_ha,0.10601306,8,True,9.71936679,0,0,0.0673442535,0.195931731,0,0,0,easy_d00,d08_12,20280620,20281620,
Easy,easy_s02_q0004,f_n3p_knn,0.113953765,7,True,9.81862698,0.0102126186,0,0.140486113,0.193904512,4,1,0,easy_d00,d08_12,20280620,20281620,
Easy,easy_s02_q0005,vanilla_ha,0.119166136,49,True,13.0453411,0,0,0.20370934,0.0928043636,0,0,0,easy_d01,d12_16,20280620,20281621,
Easy,easy_s02_q0005,f_n3p_knn,0.150521903,93,True,12.771745,-0.020972704,0,0.14060705,0.130886429,4,1,0,easy_d01,d12_16,20280620,20281621,
Easy,easy_s03_q0006,vanilla_ha,0.139752626,105,True,19.3334186,0,0,0.164847783,0.0550294948,0,0,0,easy_d00,d16_20,20290620,20291620,
Easy,easy_s03_q0006,f_n3p_knn,0.265044544,71,True,19.9663679,0.0327386124,0,0.209221607,0.125189158,4,1,0,easy_d00,d16_20,20290620,20291620,
Easy,easy_s03_q0007,vanilla_ha,0.104499578,1,True,20.1534116,0,0,0,0.495970732,0,0,0,easy_d01,d20_inf,20290620,20291621,
Easy,easy_s03_q0007,f_n3p_knn,0.000592460972,0,True,20.1534116,-2.22044605e-16,0,0,0.495970732,0,0,0,easy_d01,d20_inf,20290620,20291621,
Easy,easy_s04_q0008,vanilla_ha,0.107723475,15,True,9.89590366,0,0,0.131767734,0.116933306,0,0,0,easy_d00,d08_12,20300620,20301620,
Easy,easy_s04_q0008,f_n3p_knn,0.10911612,1,True,11.0342781,0.115034913,3,0.0974877131,0.207547514,0,0,0,easy_d00,d08_12,20300620,20301620,
Easy,easy_s04_q0009,vanilla_ha,0.113222122,33,True,13.3193883,0,0,0.145858652,0.0641383878,0,0,0,easy_d01,d12_16,20300620,20301621,
Easy,easy_s04_q0009,f_n3p_knn,0.221373222,7,True,16.0089385,0.201927458,2,0.233297004,0.209386463,6,1,0,easy_d01,d12_16,20300620,20301621,
Complex,complex_s00_q0000,vanilla_ha,0.450443029,729,True,9.72416562,0,0,0.212240325,0.092114511,0,0,0,complex_d02,d08_12,20360620,20361620,
Complex,complex_s00_q0000,f_n3p_knn,0.229781664,241,True,9.66830002,-0.00574502731,0,0.285435901,0.0878375368,4,1,0,complex_d02,d08_12,20360620,20361620,
Complex,complex_s00_q0001,vanilla_ha,0.158878565,127,True,13.1146248,0,0,0.236072769,0.0981764228,0,0,0,complex_d03,d12_16,20360620,20361621,
Complex,complex_s00_q0001,f_n3p_knn,0.217397353,2,True,13.5667199,0.0344725911,4,0.126965966,0.075951675,0,0,0,complex_d03,d12_16,20360620,20361621,
