episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,open_connector,procedural_empty_grid,,,,,,1.1498259002141002,1.0,0.0,0.0,0.05982590021410017,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.299978671646038,1.5638108208586554,0.4130744133948877,1.3770126093574342,0.0,9.917e-06,2.0586e-05,0.000137694
1,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0003,Complex,complex_d02,20360620,20361623,-0.7781851981203187,0.0,0.0,-1.0,0.1743651243006845,0.0,0.07744967757899685,0.0,0.0,-0.03,True,False,False,True,collision,3,12,0.8997813255695342,-0.13618916722041563,0.7744326930074709,2.5820696795989133,0.0,2.2649999999999998e-05,6.2825e-05,0.00022607299999999997
2,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-0.7319017316698746,0.0,0.0,-1.0,0.15332066310588674,0.0,0.1447776052242387,0.0,0.0,-0.03,True,False,False,True,collision,3,12,0.8999543497432227,0.06381082085865541,0.31556348257255956,1.0519316318519831,0.0,1.873e-05,7.1466e-05,0.000215885
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0003,Extreme,extreme_d05,20460620,20461623,-0.4377975954437502,0.0,0.0,-1.0,0.38206578507443867,0.0,0.2501366194818112,0.0,0.0,-0.07,True,False,False,True,collision,7,28,2.099685793496843,0.06381082085865541,0.6574510823651413,2.1918315544210536,0.0,5.3474e-05,0.000213514,0.000750234
4,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0001,Complex,complex_d03,20360707,20361708,-0.9507166512961048,0.0,0.0,-1.0,0.059283348703895206,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29990183849173724,-0.21258236916762785,0.8862105636299183,2.955002103644439,0.0,6.158e-06,2.2963e-05,0.0
5,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0003,Complex,complex_d02,20360620,20361623,1.3041786316436372,0.0,0.0,-1.0,0.9854287598011818,0.0,1.4887498718424552,0.0,0.0,-0.17,True,False,False,True,collision,17,68,5.098934495613588,-0.03618917318088011,0.7591577556370497,2.531054646207378,0.0,0.000117793,0.000305401,0.00257079
6,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0001,Extreme,extreme_d06,20460620,20461621,0.4695886415951436,0.0,0.0,-1.0,0.6326623944194146,0.0,0.9469262471757288,0.0,0.0,-0.10999999999999999,True,False,False,True,collision,11,44,3.2993945410593324,-0.011925135571779766,0.852825960739677,2.8432748649467285,0.0,9.2328e-05,0.000203915,0.002142912
7,open_connector,procedural_empty_grid,,,,,,1.1499882192085134,1.0,0.0,0.0,0.05998821920851319,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29999857116668854,1.8638107731749396,0.10691437147500998,0.35638293562273343,0.0,8.252e-06,1.9775e-05,0.000123258
8,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,-0.7334049109568237,0.0,0.0,-1.0,0.17107074877878523,0.0,0.12552434026439113,0.0,0.0,-0.03,True,False,False,True,collision,3,12,0.899840122679324,-0.13618916722041563,0.9842774806158476,3.2815078672590414,0.0,2.2223e-05,6.6486e-05,0.00018997399999999998
9,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9501376194116411,0.0,0.0,-1.0,0.05986238058835891,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999817833078059,-0.011925135571779766,0.3817540994005322,1.2725909393265429,0.0,5.836e-06,5.6528e-05,0.0
10,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0009,Complex,complex_d02,20360708,20361712,-0.38438196265439906,0.0,0.0,-1.0,0.2857978592020288,0.0,0.37982017814357205,0.0,0.0,-0.05,True,False,False,True,collision,5,20,1.4997062043934406,0.07371276168125673,1.0464766943065427,3.488939004322491,0.0,3.3601e-05,9.9817e-05,0.0005820700000000001
11,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9374171100228986,0.0,0.0,-1.0,0.059820725805370324,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999762643020424,0.06381082085865541,0.4357638017205592,1.452660938806125,0.0,7.499e-06,5.5767e-05,0.0
12,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9374764886632301,0.0,0.0,-1.0,0.05976134716503889,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29996839284094295,0.06381082085865541,0.5028571019091608,1.6763669570206976,0.0,6.551e-06,3.6266e-05,0.0
13,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9500371422261037,0.0,0.0,-1.0,0.059962857773896344,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29999508605607794,-0.011925135571779766,0.1982718955160002,0.6609171440859445,0.0,6.528e-06,3.4426e-05,0.0
14,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0009,Complex,complex_d02,20360621,20361625,-0.3005005936780397,0.0,0.0,-1.0,0.35539171826017524,0.0,0.404107688061785,0.0,0.0,-0.060000000000000005,True,False,False,True,collision,6,24,1.7997358741084435,-0.13618916722041563,0.8715583512428147,2.9056208650880024,0.0,4.0093e-05,0.000111389,0.000535319
15,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,0.8301649553439523,0.0,-0.25,0.0,0.15856793741143121,0.0,1.041597017932521,0.0,0.0,-0.11999999999999998,False,True,False,False,no_progress,12,48,3.599126407892161,0.17208712844151064,0.777866614954878,2.5935180712158576,0.0,8.0975e-05,0.000219908,0.00208133
16,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9376855313164014,0.0,0.0,-1.0,0.05955230451186751,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29994064241898294,0.06381082085865541,0.6891217869620251,2.297527208731521,0.0,6.49e-06,4.3403e-05,0.0
17,obstacle_bypass,procedural_single_side_obstacle,,,,,,1.1370701113816344,1.0,0.0,0.0,0.11840869283202604,0.0,0.0386614185496084,0.0,0.0,-0.02,True,False,True,False,,2,8,0.5999531951954382,0.06381082085865541,0.28161099789603916,0.9387765584090364,0.0,1.2145e-05,8.693500000000001e-05,0.000321572
18,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0004,Complex,complex_d03,20360707,20361711,-0.02045006976158381,0.0,0.0,-1.0,0.4727804465604814,0.0,0.5867694836779348,0.0,0.0,-0.08,True,False,False,True,collision,8,32,2.39950653083297,-0.21258236916762785,0.8916290003024343,2.972707892544596,0.0,5.438e-05,0.000140711,0.000818439
19,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0003,Complex,complex_d02,20360707,20361710,1.1226194691674491,0.0,0.0,-1.0,0.8532382664138703,0.0,1.4293812027535793,0.0,0.0,-0.16,True,False,False,True,collision,16,64,4.79933380794649,-0.11996141525012449,0.8038003316456237,2.67970635529367,0.0,0.000101929,0.00027977,0.002958392
20,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,1.1399262952023241,1.0,0.0,0.0,0.049926295202324056,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999998596625528,1.5762720063139777,0.03350671265277698,0.11168909442313123,0.0,6.181e-06,1.8079e-05,0.000148254
21,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9500116108266564,0.0,0.0,-1.0,0.05998838917334357,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999984640834477,-0.011925135571779766,0.11084832561079844,0.36949631042099207,0.0,5.566e-06,3.2158e-05,0.0
