episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,open_connector,procedural_empty_grid,,,,,,1.1492310724103505,1.0,0.0,0.0,0.059231072410350465,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29990183849173696,2.6638107254912238,0.8862105636299186,2.9550021036444427,0.0,9e-06,1.7958e-05,0.000108667
1,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0000,Complex,complex_d02,20360620,20361620,0.4631679007317486,0.0,-0.25,0.0,0.15505739540438238,0.0,0.6481105053273662,0.0,0.0,-0.09,False,True,False,False,no_progress,9,36,2.6996007247724134,0.10232728270786806,0.5060190226465826,1.6869795455411938,0.0,4.3294e-05,0.000190001,0.001346668
2,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9504449053967792,0.0,0.0,-1.0,0.05955509460322084,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999410132037215,-0.07563403697711424,0.6869659440377456,2.290336812228992,0.0,4.375e-06,2.7917e-05,0.0
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0008,Extreme,extreme_d07,20460621,20461624,-0.9502332132520759,0.0,0.0,-1.0,0.059766786747924176,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999018384917367,-0.15334645362597898,0.8862105636299186,2.9550021036444454,0.0,5.292e-06,2.875e-05,0.0
4,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0006,Extreme,extreme_d05,20460708,20461709,-0.9372579744380914,0.0,0.0,-1.0,0.05997986139017755,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29999723436270864,0.06381082085865541,0.14874528405466403,0.4958221843966236,0.0,5.417e-06,3.5709e-05,0.0
5,open_connector,procedural_empty_grid,,,,,,1.149203653456853,1.0,0.0,0.0,0.059203653456852925,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.299901838491737,1.2638106301237921,0.8862105636299186,2.955002103644442,0.0,5.375e-06,1.4417e-05,8.3792e-05
6,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9372406539859945,0.0,0.0,-1.0,0.059997181842274476,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999996272223403,0.06381082085865541,0.05460972797329979,0.18203265277002026,0.0,4.584e-06,3.5042e-05,0.0
7,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9372857136426855,0.0,0.0,-1.0,0.059952122185583434,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.299993665375349,0.06381082085865541,0.22511623271220052,0.7504032874512113,0.0,4.042e-06,3.2e-05,0.0
8,open_connector,procedural_empty_grid,,,,,,1.1493114258885728,1.0,0.0,0.0,0.05931142588857279,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29991314008867287,1.2638106301237921,0.8336304071723204,2.7795728020647834,0.0,4.917e-06,1.525e-05,9.6167e-05
9,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9375872911524284,0.0,0.0,-1.0,0.0596505446758405,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999536913658177,0.06381082085865541,0.6086758008875813,2.029232572921572,0.0,3.75e-06,2.375e-05,0.0
