episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9500456406097255,0.0,0.0,-1.0,0.05995435939027445,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29999396144616614,-0.011925135571779766,0.21979245298025432,0.7326562572150175,0.0,5.525e-06,3.5291e-05,0.0
1,open_connector,procedural_empty_grid,,,,,,1.149999954725979,1.0,0.0,0.0,0.059999954725978945,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999999946610874,3.1638107254912238,0.0065353860032946005,0.021784620398669283,0.0,5.575e-06,1.5311e-05,0.00010529
2,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9379770736962312,0.0,0.0,-1.0,0.05926076213203775,0.0,0.012762164171731084,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.299901838491737,0.06381082085865541,0.8862105636299183,2.9550021036444414,0.0,5.672e-06,4.2212e-05,0.0
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,1.1384667948173068,1.0,0.0,0.0,0.048466794817306806,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29990183849173757,0.6268254473616461,0.8862105636299183,2.9550021036444356,0.0,6.554e-06,1.9436e-05,0.00018543
4,open_connector,procedural_empty_grid,,,,,,1.1491848412120849,1.0,0.0,0.0,0.05918484121208478,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.299901838491737,2.3638110115935187,0.8862105636299183,2.9550021036444414,0.0,6.342e-06,1.7994e-05,0.000113827
5,open_connector,procedural_empty_grid,,,,,,1.1498971352567897,1.0,0.0,0.0,0.059897135256789726,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999881589226571,1.7638106301237921,0.30778196901884286,1.0259803924400734,0.0,5.95e-06,1.6874e-05,0.000107823
6,open_connector,procedural_empty_grid,,,,,,1.149993124014923,1.0,0.0,0.0,0.05999312401492292,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999992155731221,2.463810916226087,0.07921754823975083,0.26405918458290856,0.0,3.1187e-05,2.0143e-05,0.000143464
7,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0001,Extreme,extreme_d06,20460620,20461621,0.14108020868450788,0.0,0.0,-1.0,0.6803250426051451,0.0,0.5807551660793627,0.0,0.0,-0.11999999999999998,True,False,False,True,collision,12,48,3.5995575937271833,-0.11996141525012449,0.5759898587573863,1.92020217071501,0.0,7.613e-05,0.000354046,0.001635273
8,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-0.9524930498226044,0.0,0.0,-1.0,0.05750695017739558,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999018384917365,-0.11996141525012449,0.8862105636299183,2.9550021036444463,0.0,7.19e-06,3.0385e-05,0.0
9,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0007,Complex,complex_d03,20360708,20361710,2.400181820644341,0.0,-0.25,0.0,0.7865724831469998,0.0,2.0736093374973406,0.0,0.0,-0.21000000000000005,False,True,False,False,no_progress,21,84,6.298780266105863,0.42404335288303896,0.7780858270683979,2.5941216677079324,0.0,0.000149932,0.000383731,0.005429234
10,open_connector,procedural_empty_grid,,,,,,1.1491846732891131,1.0,0.0,0.0,0.05918467328911312,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29990183849173724,2.7638108685423712,0.8862105636299183,2.955002103644439,0.0,7.729e-06,1.8842e-05,0.000117796
11,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-0.9500830764455008,0.0,0.0,-1.0,0.05991692355449918,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999988357696959,-0.13618916722041563,0.09650830677563038,0.3216956043446722,0.0,6.363e-06,2.3459e-05,0.0
12,open_connector,procedural_empty_grid,,,,,,1.1492363843905544,1.0,0.0,0.0,0.05923638439055426,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999018384917371,0.8638108923842291,0.8862105636299183,2.95500210364444,0.0,6.722e-06,2.2486e-05,0.000171329
13,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,1.071513027438548,1.0,0.0,0.0,0.05213182468496891,0.0,0.02938120275357923,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29990183849173696,0.14690601376789614,0.8862105636299183,2.955002103644442,0.0,5.892e-06,1.7504e-05,0.000197362
14,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0005,Extreme,extreme_d07,20460621,20461621,-0.9500923425037957,0.0,0.0,-1.0,0.05990765749620426,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999918893717156,-0.023878608662905254,0.2547264268821943,0.8491110456875268,0.0,6.502e-06,2.7559e-05,0.0
15,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0008,Extreme,extreme_d07,20460708,20461711,-0.9507203966532141,0.0,0.0,-1.0,0.05927960334678595,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999018384917383,-0.21258236916762785,0.8862105636299183,2.9550021036444285,0.0,5.653e-06,3.0305e-05,0.0
16,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0005,Extreme,extreme_d07,20460621,20461621,-0.8771613517977795,0.0,0.0,-1.0,0.11345744544864128,0.0,0.02938120275357923,0.0,0.0,-0.02,True,False,False,True,collision,2,8,0.5999037933046569,-0.011925135571779766,0.8191783624364986,2.7310324474660708,0.0,1.4004999999999999e-05,5.6005e-05,0.000121928
17,open_connector,procedural_empty_grid,,,,,,1.1499963386204026,1.0,0.0,0.0,0.059996338620402594,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.2999995833659184,1.5638108208586554,0.05773278147120588,0.19244287216488393,0.0,6.368e-06,1.7243e-05,9.9947e-05
18,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0005,Complex,complex_d04,20360708,20361708,-0.0756942290051339,0.0,0.0,-1.0,0.42142229557956556,0.0,0.5828834754153005,0.0,0.0,-0.08,True,False,False,True,collision,8,32,2.399630305158739,-0.023878608662905254,0.6002789001653309,2.001237936943363,0.0,4.9919e-05,0.000179499,0.002504611
19,obstacle_bypass,procedural_single_side_obstacle,,,,,,-0.9506037093990257,0.0,0.0,-1.0,0.059396290600974316,0.0,0.0,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.29991989193147284,-0.011925135571779766,0.8005722284129545,2.6692868660938074,0.0,5.855e-06,4.5708e-05,0.0
20,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-0.9481376486941175,0.0,0.0,-1.0,0.05965746314466465,0.0,0.0022048881612177773,0.0,0.0,-0.01,True,False,False,True,collision,1,4,0.2999993077697558,0.011024440806088887,0.0744167036194889,0.24805625110509394,0.0,5.987e-06,4.8884e-05,0.0
21,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0002,Extreme,extreme_d07,20460707,20461709,-0.7773513582198303,0.0,0.0,-1.0,0.17942102345105085,0.0,0.07322761832911891,0.0,0.0,-0.03,True,False,False,True,collision,3,12,0.8999541525627021,-0.011925135571779766,0.1988399234396111,0.662833510596277,0.0,1.7947e-05,7.6073e-05,0.00045939799999999997
22,open_connector,procedural_empty_grid,,,,,,1.1497265621295445,1.0,0.0,0.0,0.05972656212954446,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29996580091249186,0.963810916226087,0.5230698396668941,1.7437649161195137,0.0,5.918e-06,1.6014e-05,0.00012517
23,open_connector,procedural_empty_grid,,,,,,1.1491913745862898,1.0,0.0,0.0,0.05919137458628976,0.0,0.1,0.0,0.0,-0.01,True,False,True,False,,1,4,0.29990183849173724,2.3638110115935187,0.8862105636299183,2.955002103644439,0.0,5.472e-06,1.613e-05,0.000107598
24,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0009,Complex,complex_d02,20360708,20361712,-0.38803447109414846,0.0,0.0,-1.0,0.2950198467454034,0.0,0.3669456821604483,0.0,0.0,-0.05,True,False,False,True,collision,5,20,1.4998115197582185,0.06381082085865541,0.5686324237536946,1.8956796112799648,0.0,4.6829e-05,0.000129325,0.000574069
