episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0009,Complex,complex_d02,20360621,20361625,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,8,32,2.3997310498303435,0.06381082085865541,0.516102789599874,1.7205354396239079,0.0,3.7624e-05,0.000136876,0.000664832
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999340263724505,1.8638110115935187,0.726514861548658,2.4222488869818664,0.0,3.292e-06,1.0833e-05,0.000103708
2,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,3,12,0.8998818010020506,0.06381082085865541,0.5975815084608949,1.9922000015850962,0.0,1.3666000000000001e-05,5.3625e-05,0.00015587499999999998
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0008,Complex,complex_d04,20360621,20361624,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,4,16,1.1997667668697933,0.27091758994358583,1.129164071828914,3.7646119329506593,0.0,1.6542e-05,5.4291e-05,0.000403917
4,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0008,Complex,complex_d04,20360621,20361624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999988488435765,-0.03618917318088011,0.09596489981610411,0.31988422684295537,0.0,4.334e-06,2.15e-05,0.0
5,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0000,Complex,complex_d02,20360704,20361704,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,12,48,3.5995567063209353,0.3884319618155341,0.6819589479680565,2.2734764425981067,0.0,3.9624e-05,0.000141374,0.001339333
6,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,2,8,0.5999422671227522,0.06381082085865541,0.7001151355256655,2.3339416937010617,0.0,7.4579999999999996e-06,4.2917e-05,7.8291e-05
7,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_rs_terminal:terminal_rs_collision,32,128,9.598204857368524,0.3253881290366034,0.7346704317938111,2.4493594548936715,0.0,0.000112626,0.000452624,0.005847665
8,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099111782962048,-0.11996141525012449,0.5731775677132992,1.910924699412225,0.0,5.9289e-05,0.000212,0.002525752
9,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,4,16,1.1997582132935334,0.06381082085865541,0.26997848540884395,0.9001096468186157,0.0,1.3419e-05,6.0667e-05,0.00023341699999999998
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29994954244612126,1.1638108447005133,0.6353587965186116,2.118218922213354,0.0,3.375e-06,1.2167e-05,9.6458e-05
11,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999998051654632,-0.023878608662905254,0.039480078089369264,0.13160034576553892,0.0,3.417e-06,2.675e-05,0.0
12,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.299901838491737,-0.07563403697711424,0.8862105636299186,2.955002103644442,0.0,3.042e-06,2.0542e-05,0.0
13,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999910051978589,1.6638107254912238,0.2682518674356089,0.8941997019500088,0.0,3.125e-06,1.0917e-05,7.0458e-05
14,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0009,Complex,complex_d02,20360621,20361625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,7,28,2.0996782143446744,0.5638108208586554,0.6579503111516508,2.1935038172023016,0.0,2.2791e-05,8.579200000000001e-05,0.0008417489999999999
15,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173724,0.8638110115935187,0.8862105636299186,2.9550021036444396,0.0,3.459e-06,1.1834e-05,9.4083e-05
16,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917366,1.2638106301237921,0.8862105636299186,2.955002103644446,0.0,3.75e-06,1.2916e-05,7.7958e-05
17,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0005,Extreme,extreme_d07,20460705,20461705,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099206762475727,-0.03618917318088011,0.6934441930479007,2.311840219652287,0.0,6.6456e-05,0.000337334,0.001730875
18,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999999367754484,1.963810916226087,0.022489919285463473,0.07496641341727116,0.0,3.375e-06,1.1834e-05,9.7583e-05
19,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_progress,6,24,1.7996706548437726,0.45823806075352236,0.7046157673705892,2.349149047268616,0.0,2.2167e-05,7.7207e-05,0.000600917
20,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0003,Complex,complex_d02,20360620,20361623,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_progress,31,124,9.298148030098691,0.3253881290366034,0.7166803044068952,2.389410166916641,0.0,0.000131874,0.000429458,0.005480124
21,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999978378999677,-0.011925135571779766,0.1315174424034887,0.43839463418847147,0.0,3.75e-06,2.4875e-05,0.0
22,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0003,Extreme,extreme_d05,20460704,20461707,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999812934750382,-0.023878608662905254,0.3868526841771379,1.2895893597089525,0.0,4.791e-06,3.125e-05,0.0
23,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0001,Extreme,extreme_d06,20460704,20461705,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099279607047109,-0.07563403697711424,0.698810885448773,2.3296986963043764,0.0,5.8585e-05,0.00020975,0.002206918
24,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999916267720738,1.5638108208586554,0.25881727976422814,0.8627483458425694,0.0,3.917e-06,1.2375e-05,7.7417e-05
