episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0009,Complex,complex_d02,20360621,20361625,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,8,32,2.3997310498303435,0.06381082085865541,0.516102789599874,1.7205354396239079,0.0,3.3666e-05,0.000114251,0.000620582
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999340263724505,1.8638110115935187,0.726514861548658,2.4222488869818664,0.0,4.333e-06,1.4875e-05,8.275e-05
2,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,3,12,0.8998818010020506,0.06381082085865541,0.5975815084608949,1.9922000015850962,0.0,1.3790999999999999e-05,5.3376e-05,0.000158042
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0008,Complex,complex_d04,20360621,20361624,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,4,16,1.1997667668697933,0.27091758994358583,1.129164071828914,3.7646119329506593,0.0,1.4874999999999999e-05,4.8792e-05,0.000376917
4,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0008,Complex,complex_d04,20360621,20361624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999988488435765,-0.03618917318088011,0.09596489981610411,0.31988422684295537,0.0,4.125e-06,2.0458e-05,0.0
5,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0000,Complex,complex_d02,20360704,20361704,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,12,48,3.5995567063209353,0.3884319618155341,0.6819589479680565,2.2734764425981067,0.0,4.1915e-05,0.000143751,0.0013224180000000001
6,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,2,8,0.5999422671227522,0.06381082085865541,0.7001151355256655,2.3339416937010617,0.0,6.417e-06,3.9792e-05,7.3083e-05
7,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_rs_terminal:terminal_rs_collision,32,128,9.598204857368524,0.3253881290366034,0.7346704317938111,2.4493594548936715,0.0,0.00010496,0.000364374,0.005178627
8,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099111782962048,-0.11996141525012449,0.5731775677132992,1.910924699412225,0.0,5.1126e-05,0.000192875,0.00249729
9,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,4,16,1.1997582132935334,0.06381082085865541,0.26997848540884395,0.9001096468186157,0.0,1.2207999999999999e-05,5.5958e-05,0.00022241600000000002
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29994954244612126,1.1638108447005133,0.6353587965186116,2.118218922213354,0.0,3.292e-06,1.0834e-05,0.00010325
11,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0002,Complex,complex_d04,20360620,20361622,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999998051654632,-0.023878608662905254,0.039480078089369264,0.13160034576553892,0.0,3e-06,2.5875e-05,0.0
12,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.299901838491737,-0.07563403697711424,0.8862105636299186,2.955002103644442,0.0,3.25e-06,2.1125e-05,0.0
13,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999910051978589,1.6638107254912238,0.2682518674356089,0.8941997019500088,0.0,3.084e-06,1.0709e-05,7.05e-05
14,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0009,Complex,complex_d02,20360621,20361625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,7,28,2.0996782143446744,0.5638108208586554,0.6579503111516508,2.1935038172023016,0.0,2.1166e-05,7.5957e-05,0.000859332
15,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173724,0.8638110115935187,0.8862105636299186,2.9550021036444396,0.0,3.125e-06,1.1083e-05,9.3292e-05
16,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917366,1.2638106301237921,0.8862105636299186,2.955002103644446,0.0,3.042e-06,1.0667e-05,7.1666e-05
17,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0005,Extreme,extreme_d07,20460705,20461705,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099206762475727,-0.03618917318088011,0.6934441930479007,2.311840219652287,0.0,5.8252e-05,0.000240664,0.001621627
18,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999999367754484,1.963810916226087,0.022489919285463473,0.07496641341727116,0.0,3.375e-06,1.1083e-05,9.5875e-05
19,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_progress,6,24,1.7996706548437726,0.45823806075352236,0.7046157673705892,2.349149047268616,0.0,1.979e-05,6.7543e-05,0.000571583
20,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0003,Complex,complex_d02,20360620,20361623,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_progress,31,124,9.298148030098691,0.3253881290366034,0.7166803044068952,2.389410166916641,0.0,0.000110083,0.000380249,0.005124624
21,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999978378999677,-0.011925135571779766,0.1315174424034887,0.43839463418847147,0.0,3.541e-06,2.2958e-05,0.0
22,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0003,Extreme,extreme_d05,20460704,20461707,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999812934750382,-0.023878608662905254,0.3868526841771379,1.2895893597089525,0.0,5.292e-06,3.6042e-05,0.0
23,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0001,Extreme,extreme_d06,20460704,20461705,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,17,68,5.099279607047109,-0.07563403697711424,0.698810885448773,2.3296986963043764,0.0,5.8584e-05,0.000216667,0.002091627
24,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999916267720738,1.5638108208586554,0.25881727976422814,0.8627483458425694,0.0,3.167e-06,1.7708e-05,7.4333e-05
