method,difficulty_bucket,count,success_count,success_rate,feasible_count,feasible_rate,median_time_s,p95_time_s,min_time_s,mean_time_s,median_expansions,p95_expansions,median_path_inflation_ratio,p95_path_inflation_ratio,mean_direction_switches,median_min_clearance_m,collision_violation_total,timeout_failure_count,timeout_failure_rate,mean_nn_forward_time_s,p95_nn_forward_time_s,rl_attempts_total,rl_successes_total,rs_attempts_total,fallback_to_primitives_total,fallback_trigger_rate,fallback_f1_rate,fallback_f2_rate,fallback_f3_rate,subgoal_reachability_rate
bc_analytic_operator,Complex,1,1,1.0,1,1.0,1.9952032566070557,1.9952032566070557,1.9952032566070557,1.9952032566070557,634.0,634.0,,,3.0,0.08927499959487173,0,0,0.0,0.11360194795270218,0.11360194795270218,122,1,517,121,0.0,0.0,0.0,0.0,
bc_analytic_operator,Easy,1,1,1.0,1,1.0,0.1595160961151123,0.1595160961151123,0.1595160961151123,0.1595160961151123,1.0,1.0,,,2.0,0.2590414083850868,0,0,0.0,0.0013682509961654432,0.0013682509961654432,1,1,7,0,0.0,0.0,0.0,0.0,
bc_analytic_operator,Extreme,1,1,1.0,1,1.0,0.16950511932373047,0.16950511932373047,0.16950511932373047,0.16950511932373047,13.0,13.0,,,0.0,0.19094533266411373,0,0,0.0,0.0012047509953845292,0.0012047509953845292,3,1,3,2,0.0,0.0,0.0,0.0,
ha_dang_multi_rs,Complex,1,1,1.0,1,1.0,0.5009772777557373,0.5009772777557373,0.5009772777557373,0.5009772777557373,729.0,729.0,,,0.0,0.09211451100499735,0,0,0.0,,,0,0,1562,141,0.0,0.0,0.0,0.0,
ha_dang_multi_rs,Easy,1,1,1.0,1,1.0,0.1595139503479004,0.1595139503479004,0.1595139503479004,0.1595139503479004,31.0,31.0,,,0.0,0.2515966999650864,0,0,0.0,,,0,0,55,4,0.0,0.0,0.0,0.0,
ha_dang_multi_rs,Extreme,1,1,1.0,1,1.0,0.14537692070007324,0.14537692070007324,0.14537692070007324,0.14537692070007324,13.0,13.0,,,0.0,0.19094533266411373,0,0,0.0,,,0,0,33,2,0.0,0.0,0.0,0.0,
ha_no_analytic,Complex,1,1,1.0,1,1.0,0.5127420425415039,0.5127420425415039,0.5127420425415039,0.5127420425415039,1110.0,1110.0,,,0.0,0.06783245167345398,0,0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,
ha_no_analytic,Easy,1,1,1.0,1,1.0,0.38567686080932617,0.38567686080932617,0.38567686080932617,0.38567686080932617,658.0,658.0,,,0.0,0.07062133687483008,0,0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,
ha_no_analytic,Extreme,1,1,1.0,1,1.0,0.22239184379577637,0.22239184379577637,0.22239184379577637,0.22239184379577637,238.0,238.0,,,0.0,0.08575048654323947,0,0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,
ha_single_rs,Complex,1,1,1.0,1,1.0,0.4317290782928467,0.4317290782928467,0.4317290782928467,0.4317290782928467,729.0,729.0,,,0.0,0.09211451100499735,0,0,0.0,,,0,0,142,141,0.0,0.0,0.0,0.0,
ha_single_rs,Easy,1,1,1.0,1,1.0,0.162520170211792,0.162520170211792,0.162520170211792,0.162520170211792,61.0,61.0,,,0.0,0.29994337912060565,0,0,0.0,,,0,0,11,10,0.0,0.0,0.0,0.0,
ha_single_rs,Extreme,1,1,1.0,1,1.0,0.17289090156555176,0.17289090156555176,0.17289090156555176,0.17289090156555176,13.0,13.0,,,0.0,0.17356669633722155,0,0,0.0,,,0,0,3,2,0.0,0.0,0.0,0.0,
mlp,Complex,1,1,1.0,1,1.0,0.5133573339990107,0.5133573339990107,0.5133573339990107,0.5133573339990107,729.0,729.0,,,0.0,0.09211451100499735,0,0,0.0,,,0,0,0,0,1.0,0.0,1.0,0.0,
mlp,Easy,1,1,1.0,1,1.0,0.16079891700064763,0.16079891700064763,0.16079891700064763,0.16079891700064763,31.0,31.0,,,0.0,0.2515966999650864,0,0,0.0,,,0,0,0,0,1.0,0.0,1.0,0.0,
mlp,Extreme,1,1,1.0,1,1.0,0.1483883330001845,0.1483883330001845,0.1483883330001845,0.1483883330001845,13.0,13.0,,,0.0,0.19094533266411373,0,0,0.0,,,0,0,0,0,1.0,0.0,1.0,0.0,
