episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999776107426805,1.5638108208586554,0.42322342671952906,1.4108500486810274,0.0,1.8667e-05,4.4542e-05,0.000282625
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29995793955457445,2.1638107254912238,0.5800842326442205,1.933885242396392,0.0,1.1667e-05,0.000268084,0.000187459
2,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29999755457706495,1.5638108208586554,0.13986933658713877,0.4662349224290373,0.0,1.1417e-05,3.425e-05,0.000247125
3,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299998780944778,1.4638107970167975,0.09875451211790738,0.3291830447007234,0.0,1.0084e-05,3.4125e-05,0.000221834
4,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29999969495774936,1.1638108447005133,0.04939978489023932,0.16466611706787426,0.0,1.4e-05,2.2833e-05,0.000306042
5,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917371,1.6638107254912238,0.8862105636299186,2.955002103644441,0.0,1.1042e-05,3.5459e-05,0.000224333
6,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999977910343481,0.9638107970167975,0.13293518815480135,0.44312055664296873,0.0,8.875e-06,3.3666e-05,0.000241291
7,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173735,1.0638108208586554,0.8862105636299186,2.9550021036444387,0.0,8.834e-06,3.2542e-05,0.00024775
8,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999322698488711,1.2638106301237921,0.7361235710162484,2.4542993369375155,0.0,7.25e-06,2.0209e-05,9.3167e-05
9,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917372,1.3638110115935187,0.8862105636299186,2.9550021036444405,0.0,3.792e-06,1.2375e-05,7.4042e-05
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299979000860785,1.3638108923842291,0.409873933721243,1.3663420857630575,0.0,3.417e-06,1.2166e-05,9.9833e-05
11,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29999998800924427,2.3638110115935187,0.0097941820237976,0.03264727471754365,0.0,3.292e-06,1.1417e-05,7.1875e-05
12,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917373,2.0638108208586554,0.8862105636299186,2.955002103644439,0.0,3.25e-06,1.1209e-05,8.875e-05
13,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999316978202725,0.9638107970167975,0.7392257863518436,2.4646470904012565,0.0,3.125e-06,1.15e-05,9.9958e-05
14,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999885384303197,1.0638108208586554,0.3028095249533188,1.0094036476785408,0.0,4.167e-06,1.3708e-05,6.9916e-05
15,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29994838394538453,2.8638107731749396,0.6426116652673305,2.1424074929649866,0.0,4.292e-06,1.3542e-05,7.4875e-05
