query_id,difficulty_bucket,profile_name,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
easy_s00_q0000,Easy,easy_d00,20260810,20261810,0,0,0,d08_12,"[17.6, 25.900000000000002, -1.3487144248894163]","[19.700000000000003, 16.6, -1.3487144248894163]"
easy_s00_q0001,Easy,easy_d01,20260810,20261811,0,0,1,d12_16,"[10.100000000000001, 14.4, 1.0812645324303771]","[16.6, 26.6, 1.0812645324303771]"
easy_s00_q0002,Easy,easy_d00,20260810,20261812,0,0,2,d16_20,"[9.600000000000001, 27.6, -1.3636211276359853]","[12.9, 11.9, -1.3636211276359853]"
easy_s00_q0003,Easy,easy_d01,20260810,20261813,0,0,3,d20_inf,"[14.0, 22.3, -1.4423212849308238]","[16.7, 1.4000000000000001, -1.4423212849308238]"
easy_s00_q0004,Easy,easy_d00,20260810,20261814,0,0,4,d08_12,"[24.3, 8.1, 2.6583397137317823]","[14.200000000000001, 13.4, 2.6583397137317823]"
easy_s00_q0005,Easy,easy_d01,20260811,20261811,0,1,0,d12_16,"[11.4, 14.4, 0.9143089350814397]","[20.8, 26.6, 0.9143089350814397]"
easy_s00_q0006,Easy,easy_d00,20260811,20261812,0,1,1,d16_20,"[10.9, 28.6, -1.0700304953767688]","[19.0, 13.8, -1.0700304953767688]"
easy_s00_q0007,Easy,easy_d01,20260811,20261813,0,1,2,d20_inf,"[23.900000000000002, 11.0, 2.770463665708634]","[3.6, 18.900000000000002, 2.770463665708634]"
easy_s00_q0008,Easy,easy_d00,20260811,20261814,0,1,3,d08_12,"[10.3, 1.6, 2.957649197052618]","[1.7000000000000002, 3.2, 2.957649197052618]"
easy_s00_q0009,Easy,easy_d01,20260811,20261815,0,1,4,d12_16,"[12.3, 17.900000000000002, -2.4119741312192406]","[1.9000000000000001, 8.6, -2.4119741312192406]"
easy_s00_q0010,Easy,easy_d00,20260812,20261812,0,2,0,d16_20,"[4.6000000000000005, 11.100000000000001, -0.22978646187080276]","[21.700000000000003, 7.1000000000000005, -0.22978646187080276]"
easy_s00_q0011,Easy,easy_d01,20260812,20261813,0,2,1,d20_inf,"[1.6, 4.3, 0.30400093934014466]","[22.0, 10.700000000000001, 0.30400093934014466]"
easy_s00_q0012,Easy,easy_d00,20260812,20261814,0,2,2,d08_12,"[17.5, 17.8, 1.0303768265243125]","[23.5, 27.8, 1.0303768265243125]"
easy_s00_q0013,Easy,easy_d01,20260812,20261815,0,2,3,d12_16,"[17.900000000000002, 24.400000000000002, -1.6685232341536154]","[16.400000000000002, 9.1, -1.6685232341536154]"
easy_s00_q0014,Easy,easy_d00,20260812,20261816,0,2,4,d16_20,"[17.400000000000002, 21.5, -2.260487782105541]","[6.1000000000000005, 7.800000000000001, -2.260487782105541]"
