query_id,method,difficulty_bucket,distance_bin_key,success,feasible,total_time_s,total_expansions,path_length_m,reference_path_length_m,path_inflation_ratio,direction_switches,mean_abs_curvature,min_clearance_m,collision_violation_count,fallback_f1_count,fallback_f2_count,fallback_f3_count,fallback_triggered,subgoal_reachable_count,subgoal_attempt_count,subgoal_reachability_rate,analytic_operator,analytic_attempts,analytic_successes,analytic_failure_count,rl_attempts,rl_successes,rs_attempts,nn_forward_time_s,fallback_to_primitives_count,rollout_protocol,collision_checker,rl_rollout_steps,rl_rollout_collision_checks,rl_rollout_sample_time_s,rl_rollout_collision_time_s,terminal_rs_time_s,terminal_rs_success_count,terminal_rs_used_count,terminal_rs_action_count,bc_checkpoint,bc_checkpoint_sha256,rl_rs_checkpoint,rl_rs_checkpoint_sha256,failure_reason,metadata
easy_s00_q0000,ha_single_rs,Easy,d08_12,True,True,0.14276695251464844,1,9.534149149242424,,,0,0.0,0.11541650370508172,0,0,0,0,False,,,,single_rs,1,1,0,,,1,,0,,,,,,,,,,,,,,,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261810, ""analytic_operator"": ""single_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 2, ""evaluation_path_pose_count"": 97, ""analytic_attempts"": 1, ""analytic_successes"": 1, ""analytic_failure_count"": 0, ""analytic_candidate_radius_count"": 1, ""analytic_candidate_success_count"": 1, ""analytic_candidate_failure_count"": 0, ""analytic_rs_solve_time_s"": 2.8435024432837963e-05, ""analytic_sample_time_s"": 3.869505599141121e-05, ""analytic_collision_check_time_s"": 0.0003107050433754921, ""analytic_cost_eval_time_s"": 0.002492316998541355, ""analytic_total_time_s"": 0.0028976560570299625, ""analytic_sample_count"": 97, ""analytic_collision_check_count"": 1, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:single_rs""], ""fallback_to_primitives_count"": 0, ""rs_attempts"": 1, ""total_planner_time_s"": 0.14276695251464844, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0000,ha_dang_multi_rs,Easy,d08_12,True,True,0.14669299125671387,1,9.534149149242424,,,0,0.0,0.11541650370508172,0,0,0,0,False,,,,dang_multi_rs,1,1,0,,,11,,0,,,,,,,,,,,,,,,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261810, ""analytic_operator"": ""dang_multi_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 2, ""evaluation_path_pose_count"": 97, ""analytic_attempts"": 1, ""analytic_successes"": 1, ""analytic_failure_count"": 0, ""analytic_candidate_radius_count"": 11, ""analytic_candidate_success_count"": 11, ""analytic_candidate_failure_count"": 0, ""analytic_rs_solve_time_s"": 0.0003121750196442008, ""analytic_sample_time_s"": 0.0002947888569906354, ""analytic_collision_check_time_s"": 0.0030742970993742347, ""analytic_cost_eval_time_s"": 0.00202173984143883, ""analytic_total_time_s"": 0.005831385962665081, ""analytic_sample_count"": 1067, ""analytic_collision_check_count"": 11, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:dang_multi_rs""], ""fallback_to_primitives_count"": 0, ""rs_attempts"": 11, ""total_planner_time_s"": 0.14669299125671387, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0000,ha_rl_rs_ppo,Easy,d08_12,True,True,0.2827937602996826,1,9.543352572528384,,,0,0.06496652166397077,0.10844547254756487,0,0,0,0,False,,,,rl_rs_funnel_ppo,1,1,0,1,1,1,0.12479171098675579,0,constant_steer_grid_footprint_terminal_rs,GridFootprintChecker,1,4,1.6442e-05,3.2537e-05,0.000424284,1,1,3,,,0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip,ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261810, ""analytic_operator"": ""rl_rs_funnel_ppo"", ""rl_rs_checkpoint"": ""0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip"", ""rl_rs_checkpoint_sha256"": ""ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 5, ""evaluation_path_pose_count"": 99, ""analytic_attempts"": 1, ""analytic_successes"": 1, ""analytic_failure_count"": 0, ""analytic_candidate_radius_count"": 0, ""analytic_candidate_success_count"": 0, ""analytic_candidate_failure_count"": 0, ""analytic_rs_solve_time_s"": 0.0, ""analytic_sample_time_s"": 0.0, ""analytic_collision_check_time_s"": 0.0, ""analytic_cost_eval_time_s"": 0.0, ""analytic_total_time_s"": 0.0, ""analytic_sample_count"": 0, ""analytic_collision_check_count"": 0, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:rl_rs_funnel_ppo""], ""rl_attempts"": 1, ""rl_successes"": 1, ""rs_attempts"": 1, ""fallback_to_primitives_count"": 0, ""rl_rollout_steps"": 1, ""rl_rollout_collision_checks"": 4, ""terminal_rs_action_count"": 3, ""nn_forward_time_s"": 0.12479171098675579, ""rl_rollout_sample_time_s"": 1.6442e-05, ""rl_rollout_collision_time_s"": 3.2537e-05, ""terminal_rs_time_s"": 0.000424284, ""terminal_rs_success_count"": 1, ""terminal_rs_used_count"": 1, ""rollout_protocol"": ""constant_steer_grid_footprint_terminal_rs"", ""collision_checker"": ""GridFootprintChecker"", ""rollout_max_steps"": 32, ""rollout_action_step_m"": 0.3, ""rollout_collision_sample_step_m"": 0.1, ""terminal_success_mode"": ""terminal_rs"", ""total_planner_time_s"": 0.2827937602996826, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0001,ha_single_rs,Easy,d12_16,False,False,1.18815279006958,1793,,,,0,,,0,0,0,0,False,,,,single_rs,574,1,573,,,574,,573,,,,,,,,,,,,,,,collision_violation_rejected:1,"{""profile_name"": ""easy_d01"", ""map_seed"": 20260810, ""query_seed"": 20261811, ""analytic_operator"": ""single_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 47, ""evaluation_path_pose_count"": 145, ""analytic_attempts"": 574, ""analytic_successes"": 1, ""analytic_failure_count"": 573, ""analytic_candidate_radius_count"": 574, ""analytic_candidate_success_count"": 1, ""analytic_candidate_failure_count"": 573, ""analytic_rs_solve_time_s"": 0.01948199700564146, ""analytic_sample_time_s"": 0.009653042769059539, ""analytic_collision_check_time_s"": 0.02588472911156714, ""analytic_cost_eval_time_s"": 1.5030964277684689e-05, ""analytic_total_time_s"": 0.059511966072022915, ""analytic_sample_count"": 18870, ""analytic_collision_check_count"": 973, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:single_rs""], ""fallback_to_primitives_count"": 573, ""rs_attempts"": 574, ""total_planner_time_s"": 1.18815279006958, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}, ""rejected_collision_violation_count"": 1, ""rejected_collision_path_length_m"": 14.309017420973603}"
easy_s00_q0001,ha_dang_multi_rs,Easy,d12_16,False,False,1.1017355918884277,1187,,,,0,,,0,0,0,0,False,,,,dang_multi_rs,308,1,307,,,3388,,307,,,,,,,,,,,,,,,collision_violation_rejected:1,"{""profile_name"": ""easy_d01"", ""map_seed"": 20260810, ""query_seed"": 20261811, ""analytic_operator"": ""dang_multi_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 43, ""evaluation_path_pose_count"": 147, ""analytic_attempts"": 308, ""analytic_successes"": 1, ""analytic_failure_count"": 307, ""analytic_candidate_radius_count"": 3388, ""analytic_candidate_success_count"": 3, ""analytic_candidate_failure_count"": 3385, ""analytic_rs_solve_time_s"": 0.11690194823313504, ""analytic_sample_time_s"": 0.04769549798220396, ""analytic_collision_check_time_s"": 0.15171646501403302, ""analytic_cost_eval_time_s"": 6.0366117395460606e-05, ""analytic_total_time_s"": 0.33768157404847443, ""analytic_sample_count"": 124560, ""analytic_collision_check_count"": 5618, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:dang_multi_rs""], ""fallback_to_primitives_count"": 307, ""rs_attempts"": 3388, ""total_planner_time_s"": 1.1017355918884277, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}, ""rejected_collision_violation_count"": 1, ""rejected_collision_path_length_m"": 14.451662565033708}"
easy_s00_q0001,ha_rl_rs_ppo,Easy,d12_16,True,True,0.1996157169342041,1,15.098084838517773,,,0,0.3239636729356036,0.09579384416243619,0,0,0,0,False,,,,rl_rs_funnel_ppo,1,1,0,1,1,16,0.010061697917990386,0,constant_steer_grid_footprint_terminal_rs,GridFootprintChecker,16,64,0.000113717,0.000327443,0.00475803,1,1,3,,,0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip,ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2,,"{""profile_name"": ""easy_d01"", ""map_seed"": 20260810, ""query_seed"": 20261811, ""analytic_operator"": ""rl_rs_funnel_ppo"", ""rl_rs_checkpoint"": ""0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip"", ""rl_rs_checkpoint_sha256"": ""ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 20, ""evaluation_path_pose_count"": 153, ""analytic_attempts"": 1, ""analytic_successes"": 1, ""analytic_failure_count"": 0, ""analytic_candidate_radius_count"": 0, ""analytic_candidate_success_count"": 0, ""analytic_candidate_failure_count"": 0, ""analytic_rs_solve_time_s"": 0.0, ""analytic_sample_time_s"": 0.0, ""analytic_collision_check_time_s"": 0.0, ""analytic_cost_eval_time_s"": 0.0, ""analytic_total_time_s"": 0.0, ""analytic_sample_count"": 0, ""analytic_collision_check_count"": 0, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:rl_rs_funnel_ppo""], ""rl_attempts"": 1, ""rl_successes"": 1, ""rs_attempts"": 16, ""fallback_to_primitives_count"": 0, ""rl_rollout_steps"": 16, ""rl_rollout_collision_checks"": 64, ""terminal_rs_action_count"": 3, ""nn_forward_time_s"": 0.010061697917990386, ""rl_rollout_sample_time_s"": 0.000113717, ""rl_rollout_collision_time_s"": 0.000327443, ""terminal_rs_time_s"": 0.00475803, ""terminal_rs_success_count"": 1, ""terminal_rs_used_count"": 1, ""rollout_protocol"": ""constant_steer_grid_footprint_terminal_rs"", ""collision_checker"": ""GridFootprintChecker"", ""rollout_max_steps"": 32, ""rollout_action_step_m"": 0.3, ""rollout_collision_sample_step_m"": 0.1, ""terminal_success_mode"": ""terminal_rs"", ""total_planner_time_s"": 0.1996157169342041, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0002,ha_single_rs,Easy,d16_20,True,True,1.053856372833252,1459,16.467471860427565,,,0,0.27288542634359625,0.0708942437810065,0,0,0,0,False,,,,single_rs,532,1,531,,,532,,531,,,,,,,,,,,,,,,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261812, ""analytic_operator"": ""single_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 55, ""evaluation_path_pose_count"": 167, ""analytic_attempts"": 532, ""analytic_successes"": 1, ""analytic_failure_count"": 531, ""analytic_candidate_radius_count"": 532, ""analytic_candidate_success_count"": 1, ""analytic_candidate_failure_count"": 531, ""analytic_rs_solve_time_s"": 0.018205891945399344, ""analytic_sample_time_s"": 0.008737785392440856, ""analytic_collision_check_time_s"": 0.038168711704201996, ""analytic_cost_eval_time_s"": 1.0734889656305313e-05, ""analytic_total_time_s"": 0.0693527169059962, ""analytic_sample_count"": 17361, ""analytic_collision_check_count"": 1004, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:single_rs""], ""fallback_to_primitives_count"": 531, ""rs_attempts"": 532, ""total_planner_time_s"": 1.053856372833252, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0002,ha_dang_multi_rs,Easy,d16_20,True,True,1.7266833782196045,1459,16.467471860427565,,,0,0.27288542634359625,0.0708942437810065,0,0,0,0,False,,,,dang_multi_rs,532,1,531,,,5852,,531,,,,,,,,,,,,,,,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261812, ""analytic_operator"": ""dang_multi_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 55, ""evaluation_path_pose_count"": 167, ""analytic_attempts"": 532, ""analytic_successes"": 1, ""analytic_failure_count"": 531, ""analytic_candidate_radius_count"": 5852, ""analytic_candidate_success_count"": 3, ""analytic_candidate_failure_count"": 5849, ""analytic_rs_solve_time_s"": 0.21737739210948348, ""analytic_sample_time_s"": 0.07722230919171125, ""analytic_collision_check_time_s"": 0.4087595221353695, ""analytic_cost_eval_time_s"": 3.2749027013778687e-05, ""analytic_total_time_s"": 0.7413270651595667, ""analytic_sample_count"": 185063, ""analytic_collision_check_count"": 10897, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:dang_multi_rs""], ""fallback_to_primitives_count"": 531, ""rs_attempts"": 5852, ""total_planner_time_s"": 1.7266833782196045, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0002,ha_rl_rs_ppo,Easy,d16_20,True,True,0.22165465354919434,9,17.02656510422356,,,0,0.27164960129813887,0.07631363945866543,0,0,0,0,False,,,,rl_rs_funnel_ppo,2,1,1,2,1,24,0.014535360038280487,1,constant_steer_grid_footprint_terminal_rs,GridFootprintChecker,24,96,0.00016825,0.000497145,0.009540396,1,1,3,,,0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip,ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2,,"{""profile_name"": ""easy_d00"", ""map_seed"": 20260810, ""query_seed"": 20261812, ""analytic_operator"": ""rl_rs_funnel_ppo"", ""rl_rs_checkpoint"": ""0_trials/module2_gate3_formal_v3/seed20260709/train/final_model.zip"", ""rl_rs_checkpoint_sha256"": ""ae97501bd75f4d832bd400c9a6b42e8f73b71ab6a955fa1cb956a155357fc1a2"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 27, ""evaluation_path_pose_count"": 173, ""analytic_attempts"": 2, ""analytic_successes"": 1, ""analytic_failure_count"": 1, ""analytic_candidate_radius_count"": 0, ""analytic_candidate_success_count"": 0, ""analytic_candidate_failure_count"": 0, ""analytic_rs_solve_time_s"": 0.0, ""analytic_sample_time_s"": 0.0, ""analytic_collision_check_time_s"": 0.0, ""analytic_cost_eval_time_s"": 0.0, ""analytic_total_time_s"": 0.0, ""analytic_sample_count"": 0, ""analytic_collision_check_count"": 0, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:rl_rs_funnel_ppo""], ""rl_attempts"": 2, ""rl_successes"": 1, ""rs_attempts"": 24, ""fallback_to_primitives_count"": 1, ""rl_rollout_steps"": 24, ""rl_rollout_collision_checks"": 96, ""terminal_rs_action_count"": 3, ""nn_forward_time_s"": 0.014535360038280487, ""rl_rollout_sample_time_s"": 0.00016825, ""rl_rollout_collision_time_s"": 0.000497145, ""terminal_rs_time_s"": 0.009540396, ""terminal_rs_success_count"": 1, ""terminal_rs_used_count"": 1, ""rollout_protocol"": ""constant_steer_grid_footprint_terminal_rs"", ""collision_checker"": ""GridFootprintChecker"", ""rollout_max_steps"": 32, ""rollout_action_step_m"": 0.3, ""rollout_collision_sample_step_m"": 0.1, ""terminal_success_mode"": ""terminal_rs"", ""total_planner_time_s"": 0.22165465354919434, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
easy_s00_q0003,ha_single_rs,Easy,d20_inf,True,True,0.744753360748291,1085,21.27755880468433,,,0,0.2004337510990708,0.07128301913766266,0,0,0,0,False,,,,single_rs,299,1,298,,,299,,298,,,,,,,,,,,,,,,,"{""profile_name"": ""easy_d01"", ""map_seed"": 20260810, ""query_seed"": 20261813, ""analytic_operator"": ""single_rs"", ""evaluation_path_source"": ""trace_poses"", ""planner_path_pose_count"": 71, ""evaluation_path_pose_count"": 216, ""analytic_attempts"": 299, ""analytic_successes"": 1, ""analytic_failure_count"": 298, ""analytic_candidate_radius_count"": 299, ""analytic_candidate_success_count"": 1, ""analytic_candidate_failure_count"": 298, ""analytic_rs_solve_time_s"": 0.008952555828727782, ""analytic_sample_time_s"": 0.06550505722407252, ""analytic_collision_check_time_s"": 0.030397440074011683, ""analytic_cost_eval_time_s"": 1.1360039934515953e-05, ""analytic_total_time_s"": 0.10731471714098006, ""analytic_sample_count"": 15553, ""analytic_collision_check_count"": 579, ""planner_remediations"": [""analytic_expansion"", ""analytic_operator:single_rs""], ""fallback_to_primitives_count"": 298, ""rs_attempts"": 299, ""total_planner_time_s"": 0.744753360748291, ""timing_protocol"": {""schema_version"": 1, ""adapter"": ""planner_run_from_path_stats"", ""total_time_s"": {""record_field"": ""EvaluationRun.total_time_s / EvaluationRecord.total_time_s"", ""source"": ""stats[\""time\""]"", ""semantics"": ""end_to_end_method_wall_clock_seconds""}, ""planner_time_s"": {""record_field"": ""EvaluationRun.metadata.total_planner_time_s / EvaluationRecord.metadata.total_planner_time_s"", ""source"": ""stats[\""time\""]"", ""available"": true, ""semantics"": ""planner_scoped_wall_clock_seconds"", ""included_components"": [""planner.plan reported wall-clock""]}, ""comparison_rule"": ""Use total_time_s for method comparisons; use metadata.total_planner_time_s only for timing audits and component accounting.""}}"
