query_id,difficulty_bucket,profile_name,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal
complex_s00_q0000,Complex,complex_d02,20360710,20361710,0,0,0,d08_12,"(15.4, 14.4, 0.47177751118075006)","(25.200000000000003, 19.400000000000002, 0.47177751118075006)"
complex_s00_q0001,Complex,complex_d03,20360710,20361711,0,0,1,d12_16,"(19.3, 25.6, -2.879133253763517)","(5.9, 22.0, -2.879133253763517)"
complex_s00_q0002,Complex,complex_d04,20360710,20361712,0,0,2,d16_20,"(11.4, 21.5, -0.20812220444420654)","(27.5, 18.1, -0.20812220444420654)"
complex_s00_q0003,Complex,complex_d02,20360710,20361713,0,0,3,d20_inf,"(13.700000000000001, 24.6, -0.8168343447537226)","(29.1, 8.200000000000001, -0.8168343447537226)"
complex_s00_q0004,Complex,complex_d03,20360710,20361714,0,0,4,d08_12,"(14.3, 24.200000000000003, -0.3407184690010689)","(25.3, 20.3, -0.3407184690010689)"
complex_s00_q0005,Complex,complex_d04,20360711,20361711,0,1,0,d12_16,"(1.8, 18.0, 0.22527677921405537)","(16.2, 21.3, 0.22527677921405537)"
complex_s00_q0006,Complex,complex_d02,20360711,20361712,0,1,1,d16_20,"(26.900000000000002, 20.400000000000002, -2.301703033951614)","(13.9, 5.9, -2.301703033951614)"
complex_s00_q0007,Complex,complex_d03,20360711,20361713,0,1,2,d20_inf,"(3.1, 10.0, -0.25904573048913976)","(23.1, 4.7, -0.25904573048913976)"
complex_s01_q0008,Complex,complex_d04,20370710,20371710,1,0,0,d08_12,"(12.5, 8.200000000000001, -2.4206213296178984)","(5.9, 2.4000000000000004, -2.4206213296178984)"
complex_s01_q0009,Complex,complex_d02,20370710,20371711,1,0,1,d12_16,"(5.0, 10.100000000000001, 0.5924273534318786)","(15.4, 17.1, 0.5924273534318786)"
complex_s01_q0010,Complex,complex_d03,20370710,20371712,1,0,2,d16_20,"(16.5, 13.5, -2.5716801816979085)","(2.3000000000000003, 4.4, -2.5716801816979085)"
complex_s01_q0011,Complex,complex_d04,20370710,20371713,1,0,3,d20_inf,"(3.4000000000000004, 2.5, 0.9955203088387787)","(20.0, 28.1, 0.9955203088387787)"
complex_s01_q0012,Complex,complex_d02,20370710,20371714,1,0,4,d08_12,"(25.700000000000003, 17.2, 1.5616222722497868)","(25.8, 28.1, 1.5616222722497868)"
complex_s01_q0013,Complex,complex_d03,20370711,20371711,1,1,0,d12_16,"(24.1, 3.9000000000000004, 1.823762040525465)","(20.3, 18.6, 1.823762040525465)"
complex_s01_q0014,Complex,complex_d04,20370711,20371712,1,1,1,d16_20,"(16.2, 3.9000000000000004, 2.376434640834135)","(3.6, 16.0, 2.376434640834135)"
complex_s01_q0015,Complex,complex_d02,20370711,20371713,1,1,2,d20_inf,"(6.4, 11.700000000000001, -0.4226723390639361)","(29.3, 1.4000000000000001, -0.4226723390639361)"
complex_s02_q0016,Complex,complex_d03,20380710,20381710,2,0,0,d08_12,"(7.0, 3.0, 0.3511538426006473)","(17.1, 6.7, 0.3511538426006473)"
complex_s02_q0017,Complex,complex_d04,20380710,20381711,2,0,1,d12_16,"(13.8, 16.0, -2.282879802089074)","(5.6000000000000005, 6.5, -2.282879802089074)"
complex_s02_q0018,Complex,complex_d02,20380710,20381712,2,0,2,d16_20,"(25.700000000000003, 16.7, -2.970658119812984)","(8.9, 13.8, -2.970658119812984)"
complex_s02_q0019,Complex,complex_d03,20380710,20381713,2,0,3,d20_inf,"(24.400000000000002, 12.200000000000001, 2.9012328952599855)","(4.0, 17.2, 2.9012328952599855)"
complex_s02_q0020,Complex,complex_d04,20380710,20381714,2,0,4,d08_12,"(9.5, 15.3, 0.6188147667376848)","(16.1, 20.0, 0.6188147667376848)"
complex_s02_q0021,Complex,complex_d02,20380711,20381711,2,1,0,d12_16,"(28.1, 1.4000000000000001, 1.4890119461769007)","(29.1, 13.600000000000001, 1.4890119461769007)"
complex_s02_q0022,Complex,complex_d03,20380711,20381712,2,1,1,d16_20,"(10.0, 19.200000000000003, -0.4450882552963662)","(27.400000000000002, 10.9, -0.4450882552963662)"
complex_s02_q0023,Complex,complex_d04,20380711,20381713,2,1,2,d20_inf,"(16.6, 5.800000000000001, 2.3300566533089917)","(1.7000000000000002, 21.5, 2.3300566533089917)"
complex_s03_q0024,Complex,complex_d02,20390710,20391710,3,0,0,d08_12,"(3.8000000000000003, 15.600000000000001, 0.8999388601941297)","(8.8, 21.900000000000002, 0.8999388601941297)"
complex_s03_q0025,Complex,complex_d03,20390710,20391711,3,0,1,d12_16,"(7.2, 3.0, -0.16628246377688244)","(21.5, 0.6000000000000001, -0.16628246377688244)"
complex_s03_q0026,Complex,complex_d04,20390710,20391712,3,0,2,d16_20,"(17.7, 7.4, 2.4944374806700735)","(4.6000000000000005, 17.3, 2.4944374806700735)"
complex_s03_q0027,Complex,complex_d02,20390710,20391713,3,0,3,d20_inf,"(21.900000000000002, 6.9, 2.311179874417818)","(6.0, 24.3, 2.311179874417818)"
complex_s03_q0028,Complex,complex_d03,20390710,20391714,3,0,4,d08_12,"(14.100000000000001, 14.600000000000001, 1.6361237964182482)","(13.4, 25.3, 1.6361237964182482)"
complex_s03_q0029,Complex,complex_d04,20390711,20391711,3,1,0,d12_16,"(27.3, 16.0, -2.9414115856239045)","(13.5, 13.200000000000001, -2.9414115856239045)"
complex_s03_q0030,Complex,complex_d02,20390711,20391712,3,1,1,d16_20,"(15.0, 11.100000000000001, 1.5707963267948966)","(15.0, 27.200000000000003, 1.5707963267948966)"
complex_s03_q0031,Complex,complex_d03,20390711,20391713,3,1,2,d20_inf,"(26.3, 7.9, 2.931852041895688)","(6.1000000000000005, 12.200000000000001, 2.931852041895688)"
complex_s04_q0032,Complex,complex_d04,20400710,20401710,4,0,0,d08_12,"(3.9000000000000004, 18.1, -1.644059460534136)","(3.1, 7.2, -1.644059460534136)"
complex_s04_q0033,Complex,complex_d02,20400710,20401711,4,0,1,d12_16,"(22.6, 25.700000000000003, -2.2371429226466604)","(13.4, 14.0, -2.2371429226466604)"
complex_s04_q0034,Complex,complex_d03,20400710,20401712,4,0,2,d16_20,"(22.700000000000003, 21.8, -2.0183163019520665)","(14.3, 4.3, -2.0183163019520665)"
complex_s04_q0035,Complex,complex_d04,20400710,20401713,4,0,3,d20_inf,"(27.900000000000002, 10.3, 2.4500653755316812)","(6.4, 28.1, 2.4500653755316812)"
complex_s04_q0036,Complex,complex_d02,20400710,20401714,4,0,4,d08_12,"(28.0, 15.8, 2.9191453881638516)","(19.6, 17.7, 2.9191453881638516)"
complex_s04_q0037,Complex,complex_d03,20400711,20401711,4,1,0,d12_16,"(6.300000000000001, 17.3, -0.3172662795218262)","(19.700000000000003, 12.9, -0.3172662795218262)"
complex_s04_q0038,Complex,complex_d04,20400711,20401712,4,1,1,d16_20,"(26.900000000000002, 3.5, 1.6147240938717864)","(26.1, 21.700000000000003, 1.6147240938717864)"
complex_s04_q0039,Complex,complex_d02,20400711,20401713,4,1,2,d20_inf,"(22.5, 10.3, 2.3361398726080984)","(5.4, 28.1, 2.3361398726080984)"
extreme_s00_q0000,Extreme,extreme_d05,20460710,20461710,0,0,0,d08_12,"(21.8, 19.0, -0.9321613596409115)","(26.700000000000003, 12.4, -0.9321613596409115)"
extreme_s00_q0001,Extreme,extreme_d06,20460710,20461711,0,0,1,d12_16,"(17.1, 24.5, -2.8949692551039132)","(2.8000000000000003, 20.900000000000002, -2.8949692551039132)"
extreme_s00_q0002,Extreme,extreme_d07,20460710,20461712,0,0,2,d16_20,"(21.400000000000002, 28.6, -2.5093963047192416)","(5.7, 17.1, -2.5093963047192416)"
extreme_s00_q0003,Extreme,extreme_d05,20460710,20461713,0,0,3,d20_inf,"(23.1, 4.6000000000000005, 1.917463841684838)","(16.2, 23.700000000000003, 1.917463841684838)"
extreme_s00_q0004,Extreme,extreme_d06,20460710,20461714,0,0,4,d08_12,"(3.3000000000000003, 15.600000000000001, 1.631944489444198)","(2.7, 25.400000000000002, 1.631944489444198)"
extreme_s00_q0005,Extreme,extreme_d07,20460711,20461711,0,1,0,d12_16,"(13.600000000000001, 22.900000000000002, -0.0624188099959574)","(26.400000000000002, 22.1, -0.0624188099959574)"
extreme_s00_q0006,Extreme,extreme_d05,20460711,20461712,0,1,1,d16_20,"(25.900000000000002, 1.3, 2.1982295972438655)","(16.400000000000002, 14.4, 2.1982295972438655)"
extreme_s00_q0007,Extreme,extreme_d06,20460711,20461713,0,1,2,d20_inf,"(8.3, 0.6000000000000001, 0.970136171413277)","(24.400000000000002, 24.1, 0.970136171413277)"
extreme_s01_q0008,Extreme,extreme_d07,20470710,20471710,1,0,0,d08_12,"(13.3, 27.6, -2.2993452428595074)","(7.5, 21.1, -2.2993452428595074)"
extreme_s01_q0009,Extreme,extreme_d05,20470710,20471711,1,0,1,d12_16,"(4.9, 7.5, 1.5564088304059709)","(5.1000000000000005, 21.400000000000002, 1.5564088304059709)"
extreme_s01_q0010,Extreme,extreme_d06,20470710,20471712,1,0,2,d16_20,"(25.0, 11.5, -2.6501100082017346)","(8.0, 2.4000000000000004, -2.6501100082017346)"
extreme_s01_q0011,Extreme,extreme_d07,20470710,20471713,1,0,3,d20_inf,"(8.3, 18.2, -0.5948596389325237)","(28.400000000000002, 4.6000000000000005, -0.5948596389325237)"
extreme_s01_q0012,Extreme,extreme_d05,20470710,20471714,1,0,4,d08_12,"(24.400000000000002, 20.900000000000002, -1.855526765317609)","(22.0, 12.700000000000001, -1.855526765317609)"
extreme_s01_q0013,Extreme,extreme_d06,20470711,20471711,1,1,0,d12_16,"(12.9, 14.9, -1.3083369269686203)","(16.5, 1.5, -1.3083369269686203)"
