episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999776623135123,1.5638108208586554,0.4227357139128694,1.4092239757207667,0.0,8.333e-06,1.5917e-05,9.4208e-05
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999566025228376,2.1638107254912238,0.5892324541518766,1.9643923460795119,0.0,3.917e-06,1.2084e-05,9.8292e-05
2,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999974311051481,1.5638108208586554,0.1433569377911661,0.4778605512155868,0.0,3.417e-06,1.1125e-05,9.1708e-05
3,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999988925960794,1.4638107970167975,0.09412354208967214,0.313746298445177,0.0,3.166e-06,1.075e-05,8.3542e-05
4,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999996421392618,1.1638108447005133,0.05350595226471833,0.17835338696797687,0.0,3.041e-06,1.125e-05,9.625e-05
5,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917371,1.6638107254912238,0.8862105636299186,2.955002103644441,0.0,3.917e-06,1.1583e-05,6.975e-05
6,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29999784674403995,0.9638107970167975,0.13124818008404993,0.43749707375743835,0.0,3.25e-06,1.5667e-05,9.3667e-05
7,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173735,1.0638108208586554,0.8862105636299186,2.9550021036444387,0.0,3.125e-06,1.0709e-05,9.1667e-05
8,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29993394144605723,1.2638106301237921,0.726982355298159,2.4238082285492384,0.0,4.958e-06,1.6e-05,8.2334e-05
9,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917372,1.3638110115935187,0.8862105636299186,2.9550021036444405,0.0,3.916e-06,1.3083e-05,7.825e-05
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999787619476742,1.3638108923842291,0.4121990140219194,1.374093990339956,0.0,3.417e-06,1.1209e-05,9.6458e-05
11,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999999683656237,2.3638110115935187,0.01590833156480847,0.05302777747436378,0.0,2.1125e-05,5.4916e-05,8.4791e-05
12,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917373,2.0638108208586554,0.8862105636299186,2.955002103644439,0.0,3.417e-06,1.0833e-05,8.5542e-05
13,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29993046637930865,0.9638107970167975,0.7458603415018258,2.4867775204889306,0.0,3.833e-06,1.2583e-05,9.6917e-05
14,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29998863804999265,1.0638108208586554,0.301490684487862,1.0050070110909302,0.0,3.083e-06,1.0833e-05,6.15e-05
15,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29994780061424964,2.8638107731749396,0.6462328418950019,2.1544843488487353,0.0,2.917e-06,1.0709e-05,6.7167e-05
