query_id,split,difficulty_bucket,profile_name,map_id,map_key,map_seed,query_seed,seed_index,map_index,query_index,distance_bin_key,start,goal,start_x,start_y,start_theta,goal_x,goal_y,goal_theta,euclidean_distance_m,start_collision,goal_collision,map_grid_sha256,pgm_sha256,yaml,pgm
realmap_dqn_realmap_a_q0000,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20960623,0,0,0,manifest_canonical,"[-32.494, -0.9935499999999995, 0.2330744635685543]","[1.206000000000003, 7.006450000000001, 0.2330744635685543]",-32.494,-0.9935499999999995,0.2330744635685543,1.206000000000003,7.006450000000001,0.2330744635685543,34.63654139777816,False,False,b7aa11d982ac18bf172f5769bc40c03a6fc5a8057fa80b6b09e0bd27ffe86597,60af6b37fce3fcdc7b8a8e70d2677710c962fad185a40c94e65684e99ab842a3,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.yaml,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.pgm
realmap_dqn_realmap_a_q0001,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20971623,0,0,1,d08_12,"[-16.993999999999996, -1.4935499999999995, 2.9996955989856295]","[-28.194, 0.10645000000000016, 2.9996955989856295]",-16.993999999999996,-1.4935499999999995,2.9996955989856295,-28.194,0.10645000000000016,2.9996955989856295,11.313708498984763,False,False,b7aa11d982ac18bf172f5769bc40c03a6fc5a8057fa80b6b09e0bd27ffe86597,60af6b37fce3fcdc7b8a8e70d2677710c962fad185a40c94e65684e99ab842a3,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.yaml,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.pgm
realmap_dqn_realmap_a_q0002,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20972624,0,0,2,d12_16,"[-14.593999999999998, -1.8935499999999998, 0.25116096457776865]","[0.6060000000000016, 2.0064500000000005, 0.25116096457776865]",-14.593999999999998,-1.8935499999999998,0.25116096457776865,0.6060000000000016,2.0064500000000005,0.25116096457776865,15.692354826475215,False,False,b7aa11d982ac18bf172f5769bc40c03a6fc5a8057fa80b6b09e0bd27ffe86597,60af6b37fce3fcdc7b8a8e70d2677710c962fad185a40c94e65684e99ab842a3,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.yaml,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.pgm
realmap_dqn_realmap_a_q0003,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20973625,0,0,3,d16_20,"[-0.39399999999999835, 6.906450000000001, -2.6755237418147413]","[-16.894, -1.3935499999999998, -2.6755237418147413]",-0.39399999999999835,6.906450000000001,-2.6755237418147413,-16.894,-1.3935499999999998,-2.6755237418147413,18.46997563615069,False,False,b7aa11d982ac18bf172f5769bc40c03a6fc5a8057fa80b6b09e0bd27ffe86597,60af6b37fce3fcdc7b8a8e70d2677710c962fad185a40c94e65684e99ab842a3,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.yaml,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.pgm
realmap_dqn_realmap_a_q0004,realmap,RealMap,dqn_realmap_a,dqn_realmap_a,realmap:dqn_realmap_a,20860623,20974626,0,0,4,d20_inf,"[3.206000000000003, 0.6064500000000002, -3.049701997779732]","[-26.093999999999998, -2.0935499999999996, -3.049701997779732]",3.206000000000003,0.6064500000000002,-3.049701997779732,-26.093999999999998,-2.0935499999999996,-3.049701997779732,29.424139749532188,False,False,b7aa11d982ac18bf172f5769bc40c03a6fc5a8057fa80b6b09e0bd27ffe86597,60af6b37fce3fcdc7b8a8e70d2677710c962fad185a40c94e65684e99ab842a3,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.yaml,2_experiment/forest_n3p/assets/realmaps/dqn_realmap_a/map.pgm
realmap_willow_garage_0p10_q0000,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20970623,0,1,0,manifest_canonical,"[38.1, 22.200000000000003, -2.173539877277774]","[25.3, 3.6, -2.173539877277774]",38.1,22.200000000000003,-2.173539877277774,25.3,3.6,-2.173539877277774,22.578751072634642,False,False,dfc9030d73b3ead3e13243ec13ca5ca6aa5f880a01c1c46698856228d138f3ec,d7644ea5eabbbc77dcb6f136774f9b159a6514151f9c411bbd6c383f592bd6e0,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.yaml,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.pgm
realmap_willow_garage_0p10_q0001,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20981623,0,1,1,d08_12,"[37.800000000000004, 11.3, -2.593043251139265]","[28.8, 5.800000000000001, -2.593043251139265]",37.800000000000004,11.3,-2.593043251139265,28.8,5.800000000000001,-2.593043251139265,10.547511554864496,False,False,dfc9030d73b3ead3e13243ec13ca5ca6aa5f880a01c1c46698856228d138f3ec,d7644ea5eabbbc77dcb6f136774f9b159a6514151f9c411bbd6c383f592bd6e0,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.yaml,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.pgm
realmap_willow_garage_0p10_q0002,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20982624,0,1,2,d12_16,"[21.5, 20.8, 2.902815461350082]","[6.300000000000001, 24.5, 2.902815461350082]",21.5,20.8,2.902815461350082,6.300000000000001,24.5,2.902815461350082,15.643848631331101,False,False,dfc9030d73b3ead3e13243ec13ca5ca6aa5f880a01c1c46698856228d138f3ec,d7644ea5eabbbc77dcb6f136774f9b159a6514151f9c411bbd6c383f592bd6e0,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.yaml,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.pgm
realmap_willow_garage_0p10_q0003,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20983625,0,1,3,d16_20,"[18.3, 17.6, 0.7125346832704486]","[33.0, 30.3, 0.7125346832704486]",18.3,17.6,0.7125346832704486,33.0,30.3,0.7125346832704486,19.426270872197783,False,False,dfc9030d73b3ead3e13243ec13ca5ca6aa5f880a01c1c46698856228d138f3ec,d7644ea5eabbbc77dcb6f136774f9b159a6514151f9c411bbd6c383f592bd6e0,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.yaml,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.pgm
realmap_willow_garage_0p10_q0004,realmap,RealMap,willow_garage_0p10,willow_garage_0p10,realmap:willow_garage_0p10,20860624,20984626,0,1,4,d20_inf,"[21.200000000000003, 38.1, -1.428024381775286]","[25.8, 6.1000000000000005, -1.428024381775286]",21.200000000000003,38.1,-1.428024381775286,25.8,6.1000000000000005,-1.428024381775286,32.32893440866865,False,False,dfc9030d73b3ead3e13243ec13ca5ca6aa5f880a01c1c46698856228d138f3ec,d7644ea5eabbbc77dcb6f136774f9b159a6514151f9c411bbd6c383f592bd6e0,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.yaml,2_experiment/forest_n3p/assets/realmaps/willow_garage_0p10/map.pgm
