episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29996969654366723,1.5638108208586554,0.4923768855219508,1.6414220876150216,0.0,1.7659e-05,3.1928e-05,0.000149979
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29993421039959073,2.1638107254912238,0.7255008152429899,2.41886650501266,0.0,9.635e-06,2.2621e-05,0.000148876
2,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999995657021135,1.5638108208586554,0.05894391057571507,0.19647998635519293,0.0,7.591e-06,2.0007e-05,0.000134942
3,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173724,1.4638107970167975,0.8862105636299183,2.955002103644439,0.0,6.986e-06,1.9961e-05,0.000125003
4,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999396154475182,1.1638108447005133,0.6950579780807477,2.3173263626537026,0.0,7.29e-06,2.0818e-05,0.000140442
5,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999999753796321,1.6638107254912238,0.014034348515920747,0.04678116555896752,0.0,7.193e-06,2.0411e-05,0.000107498
6,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999605176694202,0.9638107970167975,0.5620241242369216,1.8736603357123014,0.0,6.995e-06,2.0236e-05,0.000139171
7,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999166151317232,1.0638108208586554,0.8167830664097743,2.7233671800778483,0.0,6.688e-06,1.9284e-05,0.000135075
8,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173674,1.2638106301237921,0.8862105636299183,2.955002103644444,0.0,1.0234e-05,2.4094e-05,0.000131278
9,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999806338672027,1.463810916226087,0.3936141039706693,1.3121317162924486,0.0,7.92e-06,2.7775e-05,0.000107501
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29991982502676406,1.3638108923842291,0.8009064966524992,2.670401986867752,0.0,6.638e-06,2.0103e-05,0.00014126
11,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299901838491737,2.263810630123792,0.8862105636299183,2.9550021036444414,0.0,6.742e-06,2.0776e-05,0.000107627
12,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299945066496488,2.0638108208586554,0.6629420575266457,2.2102115739730226,0.0,6.948e-06,2.019e-05,0.000129499
13,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29998151477869084,0.9638107970167975,0.38455754338672443,1.2819374676150594,0.0,6.532e-06,2.0254e-05,0.000147084
14,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999018384917371,1.0638108208586554,0.8862105636299183,2.95500210364444,0.0,6.848e-06,2.0382e-05,9.7761e-05
15,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29998036865547356,2.8638107731749396,0.3963001885222502,1.3210870774593908,0.0,6.382e-06,1.9633e-05,0.000104828
