arxiv_id,citation_key,title,authors_short,year,direction_tag,status,source,reason,size_bytes,lines,sections,formulas,pdf_path,md_path
2601.03519,Zhang2026VisionLanguageAction,A Vision-Language-Action Model with Visual Prompt for OFF-Road Autonomous Driving,Liangdong Zhang et al.,2026,O_dense_forest_narrow_passage,success,pymupdf4llm,,33041,321,18,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Zhang2026VisionLanguageAction.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Zhang2026VisionLanguageAction.md
2601.07434,Guan2026LOONG,LOONG: Online Time-Optimal Autonomous Flight for MAVs in Cluttered Environments,Xin Guan et al.,2026,I_corridor_planning,success,arxiv-e-print,,53014,324,19,157,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Guan2026LOONG.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Guan2026LOONG.md
2601.19972,Cai2026Just,Just in time Informed Trees: Manipulability-Aware Asymptotically Optimized Motion Planning,Kuanqi Cai et al.,2026,Q_informed_sampling,success,arxiv-e-print,,60687,365,26,285,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Cai2026Just.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Cai2026Just.md
2601.20054,Kfer2026GameTheoretic,Game-Theoretic Autonomous Driving: A Graphs of Convex Sets Approach,Nikolaj Käfer et al.,2026,I_corridor_planning,success,arxiv-e-print,,59501,565,27,472,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Kfer2026GameTheoretic.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Kfer2026GameTheoretic.md
2601.21027,Nam2026Trackcentric,Track-centric Iterative Learning for Global Trajectory Optimization in Autonomous Racing,Youngim Nam et al.,2026,L_learning_path_optimization,success,arxiv-e-print,,47547,334,18,235,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Nam2026Trackcentric.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Nam2026Trackcentric.md
2602.01085,Chen2026Estimating,Estimating Force Interactions of Deformable Linear Objects from their Shapes,Qi Jing Chen et al.,2026,C_elastic_band,success,arxiv-e-print,,32031,174,19,123,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Chen2026Estimating.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Chen2026Estimating.md
2602.01189,Srivastava2026SPOT,SPOT: Spatio-Temporal Obstacle-free Trajectory Planning for UAVs in an Unknown Dynamic Environment,Astik Srivastava et al.,2026,I_corridor_planning,success,arxiv-e-print,,37241,254,21,106,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Srivastava2026SPOT.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Srivastava2026SPOT.md
2602.02826,Callens2026Fast,Fast Near Time-Optimal Motion Planning for Holonomic Vehicles in Structured Environments,Louis Callens et al.,2026,I_corridor_planning,success,arxiv-e-print,,80957,486,29,321,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Callens2026Fast.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Callens2026Fast.md
2602.09714,GonzalezGarcia2026Fast,Fast Motion Planning for Non-Holonomic Mobile Robots via a Rectangular Corridor Representation of Structured Environments,Alejandro Gonzalez-Garcia et al.,2026,I_corridor_planning,success,arxiv-e-print,,42032,274,24,221,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/GonzalezGarcia2026Fast.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/GonzalezGarcia2026Fast.md
2602.10365,Gorman2026Solving,Solving Geodesic Equations with Composite Bernstein Polynomials for Trajectory Planning,Nick Gorman et al.,2026,A_path_smoothing;K_dubins_reeds_shepp,success,arxiv-e-print,,51684,569,19,237,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Gorman2026Solving.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Gorman2026Solving.md
2602.12096,Mishani2026Multi,Multi Graph Search for High-Dimensional Robot Motion Planning,Itamar Mishani et al.,2026,E_bounded_suboptimal_search,success,arxiv-e-print,,64164,393,30,219,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Mishani2026Multi.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Mishani2026Multi.md
2602.14726,Deflesselle2026ManeuverNet,ManeuverNet: A Soft Actor-Critic Framework for Precise Maneuvering of Double-Ackermann-Steering Robots with Optimized Reward Functions,Kohio Deflesselle et al.,2026,C_elastic_band,success,arxiv-e-print,,53469,316,18,194,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Deflesselle2026ManeuverNet.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Deflesselle2026ManeuverNet.md
2602.19699,Alboni2026CACTOBIC,CACTO-BIC: Scalable Actor-Critic Learning via Biased Sampling and GPU-Accelerated Trajectory Optimization,Elisa Alboni et al.,2026,L_learning_path_optimization,success,arxiv-e-print,,35376,287,20,105,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Alboni2026CACTOBIC.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Alboni2026CACTOBIC.md
2602.20225,Feng2026FACTO,FACTO: Function-space Adaptive Constrained Trajectory Optimization for Robotic Manipulators,Yichang Feng et al.,2026,B_trajectory_optimization,success,arxiv-e-print,,130207,1141,80,467,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Feng2026FACTO.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Feng2026FACTO.md
2602.21174,Reijgwart2026Efficient,Efficient Hierarchical Any-Angle Path Planning on Multi-Resolution 3D Grids,Victor Reijgwart et al.,2026,H_hierarchical_planning,success,arxiv-e-print,,66174,370,26,332,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Reijgwart2026Efficient.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Reijgwart2026Efficient.md
2603.00694,Wang2026WildDrive,Wild-Drive: Off-Road Scene Captioning and Path Planning via Robust Multi-modal Routing and Efficient Large Language Model,Zihang Wang et al.,2026,O_dense_forest_narrow_passage,success,arxiv-e-print,,46634,362,21,99,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Wang2026WildDrive.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Wang2026WildDrive.md
2603.04284,Zacharia2026OmniPlanner,OmniPlanner: Universal Exploration and Inspection Path Planning across Robot Morphologies,Angelos Zacharia et al.,2026,J_homotopy_topology,success,arxiv-e-print,,137193,719,48,645,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Zacharia2026OmniPlanner.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Zacharia2026OmniPlanner.md
2603.04463,Soleymanzadeh2026GAIDE,GAIDE: Graph-based Attention Masking for Spatial- and Embodiment-aware Motion Planning,Davood Soleymanzadeh et al.,2026,N_path_repair,success,arxiv-e-print,,32039,255,16,80,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Soleymanzadeh2026GAIDE.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Soleymanzadeh2026GAIDE.md
2603.04547,Belmont2026ManyRRT,Many-RRT*: Robust Joint-Space Trajectory Planning for Serial Manipulators,Theodore M. Belmont et al.,2026,D_asymptotically_optimal_sampling,success,arxiv-e-print,,41970,282,6,238,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Belmont2026ManyRRT.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Belmont2026ManyRRT.md
