global_query_id,map_id,query_id,profile_name,difficulty_bucket,distance_bin_key,distance_min_m,distance_max_m,map_seed,query_seed,start,goal,euclidean_distance_m,teacher_success,teacher_failure_reason,teacher_time_s,teacher_expansions,teacher_path_length_m,teacher_path_pose_count,label_attempted,label_success,label_failure_reason,label_sample_count,total_segment_count,label_candidate_checks
0,0,0,easy_d00,Easy,d08_12,8.0,12.0,20360620,20460620,"[18.6, 20.1, 2.5840515389094447]","[10.100000000000001, 25.400000000000002, 2.5840515389094447]",10.016985574512924,True,,0.5650284290313721,8,10.196707056190728,105,True,True,,1,2,15
1,0,1,easy_d00,Easy,d12_16,12.0,16.0,20360620,20460621,"[15.4, 13.5, -1.958465905168895]","[10.5, 1.5, -1.958465905168895]",12.961867149450345,True,,0.6265859603881836,36,13.122172740385627,134,True,True,,1,2,29
2,0,2,easy_d00,Easy,d16_20,16.0,20.0,20360620,20460622,"[1.2000000000000002, 28.200000000000003, -0.5488070016205129]","[16.900000000000002, 18.6, -0.5488070016205129]",18.40244548966251,True,,0.39037179946899414,1,18.40244548966251,186,True,True,,2,3,71
3,0,3,easy_d00,Easy,d20_inf,20.0,,20360620,20460623,"[28.5, 23.700000000000003, -2.2383223869951285]","[15.100000000000001, 6.7, -2.2383223869951285]",21.646246787838304,False,timeout,2.50107741355896,1910,0.0,0,False,False,,0,0,0
4,0,4,easy_d00,Easy,d08_12,8.0,12.0,20360620,20460624,"[11.100000000000001, 2.7, 0.03190406448502241]","[20.5, 3.0, 0.03190406448502241]",9.404786015641184,True,,0.5041749477386475,1,9.404786015641184,96,True,True,,1,2,11
5,0,5,easy_d00,Easy,d12_16,12.0,16.0,20360620,20460625,"[11.700000000000001, 23.900000000000002, -1.8349664913755546]","[8.4, 11.700000000000001, -1.8349664913755546]",12.638433447227548,True,,1.160292148590088,262,12.79319725849214,131,True,True,,2,3,41
6,0,6,easy_d00,Easy,d16_20,16.0,20.0,20360620,20460626,"[24.5, 10.5, 1.9478264722551133]","[18.6, 25.400000000000002, 1.9478264722551133]",16.02560451277892,True,,0.5361166000366211,125,16.292345023925556,166,True,True,,2,3,58
7,0,7,easy_d00,Easy,d20_inf,20.0,,20360620,20460627,"[26.700000000000003, 14.200000000000001, -3.0789133590985553]","[2.8000000000000003, 12.700000000000001, -3.0789133590985553]",23.947024867402632,True,,0.2550384998321533,1,23.947024867402632,241,True,True,,2,3,125
8,0,8,easy_d00,Easy,d08_12,8.0,12.0,20360620,20460628,"[22.900000000000002, 13.600000000000001, 1.2722973952087173]","[26.1, 24.0, 1.2722973952087173]",10.881176406988352,True,,0.5593764781951904,21,11.07825168773028,113,True,True,,1,2,19
9,0,9,easy_d00,Easy,d12_16,12.0,16.0,20360620,20460629,"[17.0, 22.5, 2.999695598985629]","[3.0, 24.5, 2.999695598985629]",14.142135623730951,True,,0.5161557197570801,1,14.142135623730951,143,True,True,,1,2,34
